stockCode,stockName,actualControllerType,windIndustryLevelOne,windIndustryLevelTwo,windIndustryLevelThree
000001.SZ,平安银行,,金融,银行,商业银行
000002.SZ,万科A,,房地产,房地产Ⅱ,房地产管理和开发
000004.SZ,国华网安,个人,医疗保健,制药、生物科技与生命科学,制药
000005.SZ,世纪星源,个人,工业,商业和专业服务,商业服务与用品
000006.SZ,深振业A,地方国资委,房地产,房地产Ⅱ,房地产管理和开发
000007.SZ,全新好,,房地产,房地产Ⅱ,房地产管理和开发
000008.SZ,神州高铁,国资委,工业,资本货物,机械
000009.SZ,中国宝安,,工业,资本货物,综合类Ⅲ
000010.SZ,美丽生态,个人,工业,资本货物,建筑与工程Ⅲ
000011.SZ,深物业A,地方国资委,房地产,房地产Ⅱ,房地产管理和开发
000012.SZ,南玻A,,材料,材料Ⅱ,建材Ⅲ
000014.SZ,沙河股份,地方国资委,房地产,房地产Ⅱ,房地产管理和开发
000016.SZ,深康佳A,国资委,可选消费,耐用消费品与服装,家庭耐用消费品
000017.SZ,*ST中华A,,可选消费,耐用消费品与服装,休闲设备与用品
000019.SZ,深粮控股,地方国资委,工业,资本货物,贸易公司与工业品经销商Ⅲ
000020.SZ,深华发A,个人,可选消费,耐用消费品与服装,家庭耐用消费品
000021.SZ,深科技,国资委,信息技术,技术硬件与设备,电脑与外围设备
000023.SZ,深天地A,个人,材料,材料Ⅱ,建材Ⅲ
000025.SZ,特力A,地方国资委,可选消费,零售业,专营零售
000026.SZ,飞亚达,国资委,可选消费,耐用消费品与服装,纺织品、服装与奢侈品
000027.SZ,深圳能源,地方国资委,公用事业,公用事业Ⅱ,电力Ⅲ
000028.SZ,国药一致,国资委,医疗保健,医疗保健设备与服务,医疗保健提供商与服务
000029.SZ,深深房A,地方国资委,房地产,房地产Ⅱ,房地产管理和开发
000030.SZ,富奥股份,地方国资委,可选消费,汽车与汽车零部件,汽车零配件
000031.SZ,大悦城,国资委,房地产,房地产Ⅱ,房地产管理和开发
000032.SZ,深桑达A,国资委,信息技术,技术硬件与设备,电子设备、仪器和元件
