_id,code,actualController,actualControllerType
5f4adead2018c1179b9dd380,600023,浙江省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd377,600012,安徽省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd38a,600036,FALSE,
5f4adead2018c1179b9dd395,600056,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd398,600059,绍兴市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd39a,600061,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3a6,600076,无锡市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd37f,600022,山东省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd38c,600038,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd38f,600050,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd392,600053,吴刚、黄晓捷、吴强、蔡蕾、覃正宇,个人
5f4adead2018c1179b9dd396,600057,厦门市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd39c,600063,安徽省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3ab,600081,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd370,600004,广东省人民政府,地方政府
5f4adead2018c1179b9dd379,600016,FALSE,
5f4adead2018c1179b9dd37c,600019,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd387,600031,梁稳根,个人
5f4adead2018c1179b9dd372,600007,香格里拉,其他
5f4adead2018c1179b9dd37a,600017,日照市人民政府,地方政府
5f4adead2018c1179b9dd38e,600048,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd390,600051,李水荣,个人
5f4adead2018c1179b9dd3a2,600071,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3a8,600078,李兴,个人
5f4adead2018c1179b9dd371,600006,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd381,600025,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd391,600052,楼忠福,个人
5f4adead2018c1179b9dd39b,600062,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd374,600009,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd385,600029,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd393,600054,黄山市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3a5,600075,新疆生产建设兵团农八师国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3ac,600082,天津市人民政府,地方政府
5f4adead2018c1179b9dd376,600011,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd378,600015,FALSE,
5f4adead2018c1179b9dd3a0,600068,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3a9,600079,艾路明,个人
5f4adead2018c1179b9dd3ae,600084,FALSE,
5f4adead2018c1179b9dd386,600030,FALSE,
5f4adead2018c1179b9dd384,600028,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd382,600026,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd38b,600037,北京市市政府,地方政府
5f4adead2018c1179b9dd399,600060,青岛市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd39d,600064,南京市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd39e,600066,汤玉祥、曹建伟、游明设、杨张峰、谢群鹏、张宝锋、王建军,个人
5f4adead2018c1179b9dd3a7,600077,俞建午,个人
5f4adead2018c1179b9dd3aa,600080,吴一坚,个人
5f4adead2018c1179b9dd36f,600000,FALSE,
5f4adead2018c1179b9dd373,600008,北京市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd375,600010,内蒙古自治区人民政府,地方政府
5f4adead2018c1179b9dd397,600058,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3a1,600070,赵林中等17名自然人,个人
5f4adead2018c1179b9dd3a3,600072,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd37b,600018,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd383,600027,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd389,600035,湖北省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd37d,600020,河南省人民政府,地方政府
5f4adead2018c1179b9dd37e,600021,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd394,600055,吴光明,个人
5f4adead2018c1179b9dd39f,600067,薛黎曦、韩国龙,个人
5f4adead2018c1179b9dd3a4,600073,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3ad,600083,罗静,个人
5f4adead2018c1179b9dd388,600033,福建省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd38d,600039,四川省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3b5,600093,云南省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3d2,600123,晋城市国有资产管理委员会,地方国资委
5f4adead2018c1179b9dd3ea,600153,厦门市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3eb,600155,FALSE,
5f4adead2018c1179b9dd3fd,600176,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd402,600182,林美凤、林振伟、陈应毅,个人
5f4adead2018c1179b9dd40f,600196,郭广昌,个人
5f4adead2018c1179b9dd413,600200,钱群英,个人
5f4adead2018c1179b9dd470,600310,广西壮族自治区人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd471,600311,张严德,个人
5f4adead2018c1179b9dd473,600313,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd486,600335,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd49d,600365,尹兵,个人
5f4adead2018c1179b9dd4a4,600372,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4ab,600380,朱保国,个人
5f4adead2018c1179b9dd4ac,600381,肖融,个人
5f4adead2018c1179b9dd4c2,600409,FALSE,
5f4adead2018c1179b9dd4c6,600418,安徽省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4e7,600475,无锡市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4e8,600476,中华人民共和国国务院,中央国家机关
5f4adead2018c1179b9dd50b,600517,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd512,600525,FALSE,
5f4adead2018c1179b9dd518,600531,济源市人民政府,地方政府
5f4adead2018c1179b9dd522,600545,潘雪平,个人
5f4adead2018c1179b9dd52f,600560,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd53f,600578,北京市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd58d,600666,左洪波、褚淑霞,个人
5f4adead2018c1179b9dd59f,600689,重庆市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5a4,600694,牛钢,个人
5f4adead2018c1179b9dd5ae,600705,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5ce,600738,丽水经济技术开发区管理委员会,地方政府
5f4adead2018c1179b9dd5d1,600741,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5ed,600773,上海市静安区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd602,600796,海宁市人民政府,地方政府
5f4adead2018c1179b9dd605,600800,天津市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3c5,600110,陈立志,个人
5f4adead2018c1179b9dd3ce,600119,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3e0,600139,石学松,个人
5f4adead2018c1179b9dd3e4,600146,杨军,个人
5f4adead2018c1179b9dd41d,600212,徐益明,个人
5f4adead2018c1179b9dd429,600226,沈培今,个人
5f4adead2018c1179b9dd42a,600227,丁林洪,个人
5f4adead2018c1179b9dd43e,600250,南京市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd442,600256,孙广信,个人
5f4adead2018c1179b9dd445,600259,广东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd447,600261,陈森洁及其配偶、女儿,个人
5f4adead2018c1179b9dd44c,600268,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd44d,600269,江西省交通运输厅,地方政府
5f4adead2018c1179b9dd450,600273,管建忠,个人
5f4adead2018c1179b9dd45b,600285,熊维政、熊伟,个人
5f4adead2018c1179b9dd489,600338,黄瑛、黄建荣,个人
5f4adead2018c1179b9dd495,600355,张学阳,个人
5f4adead2018c1179b9dd4b3,600389,FALSE,
5f4adead2018c1179b9dd4c9,600421,楼永良,个人
5f4adead2018c1179b9dd4cb,600423,柳州市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4d6,600446,FALSE,
5f4adead2018c1179b9dd4da,600455,西安市人民政府,地方政府
5f4adead2018c1179b9dd4e9,600477,单银木,个人
5f4adead2018c1179b9dd4f5,600491,赖振元,个人
5f4adead2018c1179b9dd542,600581,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd54c,600592,漳州市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd555,600601,中华人民共和国教育部,中央国家机关
5f4adead2018c1179b9dd557,600603,孙广信,个人
5f4adead2018c1179b9dd576,600640,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd58a,600663,上海市浦东新区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5a5,600695,俞乃奋,个人
5f4adead2018c1179b9dd5b6,600714,青海省政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5b7,600715,北京市国有文化资产管理中心,地方国资委
5f4adead2018c1179b9dd5be,600722,河北省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5c0,600724,宁波市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5d5,600745,张学政,个人
5f4adead2018c1179b9dd5eb,600770,昝圣达,个人
5f4adead2018c1179b9dd5f7,600783,山东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd606,600801,LafargeHolcimLtd,境外
5f4adead2018c1179b9dd611,600814,杭州市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd622,600831,中共陕西省委宣传部,地方政府
5f4adead2018c1179b9dd62e,600846,中华人民共和国教育部,中央国家机关
5f4adead2018c1179b9dd3c8,600113,温州市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd425,600221,海南省政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd434,600237,应建仁、徐美儿,个人
