guoBiaoIndustry,guoBiaoIndustryCode,guoBiaoSubIndustry,guoBiaoSubIndustryCode,stockCode,stockName
农、林、牧、渔业,A,农业,1,998,隆平高科
农、林、牧、渔业,A,农业,1,2041,登海种业
农、林、牧、渔业,A,农业,1,2772,众兴菌业
农、林、牧、渔业,A,农业,1,300087,荃银高科
农、林、牧、渔业,A,农业,1,300189,神农科技
农、林、牧、渔业,A,农业,1,300511,雪榕生物
农、林、牧、渔业,A,农业,1,600108,亚盛集团
农、林、牧、渔业,A,农业,1,600313,农发种业
农、林、牧、渔业,A,农业,1,600354,*ST敦种
农、林、牧、渔业,A,农业,1,600359,新农开发
农、林、牧、渔业,A,农业,1,600371,万向德农
农、林、牧、渔业,A,农业,1,600506,香梨股份
农、林、牧、渔业,A,农业,1,600540,新赛股份
农、林、牧、渔业,A,农业,1,600598,北大荒
农、林、牧、渔业,A,农业,1,601118,海南橡胶
农、林、牧、渔业,A,林业,2,592,平潭发展
农、林、牧、渔业,A,林业,2,2200,ST云投
农、林、牧、渔业,A,林业,2,2679,福建金森
农、林、牧、渔业,A,林业,2,600265,ST景谷
农、林、牧、渔业,A,畜牧业,3,735,罗牛山
农、林、牧、渔业,A,畜牧业,3,2234,民和股份
农、林、牧、渔业,A,畜牧业,3,2299,圣农发展
农、林、牧、渔业,A,畜牧业,3,2321,华英农业
农、林、牧、渔业,A,畜牧业,3,2458,益生股份
农、林、牧、渔业,A,畜牧业,3,2714,牧原股份
农、林、牧、渔业,A,畜牧业,3,2746,仙坛股份
农、林、牧、渔业,A,畜牧业,3,2982,湘佳股份
农、林、牧、渔业,A,畜牧业,3,300106,西部牧业
农、林、牧、渔业,A,畜牧业,3,300313,天山生物
农、林、牧、渔业,A,畜牧业,3,300498,温氏股份
农、林、牧、渔业,A,畜牧业,3,300761,立华股份
农、林、牧、渔业,A,畜牧业,3,600965,福成股份
农、林、牧、渔业,A,畜牧业,3,600975,新五丰
农、林、牧、渔业,A,渔业,4,798,中水渔业
农、林、牧、渔业,A,渔业,4,2069,獐子岛
农、林、牧、渔业,A,渔业,4,2086,*ST东洋
农、林、牧、渔业,A,渔业,4,2696,百洋股份
农、林、牧、渔业,A,渔业,4,200992,中鲁B
农、林、牧、渔业,A,渔业,4,300094,国联水产
农、林、牧、渔业,A,渔业,4,600097,开创国际
农、林、牧、渔业,A,渔业,4,600257,大湖股份
农、林、牧、渔业,A,渔业,4,600467,好当家
农、林、牧、渔业,A,农、林、牧、渔服务业,5,713,丰乐种业
采矿业,B,煤炭开采和洗选业,6,552,靖远煤电
采矿业,B,煤炭开采和洗选业,6,780,*ST平能
采矿业,B,煤炭开采和洗选业,6,937,冀中能源
采矿业,B,煤炭开采和洗选业,6,983,西山煤电
采矿业,B,煤炭开采和洗选业,6,2128,露天煤业
采矿业,B,煤炭开采和洗选业,6,600121,郑州煤电
采矿业,B,煤炭开采和洗选业,6,600123,兰花科创
采矿业,B,煤炭开采和洗选业,6,600188,兖州煤业
采矿业,B,煤炭开采和洗选业,6,600348,阳泉煤业
采矿业,B,煤炭开采和洗选业,6,600395,盘江股份
采矿业,B,煤炭开采和洗选业,6,600397,安源煤业
采矿业,B,煤炭开采和洗选业,6,600403,大有能源
采矿业,B,煤炭开采和洗选业,6,600508,上海能源
采矿业,B,煤炭开采和洗选业,6,600758,辽宁能源
采矿业,B,煤炭开采和洗选业,6,600971,恒源煤电
采矿业,B,煤炭开采和洗选业,6,600985,淮北矿业
采矿业,B,煤炭开采和洗选业,6,601001,大同煤业
采矿业,B,煤炭开采和洗选业,6,601088,中国神华
采矿业,B,煤炭开采和洗选业,6,601101,昊华能源
采矿业,B,煤炭开采和洗选业,6,601225,陕西煤业
采矿业,B,煤炭开采和洗选业,6,601666,平煤股份
采矿业,B,煤炭开采和洗选业,6,601699,潞安环能
采矿业,B,煤炭开采和洗选业,6,601898,中煤能源
采矿业,B,煤炭开采和洗选业,6,601918,新集能源
采矿业,B,煤炭开采和洗选业,6,900948,伊泰B股
采矿业,B,石油和天然气开采业,7,968,蓝焰控股
采矿业,B,石油和天然气开采业,7,300483,沃施股份
采矿业,B,石油和天然气开采业,7,600028,中国石化
采矿业,B,石油和天然气开采业,7,600256,广汇能源
采矿业,B,石油和天然气开采业,7,600759,洲际油气
采矿业,B,石油和天然气开采业,7,600777,新潮能源
采矿业,B,石油和天然气开采业,7,601857,中国石油
采矿业,B,黑色金属矿采选业,8,655,金岭矿业
采矿业,B,黑色金属矿采选业,8,762,西藏矿业
采矿业,B,黑色金属矿采选业,8,923,河钢资源
采矿业,B,黑色金属矿采选业,8,2978,安宁股份
采矿业,B,黑色金属矿采选业,8,600532,宏达矿业
采矿业,B,黑色金属矿采选业,8,601969,海南矿业
采矿业,B,有色金属矿采选业,9,426,兴业矿业
采矿业,B,有色金属矿采选业,9,506,中润资源
采矿业,B,有色金属矿采选业,9,603,盛达资源
采矿业,B,有色金属矿采选业,9,688,国城矿业
采矿业,B,有色金属矿采选业,9,758,中色股份
采矿业,B,有色金属矿采选业,9,975,银泰黄金
采矿业,B,有色金属矿采选业,9,2155,湖南黄金
采矿业,B,有色金属矿采选业,9,600259,广晟有色
采矿业,B,有色金属矿采选业,9,600311,*ST荣华
采矿业,B,有色金属矿采选业,9,600338,西藏珠峰
采矿业,B,有色金属矿采选业,9,600489,中金黄金
采矿业,B,有色金属矿采选业,9,600497,驰宏锌锗
采矿业,B,有色金属矿采选业,9,600547,山东黄金
采矿业,B,有色金属矿采选业,9,600711,盛屯矿业
采矿业,B,有色金属矿采选业,9,600766,园城黄金
采矿业,B,有色金属矿采选业,9,600988,赤峰黄金
采矿业,B,有色金属矿采选业,9,601020,华钰矿业
采矿业,B,有色金属矿采选业,9,601069,西部黄金
采矿业,B,有色金属矿采选业,9,601168,西部矿业
采矿业,B,有色金属矿采选业,9,601899,紫金矿业
采矿业,B,有色金属矿采选业,9,601958,金钼股份
采矿业,B,有色金属矿采选业,9,603993,洛阳钼业
采矿业,B,非金属矿采选业,10,603505,金石资源
采矿业,B,开采辅助活动,11,2207,准油股份
采矿业,B,开采辅助活动,11,2554,惠博普
采矿业,B,开采辅助活动,11,2629,*ST仁智
采矿业,B,开采辅助活动,11,2683,宏大爆破
采矿业,B,开采辅助活动,11,2828,贝肯能源
采矿业,B,开采辅助活动,11,300084,海默科技
采矿业,B,开采辅助活动,11,300157,恒泰艾普
采矿业,B,开采辅助活动,11,300164,通源石油
采矿业,B,开采辅助活动,11,300191,潜能恒信
采矿业,B,开采辅助活动,11,600339,中油工程
采矿业,B,开采辅助活动,11,600583,海油工程
采矿业,B,开采辅助活动,11,600871,石化油服
采矿业,B,开采辅助活动,11,600968,海油发展
采矿业,B,开采辅助活动,11,601808,中海油服
采矿业,B,开采辅助活动,11,603619,中曼石油
采矿业,B,开采辅助活动,11,603727,博迈科
采矿业,B,开采辅助活动,11,603979,金诚信
制造业,C,农副食品加工业,13,48,京基智农
制造业,C,农副食品加工业,13,505,京粮控股
制造业,C,农副食品加工业,13,529,广弘控股
制造业,C,农副食品加工业,13,639,西王食品
制造业,C,农副食品加工业,13,702,正虹科技
制造业,C,农副食品加工业,13,876,新希望
制造业,C,农副食品加工业,13,895,双汇发展
制造业,C,农副食品加工业,13,911,ST南糖
制造业,C,农副食品加工业,13,972,ST中基
制造业,C,农副食品加工业,13,2100,天康生物
