_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab66e20091c9411f2bb7e8""",万企帮万村,年度报告,2019,广东明珠：2019年年度报告（修订版）,600382.SH,广东明珠,电力、热力、燃气及水的生产和供应业,批发业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600382/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7e9""",万企帮万村,年度报告,2019,荣盛发展：2019年年度报告（更新后）,002146.SZ,荣盛发展,房地产业,房地产业,河北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002146/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7ea""",万企帮万村,年度报告,2019,博天环境：2019年年度报告,603603.SH,博天环境,水利、环境和公共设施管理业,生态保护和环境治理业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603603/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7eb""",万企帮万村,年度报告,2019,福田汽车：2019年年度报告（修订版）,600166.SH,福田汽车,制造业,汽车制造业,北京市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600166/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7ec""",万企帮万村,年度报告,2019,春秋航空：2019年年度报告,601021.SH,春秋航空,交通运输、仓储和邮政业,航空运输业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601021/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7ed""",万企帮万村,年度报告,2019,纳思达：2019年年度报告,002180.SZ,纳思达,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002180/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7ee""",万企帮万村,年度报告,2019,中关村：2019年年度报告,000931.SZ,中关村,制造业,医药制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000931/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7ef""",万企帮万村,年度报告,2019,博敏电子：2019年年度报告,603936.SH,博敏电子,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603936/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f0""",万企帮万村,年度报告,2019,东材科技：2019年年度报告,601208.SH,东材科技,制造业,化学原料及化学制品制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601208/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f1""",万企帮万村,年度报告,2019,新雷能：2019年年度报告,300593.SZ,新雷能,制造业,电气机械及器材制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300593/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f2""",万企帮万村,年度报告,2019,欣旺达：2019年年度报告,300207.SZ,欣旺达,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300207/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f3""",万企帮万村,年度报告,2019,康弘药业：2019年年度报告,002773.SZ,康弘药业,制造业,医药制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002773/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f4""",万企帮万村,年度报告,2019,现代投资：2019年年度报告,000900.SZ,现代投资,交通运输、仓储和邮政业,道路运输业,湖南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000900/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f5""",万企帮万村,年度报告,2019,泛海控股：2019年年度报告,000046.SZ,泛海控股,金融业,其他金融业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000046/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f7""",万企帮万村,年度报告,2019,恒银科技：2019年年度报告,603106.SH,恒银科技,制造业,计算机、通信和其他电子设备制造业,天津市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603106/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f8""",万企帮万村,年度报告,2019,骆驼股份：2019年年度报告,601311.SH,骆驼股份,制造业,电气机械及器材制造业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601311/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7f9""",万企帮万村,年度报告,2019,小康股份：2019年年度报告摘要,601127.SH,小康股份,制造业,汽车制造业,重庆市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601127/page_type/ndbg.phtml,,,,,,,,
"""5fab66e20091c9411f2bb7fb""",万企帮万村,年度报告,2019,益佰制药：2019年年度报告,600594.SH,益佰制药,制造业,医药制造业,贵州省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600594/page_type/ndbg.phtml,,,,,,,,
