_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab670d0091c9411f2bba57""",中国制造2025,年度报告,2019,航天长峰：2019年年度报告（修订版）,600855.SH,航天长峰,制造业,专用设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600855/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba58""",中国制造2025,年度报告,2019,ST毅达：2019年年度报告（修订稿）,600610.SH,ST毅达,制造业,化学原料及化学制品制造业,上海市,其他,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600610/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba59""",中国制造2025,年度报告,2019,香雪制药：2019年年度报告摘要（更新后）,300147.SZ,香雪制药,制造业,医药制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300147/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba5a""",中国制造2025,年度报告,2019,航天动力：2019年年度报告（修订版）,600343.SH,航天动力,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600343/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba5c""",中国制造2025,年度报告,2019,楚天高速：2019年年度报告,600035.SH,楚天高速,交通运输、仓储和邮政业,道路运输业,湖北省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600035/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba5d""",中国制造2025,年度报告,2019,华昌达：2019年年度报告,300278.SZ,华昌达,制造业,专用设备制造业,湖北省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300278/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba5f""",中国制造2025,年度报告,2019,丹邦科技：2019年年度报告,002618.SZ,丹邦科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002618/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba60""",中国制造2025,年度报告,2019,风范股份：2019年年度报告（修订版）,601700.SH,风范股份,制造业,金属制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601700/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba62""",中国制造2025,年度报告,2019,*ST辅仁：2019年年度报告,600781.SH,*ST辅仁,制造业,医药制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600781/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba63""",中国制造2025,年度报告,2019,ST华鼎：2019年年度报告（修订版）,601113.SH,ST华鼎,制造业,化学纤维制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601113/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba65""",中国制造2025,年度报告,2019,华西能源：2019年年度报告（更新后）,002630.SZ,华西能源,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002630/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba66""",中国制造2025,年度报告,2019,万邦德：2019年年度报告摘要,002082.SZ,万邦德,制造业,有色金属冶炼及压延加工业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002082/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba67""",中国制造2025,年度报告,2019,保隆科技：2019年年度报告摘要,603197.SH,保隆科技,制造业,汽车制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603197/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba69""",中国制造2025,年度报告,2019,太原重工：2019年年度报告（修订版）,600169.SH,太原重工,制造业,专用设备制造业,山西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600169/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba6b""",中国制造2025,年度报告,2019,*ST金洲：2019年年度报告（更新后）,000587.SZ,*ST金洲,制造业,其他制造业,黑龙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000587/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba6c""",中国制造2025,年度报告,2019,国机通用：2019年年度报告（修订版）,600444.SH,国机通用,制造业,通用设备制造业,安徽省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600444/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba6e""",中国制造2025,年度报告,2019,道恩股份：2019年年度报告（更新后）,002838.SZ,道恩股份,制造业,橡胶和塑料制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002838/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba73""",中国制造2025,年度报告,2019,金城医药：2019年年度报告（更新后）,300233.SZ,金城医药,制造业,医药制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300233/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba76""",中国制造2025,年度报告,2019,灵康药业：2019年年度报告（修订版）,603669.SH,灵康药业,制造业,医药制造业,西藏自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603669/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba77""",中国制造2025,年度报告,2019,天地数码：2019年年度报告（更新后）,300743.SZ,天地数码,制造业,计算机、通信和其他电子设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300743/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba78""",中国制造2025,年度报告,2019,汇源通信：2019年年度报告（更新后）,000586.SZ,汇源通信,制造业,计算机、通信和其他电子设备制造业,四川省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000586/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba79""",中国制造2025,年度报告,2019,华特气体：2019年年度报告（修订版）,688268.SH,华特气体,制造业,化学原料及化学制品制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688268/page_type/ndbg.phtml,,,,,,,,
"""5fab670d0091c9411f2bba7a""",中国制造2025,年度报告,2019,至正股份：2019年年度报告（修订版）,603991.SH,至正股份,制造业,橡胶和塑料制品业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603991/page_type/ndbg.phtml,,,,,,,,
