_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab67670091c9411f2bbff6""",双百行动,年度报告,2019,*ST厦工：2019年年度报告（更新稿）,600815.SH,*ST厦工,制造业,专用设备制造业,福建省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600815/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bbff7""",双百行动,年度报告,2019,郑煤机：2019年年度报告（修订版）,601717.SH,郑煤机,制造业,汽车制造业,河南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601717/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bbff8""",双百行动,年度报告,2019,金陵饭店：2019年年度报告,601007.SH,金陵饭店,住宿和餐饮业,住宿业,江苏省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601007/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bbffa""",双百行动,年度报告,2019,长江电力：2019年年度报告摘要,600900.SH,长江电力,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600900/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bbffc""",双百行动,年度报告,2019,亨通光电：2019年年度报告,600487.SH,亨通光电,制造业,电气机械及器材制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600487/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bbffe""",双百行动,年度报告,2019,中广核技：2019年年度报告摘要,000881.SZ,中广核技,制造业,化学原料及化学制品制造业,辽宁省,中央国有企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000881/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc000""",双百行动,年度报告,2019,中国核建：2019年年度报告,601611.SH,中国核建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601611/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc001""",双百行动,年度报告,2019,中国西电：2019年年度报告,601179.SH,中国西电,制造业,电气机械及器材制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601179/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc002""",双百行动,年度报告,2019,农发种业：2019年年度报告（修订版）,600313.SH,农发种业,农、林、牧、渔业,农业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600313/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc003""",双百行动,年度报告,2019,宝钢股份：2019年年度报告,600019.SH,宝钢股份,制造业,黑色金属冶炼及压延加工业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600019/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc005""",双百行动,年度报告,2019,中电兴发：2019年年度报告,002298.SZ,中电兴发,信息传输、软件和信息技术服务业,软件和信息技术服务业,安徽省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002298/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc007""",双百行动,年度报告,2019,石化机械：2019年年度报告摘要,000852.SZ,石化机械,制造业,专用设备制造业,湖北省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000852/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc00a""",双百行动,年度报告,2019,老凤祥：2019年年度报告摘要,600612.SH,老凤祥,制造业,其他制造业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600612/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc00c""",双百行动,年度报告,2019,天地科技：2019年年度报告,600582.SH,天地科技,制造业,专用设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600582/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc00d""",双百行动,年度报告,2019,深粮控股：2019年年度报告,000019.SZ,深粮控股,电力、热力、燃气及水的生产和供应业,批发业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000019/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc00e""",双百行动,年度报告,2019,新疆交建：2019年年度报告,002941.SZ,新疆交建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,新疆维吾尔自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002941/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc010""",双百行动,年度报告,2019,中国建筑：2019年年度报告,601668.SH,中国建筑,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601668/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc012""",双百行动,年度报告,2019,云赛智联：2019年年度报告,600602.SH,云赛智联,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600602/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc013""",双百行动,年度报告,2019,冠农股份：2019年年度报告,600251.SH,冠农股份,制造业,农副食品加工业,新疆维吾尔自治区,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600251/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc014""",双百行动,年度报告,2019,华电重工：2019年年度报告,601226.SH,华电重工,科学研究和技术服务业,专业技术服务业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601226/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc015""",双百行动,年度报告,2019,中国化学：2019年年度报告,601117.SH,中国化学,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601117/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc016""",双百行动,年度报告,2019,一汽富维：2019年年度报告,600742.SH,一汽富维,制造业,汽车制造业,吉林省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600742/page_type/ndbg.phtml,,,,,,,,
"""5fab67670091c9411f2bc017""",双百行动,年度报告,2019,华润微：2019年年度报告,688396.SH,华润微,制造业,计算机、通信和其他电子设备制造业,,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688396/page_type/ndbg.phtml,,,,,,,,
