_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab677d0091c9411f2bc275""",泰山学者,年度报告,2019,辰欣药业：2019年年度报告,603367.SH,辰欣药业,制造业,医药制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603367/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc276""",泰山学者,年度报告,2019,康跃科技：2019年年度报告,300391.SZ,康跃科技,制造业,电气机械及器材制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300391/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc277""",泰山学者,年度报告,2019,罗欣药业：2019年年度报告,002793.SZ,罗欣药业,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002793/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc278""",泰山学者,年度报告,2019,山东章鼓：2019年年度报告,002598.SZ,山东章鼓,制造业,通用设备制造业,山东省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002598/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc279""",泰山学者,年度报告,2019,三角轮胎：2019年年度报告,601163.SH,三角轮胎,制造业,橡胶和塑料制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601163/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc27a""",泰山学者,年度报告,2019,新北洋：2019年年度报告,002376.SZ,新北洋,制造业,计算机、通信和其他电子设备制造业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002376/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc27c""",泰山学者,年度报告,2019,登海种业：2019年年度报告,002041.SZ,登海种业,农、林、牧、渔业,农业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002041/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc27e""",泰山学者,年度报告,2019,太阳纸业：2019年年度报告,002078.SZ,太阳纸业,制造业,造纸及纸制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002078/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc27f""",泰山学者,年度报告,2019,东诚药业：2019年年度报告,002675.SZ,东诚药业,制造业,医药制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002675/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc280""",泰山学者,年度报告,2019,杰瑞股份：2019年年度报告,002353.SZ,杰瑞股份,制造业,专用设备制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002353/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc281""",泰山学者,年度报告,2019,正海磁材：2019年年度报告（更新后）,300224.SZ,正海磁材,制造业,非金属矿物制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300224/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc282""",泰山学者,年度报告,2019,光威复材：2019年年度报告,300699.SZ,光威复材,制造业,化学纤维制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300699/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc283""",泰山学者,年度报告,2019,联诚精密：2019年年度报告,002921.SZ,联诚精密,制造业,金属制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002921/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc284""",泰山学者,年度报告,2019,圣农发展：2019年年度报告,002299.SZ,圣农发展,农、林、牧、渔业,畜牧业,福建省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002299/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc285""",泰山学者,年度报告,2019,东阿阿胶：2019年年度报告,000423.SZ,东阿阿胶,制造业,医药制造业,山东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000423/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc286""",泰山学者,年度报告,2019,潍柴动力：2019年年度报告,000338.SZ,潍柴动力,制造业,汽车制造业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000338/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc287""",泰山学者,年度报告,2019,海尔生物：2019年年度报告,688139.SH,海尔生物,制造业,专用设备制造业,山东省,集体企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688139/page_type/ndbg.phtml,,,,,,,,
