_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab677d0091c9411f2bc299""",生物医药及高性能医疗器械,年度报告,2019,铂力特：2019年年度报告,688333.SH,铂力特,制造业,通用设备制造业,陕西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688333/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc29a""",生物医药及高性能医疗器械,年度报告,2019,兴业股份：2019年年度报告,603928.SH,兴业股份,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603928/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc29b""",生物医药及高性能医疗器械,年度报告,2019,盈康生命：2019年年度报告,300143.SZ,盈康生命,卫生和社会工作业,卫生,广东省,集体企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300143/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc29d""",生物医药及高性能医疗器械,年度报告,2019,千红制药：2019年年度报告,002550.SZ,千红制药,制造业,医药制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002550/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc29e""",生物医药及高性能医疗器械,年度报告,2019,五矿稀土：2019年年度报告,000831.SZ,五矿稀土,制造业,有色金属冶炼及压延加工业,山西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000831/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc29f""",生物医药及高性能医疗器械,年度报告,2019,诚益通：2019年年度报告,300430.SZ,诚益通,制造业,仪器仪表制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300430/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a0""",生物医药及高性能医疗器械,年度报告,2019,佰仁医疗：2019年年度报告,688198.SH,佰仁医疗,制造业,专用设备制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688198/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a2""",生物医药及高性能医疗器械,年度报告,2019,泰瑞机器：2019年年度报告,603289.SH,泰瑞机器,制造业,专用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603289/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a3""",生物医药及高性能医疗器械,年度报告,2019,新华医疗：2019年年度报告,600587.SH,新华医疗,制造业,专用设备制造业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600587/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a5""",生物医药及高性能医疗器械,年度报告,2019,昊华科技：2019年年度报告,600378.SH,昊华科技,制造业,化学原料及化学制品制造业,四川省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600378/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a6""",生物医药及高性能医疗器械,年度报告,2019,众业达：2019年年度报告,002441.SZ,众业达,电力、热力、燃气及水的生产和供应业,批发业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002441/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a7""",生物医药及高性能医疗器械,年度报告,2019,戴维医疗：2019年年度报告,300314.SZ,戴维医疗,制造业,专用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300314/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a8""",生物医药及高性能医疗器械,年度报告,2019,康德莱：2019年年度报告,603987.SH,康德莱,制造业,专用设备制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603987/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2a9""",生物医药及高性能医疗器械,年度报告,2019,海尔生物：2019年年度报告,688139.SH,海尔生物,制造业,专用设备制造业,山东省,集体企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688139/page_type/ndbg.phtml,,,,,,,,
"""5fab677d0091c9411f2bc2ab""",生物医药及高性能医疗器械,年度报告,2019,宝钛股份：2019年年度报告摘要,600456.SH,宝钛股份,制造业,有色金属冶炼及压延加工业,陕西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600456/page_type/ndbg.phtml,,,,,,,,
