_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab677e0091c9411f2bc2ad""",电子信息产业发展基金,年度报告,2019,天地数码：2019年年度报告（更新后）,300743.SZ,天地数码,制造业,计算机、通信和其他电子设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300743/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2ae""",电子信息产业发展基金,年度报告,2019,科恒股份：2019年年度报告（更新后）,300340.SZ,科恒股份,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300340/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2af""",电子信息产业发展基金,年度报告,2019,华微电子：2019年年度报告,600360.SH,华微电子,制造业,计算机、通信和其他电子设备制造业,吉林省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600360/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b0""",电子信息产业发展基金,年度报告,2019,歌华有线：2019年年度报告,600037.SH,歌华有线,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输传输服务,北京市,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600037/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b1""",电子信息产业发展基金,年度报告,2019,南大光电：2019年年度报告,300346.SZ,南大光电,制造业,计算机、通信和其他电子设备制造业,江苏省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300346/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b2""",电子信息产业发展基金,年度报告,2019,榕基软件：2019年年度报告,002474.SZ,榕基软件,信息传输、软件和信息技术服务业,软件和信息技术服务业,福建省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002474/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b3""",电子信息产业发展基金,年度报告,2019,四川九洲：2019年年度报告,000801.SZ,四川九洲,制造业,计算机、通信和其他电子设备制造业,四川省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000801/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b4""",电子信息产业发展基金,年度报告,2019,双杰电气：2019年年度报告,300444.SZ,双杰电气,制造业,电气机械及器材制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300444/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b5""",电子信息产业发展基金,年度报告,2019,绿盟科技：2019年年度报告,300369.SZ,绿盟科技,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京市,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300369/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b6""",电子信息产业发展基金,年度报告,2019,长信科技：2019年年度报告,300088.SZ,长信科技,制造业,计算机、通信和其他电子设备制造业,安徽省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300088/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b7""",电子信息产业发展基金,年度报告,2019,泰豪科技：2019年年度报告,600590.SH,泰豪科技,制造业,电气机械及器材制造业,江西省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600590/page_type/ndbg.phtml,,,,,,,,
"""5fab677e0091c9411f2bc2b9""",电子信息产业发展基金,年度报告,2019,水晶光电：2019年年度报告,002273.SZ,水晶光电,制造业,计算机、通信和其他电子设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002273/page_type/ndbg.phtml,,,,,,,,
