_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab67840091c9411f2bc350""",航空航天装备,年度报告,2019,华昌达：2019年年度报告,300278.SZ,华昌达,制造业,专用设备制造业,湖北省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300278/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc351""",航空航天装备,年度报告,2019,欧比特：2019年年度报告摘要,300053.SZ,欧比特,制造业,计算机、通信和其他电子设备制造业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300053/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc352""",航空航天装备,年度报告,2019,上海沪工：2019年年度报告摘要,603131.SH,上海沪工,制造业,通用设备制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603131/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc354""",航空航天装备,年度报告,2019,日发精机：2019年年度报告,002520.SZ,日发精机,制造业,通用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002520/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc356""",航空航天装备,年度报告,2019,康拓红外：2019年年度报告,300455.SZ,康拓红外,制造业,计算机、通信和其他电子设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300455/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc357""",航空航天装备,年度报告,2019,新兴装备：2019年年度报告摘要,002933.SZ,新兴装备,制造业,铁路、船舶、航空航天和其它运输设备制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002933/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc359""",航空航天装备,年度报告,2019,利君股份：2019年年度报告,002651.SZ,利君股份,制造业,专用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002651/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc35a""",航空航天装备,年度报告,2019,兴业股份：2019年年度报告,603928.SH,兴业股份,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603928/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc35b""",航空航天装备,年度报告,2019,昊志机电：2019年年度报告,300503.SZ,昊志机电,制造业,通用设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300503/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc35c""",航空航天装备,年度报告,2019,ST瑞德：2019年年度报告,600666.SH,ST瑞德,制造业,计算机、通信和其他电子设备制造业,黑龙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600666/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc35e""",航空航天装备,年度报告,2019,五矿稀土：2019年年度报告,000831.SZ,五矿稀土,制造业,有色金属冶炼及压延加工业,山西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000831/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc35f""",航空航天装备,年度报告,2019,泰瑞机器：2019年年度报告,603289.SH,泰瑞机器,制造业,专用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603289/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc360""",航空航天装备,年度报告,2019,西部材料：2019年年度报告,002149.SZ,西部材料,制造业,有色金属冶炼及压延加工业,陕西省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002149/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc362""",航空航天装备,年度报告,2019,昊华科技：2019年年度报告,600378.SH,昊华科技,制造业,化学原料及化学制品制造业,四川省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600378/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc363""",航空航天装备,年度报告,2019,众业达：2019年年度报告,002441.SZ,众业达,电力、热力、燃气及水的生产和供应业,批发业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002441/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc364""",航空航天装备,年度报告,2019,赛象科技：2019年年度报告,002337.SZ,赛象科技,制造业,专用设备制造业,天津市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002337/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc365""",航空航天装备,年度报告,2019,海特高新：2019年年度报告,002023.SZ,海特高新,制造业,铁路、船舶、航空航天和其它运输设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002023/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc367""",航空航天装备,年度报告,2019,海格通信：2019年年度报告,002465.SZ,海格通信,制造业,计算机、通信和其他电子设备制造业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002465/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc368""",航空航天装备,年度报告,2019,贝斯特：2019年年度报告,300580.SZ,贝斯特,制造业,汽车制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300580/page_type/ndbg.phtml,,,,,,,,
"""5fab67840091c9411f2bc369""",航空航天装备,年度报告,2019,海天精工：2019年年度报告摘要,601882.SH,海天精工,制造业,通用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601882/page_type/ndbg.phtml,,,,,,,,
