_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab67850091c9411f2bc36c""",节能与新能源汽车,年度报告,2019,*ST斯太：2019年年度报告,000760.SZ,*ST斯太,制造业,汽车制造业,湖北省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000760/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc36d""",节能与新能源汽车,年度报告,2019,保隆科技：2019年年度报告摘要,603197.SH,保隆科技,制造业,汽车制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603197/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc371""",节能与新能源汽车,年度报告,2019,特锐德：2019年年度报告（更新后）,300001.SZ,特锐德,制造业,电气机械及器材制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300001/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc372""",节能与新能源汽车,年度报告,2019,渤海汽车：2019年年度报告摘要,600960.SH,渤海汽车,制造业,汽车制造业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600960/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc374""",节能与新能源汽车,年度报告,2019,东风科技：2019年年度报告,600081.SH,东风科技,制造业,汽车制造业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600081/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc375""",节能与新能源汽车,年度报告,2019,万安科技：2019年年度报告,002590.SZ,万安科技,制造业,汽车制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002590/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc376""",节能与新能源汽车,年度报告,2019,长安汽车：2019年年度报告,000625.SZ,长安汽车,制造业,汽车制造业,重庆市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000625/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc377""",节能与新能源汽车,年度报告,2019,中国汽研：2019年年度报告,601965.SH,中国汽研,科学研究和技术服务业,专业技术服务业,重庆市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601965/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc379""",节能与新能源汽车,年度报告,2019,和胜股份：2019年年度报告,002824.SZ,和胜股份,制造业,有色金属冶炼及压延加工业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002824/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc37a""",节能与新能源汽车,年度报告,2019,天齐锂业：2019年年度报告,002466.SZ,天齐锂业,制造业,有色金属冶炼及压延加工业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002466/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc37b""",节能与新能源汽车,年度报告,2019,大洋电机：2019年年度报告,002249.SZ,大洋电机,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002249/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc37c""",节能与新能源汽车,年度报告,2019,中国电器：2019年年度报告,688128.SH,中国电器,制造业,专用设备制造业,广东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688128/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc37d""",节能与新能源汽车,年度报告,2019,丽岛新材：2019年年度报告,603937.SH,丽岛新材,制造业,金属制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603937/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc37e""",节能与新能源汽车,年度报告,2019,天永智能：2019年年度报告摘要,603895.SH,天永智能,制造业,专用设备制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603895/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc380""",节能与新能源汽车,年度报告,2019,德宏股份：2019年年度报告,603701.SH,德宏股份,制造业,电气机械及器材制造业,浙江省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603701/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc381""",节能与新能源汽车,年度报告,2019,科力远：2019年年度报告,600478.SH,科力远,制造业,电气机械及器材制造业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600478/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc383""",节能与新能源汽车,年度报告,2019,英可瑞：2019年年度报告,300713.SZ,英可瑞,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300713/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc384""",节能与新能源汽车,年度报告,2019,金冠股份：2019年年度报告摘要,300510.SZ,金冠股份,制造业,电气机械及器材制造业,吉林省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300510/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc385""",节能与新能源汽车,年度报告,2019,德威新材：2019年年度报告,300325.SZ,德威新材,制造业,橡胶和塑料制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300325/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc387""",节能与新能源汽车,年度报告,2019,派生科技：2019年年度报告摘要,300176.SZ,派生科技,制造业,汽车制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300176/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc389""",节能与新能源汽车,年度报告,2019,和顺电气：2019年年度报告,300141.SZ,和顺电气,制造业,电气机械及器材制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300141/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc38a""",节能与新能源汽车,年度报告,2019,长鹰信质：2019年年度报告,002664.SZ,长鹰信质,制造业,汽车制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002664/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc38b""",节能与新能源汽车,年度报告,2019,亚太科技：2019年年度报告,002540.SZ,亚太科技,制造业,有色金属冶炼及压延加工业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002540/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc38d""",节能与新能源汽车,年度报告,2019,万马股份：2019年年度报告摘要,002276.SZ,万马股份,制造业,电气机械及器材制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002276/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc38e""",节能与新能源汽车,年度报告,2019,方正电机：2019年年度报告摘要,002196.SZ,方正电机,制造业,专用设备制造业,浙江省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002196/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc38f""",节能与新能源汽车,年度报告,2019,越博动力：2019年年度报告,300742.SZ,越博动力,制造业,汽车制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300742/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc391""",节能与新能源汽车,年度报告,2019,兴业股份：2019年年度报告,603928.SH,兴业股份,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603928/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc392""",节能与新能源汽车,年度报告,2019,冠城大通：2019年年度报告（修订版）,600067.SH,冠城大通,房地产业,房地产业,福建省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600067/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc393""",节能与新能源汽车,年度报告,2019,星源材质：2019年年度报告,300568.SZ,星源材质,制造业,化学原料及化学制品制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300568/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc394""",节能与新能源汽车,年度报告,2019,富临精工：2019年年度报告,300432.SZ,富临精工,制造业,汽车制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300432/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc395""",节能与新能源汽车,年度报告,2019,远东传动：2019年年度报告摘要,002406.SZ,远东传动,制造业,汽车制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002406/page_type/ndbg.phtml,,,,,,,,
"""5fab67850091c9411f2bc396""",节能与新能源汽车,年度报告,2019,克劳斯：2019年年度报告摘要,600579.SH,克劳斯,制造业,专用设备制造业,山东省,中央国有企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600579/page_type/ndbg.phtml,,,,,,,,
