_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab655d489a8840dfc2afba""",973计划,年度报告,2019,航天宏图：2019年年度报告（修订版）,688066.SH,航天宏图,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688066/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afbb""",973计划,年度报告,2019,道恩股份：2019年年度报告（更新后）,002838.SZ,道恩股份,制造业,橡胶和塑料制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002838/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afbc""",973计划,年度报告,2019,恒立液压：2019年年度报告,601100.SH,恒立液压,制造业,专用设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601100/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afbd""",973计划,年度报告,2019,格林美：2019年年度报告,002340.SZ,格林美,制造业,废弃资源综合利用业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002340/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afbe""",973计划,年度报告,2019,百利科技：2019年年度报告,603959.SH,百利科技,电力、热力、燃气及水的生产和供应业,土木工程建筑业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603959/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afbf""",973计划,年度报告,2019,南都电源：2019年年度报告,300068.SZ,南都电源,制造业,电气机械及器材制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300068/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc1""",973计划,年度报告,2019,海利尔：2019年年度报告,603639.SH,海利尔,制造业,化学原料及化学制品制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603639/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc2""",973计划,年度报告,2019,开能健康：2019年年度报告,300272.SZ,开能健康,制造业,电气机械及器材制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300272/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc3""",973计划,年度报告,2019,以岭药业：2019年年度报告,002603.SZ,以岭药业,制造业,医药制造业,河北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002603/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc5""",973计划,年度报告,2019,汉森制药：2019年年度报告,002412.SZ,汉森制药,制造业,医药制造业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002412/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc6""",973计划,年度报告,2019,机器人：2019年年度报告,300024.SZ,机器人,制造业,通用设备制造业,辽宁省,中央国家机关,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300024/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc7""",973计划,年度报告,2019,奥克股份：2019年年度报告,300082.SZ,奥克股份,制造业,化学原料及化学制品制造业,辽宁省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300082/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc8""",973计划,年度报告,2019,三安光电：2019年年度报告,600703.SH,三安光电,制造业,计算机、通信和其他电子设备制造业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600703/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afc9""",973计划,年度报告,2019,赢合科技：2019年年度报告,300457.SZ,赢合科技,制造业,专用设备制造业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300457/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afca""",973计划,年度报告,2019,五矿稀土：2019年年度报告,000831.SZ,五矿稀土,制造业,有色金属冶炼及压延加工业,山西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000831/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afcd""",973计划,年度报告,2019,信维通信：2019年年度报告,300136.SZ,信维通信,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300136/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afce""",973计划,年度报告,2019,天安新材：2019年年度报告,603725.SH,天安新材,制造业,橡胶和塑料制品业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603725/page_type/ndbg.phtml,,,
"""5fab655d489a8840dfc2afcf""",973计划,年度报告,2019,上海电气：2019年年度报告,601727.SH,上海电气,制造业,通用设备制造业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601727/page_type/ndbg.phtml,,,
