_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab677a0091c9411f2bc233""",“战略性先进电子材料,年度报告,2019,丹邦科技：2019年年度报告,002618.SZ,丹邦科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002618/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc234""",“战略性先进电子材料,年度报告,2019,特锐德：2019年年度报告（更新后）,300001.SZ,特锐德,制造业,电气机械及器材制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300001/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc235""",“战略性先进电子材料,年度报告,2019,鸣志电器：2019年年度报告,603728.SH,鸣志电器,制造业,电气机械及器材制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603728/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc236""",“战略性先进电子材料,年度报告,2019,*ST飞乐：2019年年度报告,600651.SH,*ST飞乐,制造业,电气机械及器材制造业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600651/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc237""",“战略性先进电子材料,年度报告,2019,*ST德豪：2019年年度报告,002005.SZ,*ST德豪,制造业,电气机械及器材制造业,安徽省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002005/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc238""",“战略性先进电子材料,年度报告,2019,光峰科技：2019年年度报告,688007.SH,光峰科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688007/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc239""",“战略性先进电子材料,年度报告,2019,乾照光电：2019年年度报告,300102.SZ,乾照光电,制造业,计算机、通信和其他电子设备制造业,福建省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300102/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc23b""",“战略性先进电子材料,年度报告,2019,长方集团：2019年年度报告（更新后）,300301.SZ,长方集团,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300301/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc23d""",“战略性先进电子材料,年度报告,2019,三安光电：2019年年度报告,600703.SH,三安光电,制造业,计算机、通信和其他电子设备制造业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600703/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc23e""",“战略性先进电子材料,年度报告,2019,士兰微：2019年年度报告,600460.SH,士兰微,制造业,计算机、通信和其他电子设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600460/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc23f""",“战略性先进电子材料,年度报告,2019,星宇股份：2019年年度报告,601799.SH,星宇股份,制造业,汽车制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601799/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc240""",“战略性先进电子材料,年度报告,2019,阳光照明：2019年年度报告,600261.SH,阳光照明,制造业,电气机械及器材制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600261/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc241""",“战略性先进电子材料,年度报告,2019,英杰电气：2019年年度报告,300820.SZ,英杰电气,制造业,电气机械及器材制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300820/page_type/ndbg.phtml,,,
"""5fab677a0091c9411f2bc242""",“战略性先进电子材料,年度报告,2019,华灿光电：2019年年度报告,300323.SZ,华灿光电,制造业,计算机、通信和其他电子设备制造业,湖北省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300323/page_type/ndbg.phtml,,,
