_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab655f489a8840dfc2afd8""",一带一路,年度报告,2019,天翔环境：2019年年度报告摘要（更新后）,300362.SZ,天翔环境,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300362/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afda""",一带一路,年度报告,2019,*ST猛狮：2019年年度报告摘要（更新后）,002684.SZ,*ST猛狮,制造业,电气机械及器材制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002684/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afdc""",一带一路,年度报告,2019,台海核电：2019年年度报告（更新后）,002366.SZ,台海核电,制造业,专用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002366/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afdf""",一带一路,年度报告,2019,安阳钢铁：2019年年度报告（修订版）,600569.SH,安阳钢铁,制造业,黑色金属冶炼及压延加工业,河南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600569/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe0""",一带一路,年度报告,2019,*ST长城：2019年年度报告（更新后）,002071.SZ,*ST长城,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002071/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe1""",一带一路,年度报告,2019,卓郎智能：2019年年度报告（修订版）,600545.SH,卓郎智能,制造业,专用设备制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600545/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe2""",一带一路,年度报告,2019,航天长峰：2019年年度报告（修订版）,600855.SH,航天长峰,制造业,专用设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600855/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe3""",一带一路,年度报告,2019,ST八菱：2019年年度报告（更新后）,002592.SZ,ST八菱,制造业,汽车制造业,广西壮族自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002592/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe5""",一带一路,年度报告,2019,洲际油气：2019年年度报告（修订）,600759.SH,洲际油气,采矿业,石油和天然气开采业,海南省,境外,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600759/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe8""",一带一路,年度报告,2019,航天动力：2019年年度报告（修订版）,600343.SH,航天动力,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600343/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afe9""",一带一路,年度报告,2019,隆鑫通用：2019年年度报告全文（修订版）,603766.SH,隆鑫通用,制造业,铁路、船舶、航空航天和其它运输设备制造业,重庆市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603766/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afeb""",一带一路,年度报告,2019,*ST安通：2019年年度报告（更新后）,600179.SH,*ST安通,交通运输、仓储和邮政业,装卸搬运和其他运输代理业,黑龙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600179/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afec""",一带一路,年度报告,2019,濮耐股份：2019年年度报告（更新后）,002225.SZ,濮耐股份,制造业,非金属矿物制品业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002225/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afed""",一带一路,年度报告,2019,瑞茂通：2019年年度报告（修订版）,600180.SH,瑞茂通,电力、热力、燃气及水的生产和供应业,批发业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600180/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afee""",一带一路,年度报告,2019,奥特迅：2019年年度报告（更新后）,002227.SZ,奥特迅,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002227/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2afef""",一带一路,年度报告,2019,贝肯能源：2019年年度报告（更新后）,002828.SZ,贝肯能源,采矿业,开采辅助活动,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002828/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2aff0""",一带一路,年度报告,2019,鸿达兴业：2019年年度报告（更新后）,002002.SZ,鸿达兴业,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002002/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2aff1""",一带一路,年度报告,2019,中曼石油：2019年年度报告,603619.SH,中曼石油,采矿业,开采辅助活动,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603619/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2aff3""",一带一路,年度报告,2019,*ST拉夏：2019年年度报告,603157.SH,*ST拉夏,制造业,纺织服装、服饰业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603157/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2aff7""",一带一路,年度报告,2019,楚天高速：2019年年度报告,600035.SH,楚天高速,交通运输、仓储和邮政业,道路运输业,湖北省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600035/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2aff8""",一带一路,年度报告,2019,天泽信息：2019年年度报告,300209.SZ,天泽信息,信息传输、软件和信息技术服务业,软件和信息技术服务业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300209/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2affa""",一带一路,年度报告,2019,凯撒旅业：2019年年度报告（更新后）,000796.SZ,凯撒旅业,租赁和商务服务业,商务服务业,陕西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000796/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2affb""",一带一路,年度报告,2019,风范股份：2019年年度报告（修订版）,601700.SH,风范股份,制造业,金属制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601700/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2affc""",一带一路,年度报告,2019,ST天成：2019年年度报告,600112.SH,ST天成,制造业,电气机械及器材制造业,贵州省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600112/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2affe""",一带一路,年度报告,2019,昇兴股份：2019年年度报告（更新后）,002752.SZ,昇兴股份,制造业,金属制品业,福建省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002752/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b000""",一带一路,年度报告,2019,西藏珠峰：2019年年度报告全文,600338.SH,西藏珠峰,采矿业,有色金属矿采选业,西藏自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600338/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b002""",一带一路,年度报告,2019,*ST北讯：2019年年度报告,002359.SZ,*ST北讯,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输传输服务,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002359/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b003""",一带一路,年度报告,2019,*ST长动：2019年年度报告,000835.SZ,*ST长动,信息传输、软件和信息技术服务业,互联网和相关服务,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000835/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b004""",一带一路,年度报告,2019,东旭光电：2019年年度报告摘要,000413.SZ,东旭光电,制造业,计算机、通信和其他电子设备制造业,河北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000413/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b006""",一带一路,年度报告,2019,ST庞大：2019年年度报告,601258.SH,ST庞大,电力、热力、燃气及水的生产和供应业,零售业,河北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601258/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b007""",一带一路,年度报告,2019,*ST鹏起：2019年年度报告,600614.SH,*ST鹏起,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600614/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b008""",一带一路,年度报告,2019,*ST环球：2019年年度报告,600146.SH,*ST环球,制造业,纺织服装、服饰业,宁夏回族自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600146/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b009""",一带一路,年度报告,2019,*ST斯太：2019年年度报告,000760.SZ,*ST斯太,制造业,汽车制造业,湖北省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000760/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b00a""",一带一路,年度报告,2019,航天宏图：2019年年度报告（修订版）,688066.SH,航天宏图,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688066/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b00b""",一带一路,年度报告,2019,ST华鼎：2019年年度报告（修订版）,601113.SH,ST华鼎,制造业,化学纤维制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601113/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b00f""",一带一路,年度报告,2019,华西能源：2019年年度报告（更新后）,002630.SZ,华西能源,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002630/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b010""",一带一路,年度报告,2019,太安堂：2019年年度报告（更新后）,002433.SZ,太安堂,制造业,医药制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002433/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b011""",一带一路,年度报告,2019,*ST当代：2019年年度报告（更新后）,000673.SZ,*ST当代,文化、体育和娱乐业,文化艺术业,山西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000673/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b012""",一带一路,年度报告,2019,*ST厦工：2019年年度报告（更新稿）,600815.SH,*ST厦工,制造业,专用设备制造业,福建省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600815/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b014""",一带一路,年度报告,2019,太原重工：2019年年度报告（修订版）,600169.SH,太原重工,制造业,专用设备制造业,山西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600169/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b016""",一带一路,年度报告,2019,*ST金洲：2019年年度报告（更新后）,000587.SZ,*ST金洲,制造业,其他制造业,黑龙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000587/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b017""",一带一路,年度报告,2019,ST中安：2019年年度报告（修订稿）,600654.SH,ST中安,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600654/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b018""",一带一路,年度报告,2019,海南橡胶：2019年年度报告（修订稿）,601118.SH,海南橡胶,农、林、牧、渔业,农业,海南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601118/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b019""",一带一路,年度报告,2019,*ST目药：2019年度报告（修订版）,600671.SH,*ST目药,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600671/page_type/ndbg.phtml,,,
"""5fab655f489a8840dfc2b01a""",一带一路,年度报告,2019,国机通用：2019年年度报告（修订版）,600444.SH,国机通用,制造业,通用设备制造业,安徽省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600444/page_type/ndbg.phtml,,,
