_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab673e0091c9411f2bbcfb""",京津冀协同发展,年度报告,2019,楚天高速：2019年年度报告,600035.SH,楚天高速,交通运输、仓储和邮政业,道路运输业,湖北省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600035/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbcfc""",京津冀协同发展,年度报告,2019,*ST鹏起：2019年年度报告,600614.SH,*ST鹏起,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600614/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbcfd""",京津冀协同发展,年度报告,2019,华西能源：2019年年度报告（更新后）,002630.SZ,华西能源,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002630/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbcfe""",京津冀协同发展,年度报告,2019,*ST金洲：2019年年度报告（更新后）,000587.SZ,*ST金洲,制造业,其他制造业,黑龙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000587/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbcff""",京津冀协同发展,年度报告,2019,今创集团：2019年年度报告（修订稿）,603680.SH,今创集团,制造业,铁路、船舶、航空航天和其它运输设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603680/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd01""",京津冀协同发展,年度报告,2019,华侨城A：2019年年度报告（更新后）,000069.SZ,华侨城A,房地产业,房地产业,广东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000069/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd03""",京津冀协同发展,年度报告,2019,锌业股份：2019年年度报告（更新后）,000751.SZ,锌业股份,制造业,有色金属冶炼及压延加工业,辽宁省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000751/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd04""",京津冀协同发展,年度报告,2019,中衡设计：2019年年度报告摘要,603017.SH,中衡设计,科学研究和技术服务业,专业技术服务业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603017/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd06""",京津冀协同发展,年度报告,2019,花王股份：2019年年度报告,603007.SH,花王股份,电力、热力、燃气及水的生产和供应业,土木工程建筑业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603007/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd07""",京津冀协同发展,年度报告,2019,春秋航空：2019年年度报告,601021.SH,春秋航空,交通运输、仓储和邮政业,航空运输业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601021/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd08""",京津冀协同发展,年度报告,2019,华建集团：2019年年度报告,600629.SH,华建集团,科学研究和技术服务业,专业技术服务业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600629/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd09""",京津冀协同发展,年度报告,2019,ST坊展：2019年年度报告摘要,600149.SH,ST坊展,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,河北省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600149/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd0b""",京津冀协同发展,年度报告,2019,宝利国际：2019年年度报告,300135.SZ,宝利国际,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300135/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd0e""",京津冀协同发展,年度报告,2019,河钢股份：2019年年度报告（更新后）,000709.SZ,河钢股份,制造业,黑色金属冶炼及压延加工业,河北省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000709/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd10""",京津冀协同发展,年度报告,2019,中国核建：2019年年度报告摘要,601611.SH,中国核建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601611/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd12""",京津冀协同发展,年度报告,2019,贵绳股份：2019年年度报告,600992.SH,贵绳股份,制造业,金属制品业,贵州省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600992/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd13""",京津冀协同发展,年度报告,2019,中华企业：2019年年度报告,600675.SH,中华企业,房地产业,房地产业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600675/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd14""",京津冀协同发展,年度报告,2019,国网英大：2019年年度报告,600517.SH,国网英大,制造业,电气机械及器材制造业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600517/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd15""",京津冀协同发展,年度报告,2019,中环装备：2019年年度报告摘要,300140.SZ,中环装备,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300140/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd16""",京津冀协同发展,年度报告,2019,南风股份：2019年年度报告,300004.SZ,南风股份,制造业,通用设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300004/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd17""",京津冀协同发展,年度报告,2019,翔鹭钨业：2019年年度报告,002842.SZ,翔鹭钨业,制造业,有色金属冶炼及压延加工业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002842/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd18""",京津冀协同发展,年度报告,2019,北京银行：2019年年度报告,601169.SH,北京银行,金融业,货币金融服务,北京市,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601169/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd19""",京津冀协同发展,年度报告,2019,中国国贸：2019年年度报告,600007.SH,中国国贸,房地产业,房地产业,北京市,其他,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600007/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd1a""",京津冀协同发展,年度报告,2019,航新科技：2019年年度报告摘要,300424.SZ,航新科技,制造业,铁路、船舶、航空航天和其它运输设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300424/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd1c""",京津冀协同发展,年度报告,2019,绿茵生态：2019年年度报告摘要,002887.SZ,绿茵生态,水利、环境和公共设施管理业,生态保护和环境治理业,天津市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002887/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd1d""",京津冀协同发展,年度报告,2019,北玻股份：2019年年度报告摘要,002613.SZ,北玻股份,制造业,专用设备制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002613/page_type/ndbg.phtml,,,
"""5fab673e0091c9411f2bbd1f""",京津冀协同发展,年度报告,2019,中南建设：2019年年度报告摘要,000961.SZ,中南建设,房地产业,房地产业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000961/page_type/ndbg.phtml,,,
