_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab676a0091c9411f2bc059""",国产替代,年度报告,2019,航天长峰：2019年年度报告（修订版）,600855.SH,航天长峰,制造业,专用设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600855/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc05a""",国产替代,年度报告,2019,大唐电信：2019年年度报告（修订版）,600198.SH,大唐电信,制造业,计算机、通信和其他电子设备制造业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600198/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc05b""",国产替代,年度报告,2019,航天动力：2019年年度报告（修订版）,600343.SH,航天动力,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600343/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc05c""",国产替代,年度报告,2019,泛微网络：2019年年度报告（修订版）,603039.SH,泛微网络,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603039/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc05d""",国产替代,年度报告,2019,*ST湘电：2019年年报全文（修订）,600416.SH,*ST湘电,制造业,通用设备制造业,湖南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600416/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc05e""",国产替代,年度报告,2019,*ST康得：2019年年度报告,002450.SZ,*ST康得,制造业,橡胶和塑料制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002450/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc060""",国产替代,年度报告,2019,ST天成：2019年年度报告摘要,600112.SH,ST天成,制造业,电气机械及器材制造业,贵州省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600112/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc062""",国产替代,年度报告,2019,航天宏图：2019年年度报告（修订版）,688066.SH,航天宏图,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688066/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc063""",国产替代,年度报告,2019,道恩股份：2019年年度报告（更新后）,002838.SZ,道恩股份,制造业,橡胶和塑料制品业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002838/page_type/ndbg.phtml,,,
"""5fab676a0091c9411f2bc064""",国产替代,年度报告,2019,华特气体：2019年年度报告（修订版）,688268.SH,华特气体,制造业,化学原料及化学制品制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/688268/page_type/ndbg.phtml,,,
