_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments,section,location,mentionPrevious,mention,mentionNext
"""5fab67750091c9411f2bc19e""",国家自然科学基金,年度报告,2019,*ST北能：2019年年度报告（更新后）,000803.SZ,*ST北能,制造业,电气机械及器材制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000803/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,437,,博士学位。曾任北京市环境保护科学研究院总工程师。现为清华大学环境学院教授，国家环境保护部科学技术委员会委员，国家环境保护技术管理与评估工程技术中心主任。近5年来，承担国家重大水专项、国家科技支撑计划、国家自然科学基金等项目20余项。共发表中英文论文100余篇，其中SCI论文30余篇，获得授权专利20余项。曾荣获国家科学技术进步奖二等奖1次，教育部科技进步奖、教育部技术发明奖和环保科技进步奖等省部级,
"""5fab67750091c9411f2bc19f""",国家自然科学基金,年度报告,2019,*ST友谊：2019年年度报告（更新后）,000679.SZ,*ST友谊,电力、热力、燃气及水的生产和供应业,零售业,辽宁省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000679/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,485,,独立董事。张琦，男，1978年出生，教授，博士，博士生导师，中南财经政法大学政府会计研究所所长，大数据研究院副院长，财政部全国会计领军人才，中国注册会计师，湖北省新世纪高层次人才工程人选（第二层次），国家自然科学基金通讯评议专家，《经济研究》等杂志匿名审稿专家，中国会计学会政府与非营利组织会计专业委员会副主任委员、中国审计学会常务理事、,
"""5fab67750091c9411f2bc1a1""",国家自然科学基金,年度报告,2019,*ST辅仁：2019年年度报告,600781.SH,*ST辅仁,制造业,医药制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600781/page_type/ndbg.phtml,,,,,0,,男，1967 年 9 月出生，天津大学管理与经济学部教授，博士生导师，国家社科基金重大项目首席专家，教育部（跨）世纪人才，中国系              统工程学会能源资源系统工程分会常务理事，国家自然科学基金评审专家、国家留学基金委评审专家，全国公共管理硕士（MPA）优秀学              位论文评审专家，天津市优秀科技工作者，天津市商务委专家，天津市委宣传部习近平新时代中国特色,
"""5fab67750091c9411f2bc1a2""",国家自然科学基金,年度报告,2019,兴民智通：2019年年度报告,002355.SZ,兴民智通,制造业,汽车制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002355/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,593,,aner Production、China Economics Review、《经济研究》、《管理世界》、《经济学季刊》等国内外顶级或核心学术期刊发表论文60余篇。主持教育部哲学社会科学重大课题1项，国家自然科学基金4项，省部级课题7项。获“教育部高等学校科学研究优秀成果奖（人文社会科学）二等奖”、“上海市哲学社会科学优秀著作一等奖”等国家或省部级奖励9项。担任《中国社会科学》、《经济研究》等10,
"""5fab67750091c9411f2bc1a2""",国家自然科学基金,年度报告,2019,兴民智通：2019年年度报告,002355.SZ,兴民智通,制造业,汽车制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002355/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,594,,济与管理学院会计系教授、博士生导师，现任武汉大学经济与管理学院会计系主任。入选财政部全国会计领军人才（学术类）、武汉大学珞珈青年学者；兼任武汉市会计学会常务理事、武汉市会计专业高级职务评审委员会委员、国家自然科学基金和国家社会科学基金同行评议专家。2015年12月至今任株洲飞鹿高新材料技术股份有限公司独立董事，2018年6月至今任株洲华锐精密工具股份有限公司独立董事，2019年11月至今任长江证券,
"""5fab67750091c9411f2bc1a3""",国家自然科学基金,年度报告,2019,东旭蓝天：2019年年度报告（更新后）,000040.SZ,东旭蓝天,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000040/page_type/ndbg.phtml,,,,,0,,"评论》、《会 计研究》、Journal of Business Finance & Accounting、Journal of Corporate Finance 等学术期刊上发表文章若 干。主持完成国家自然科学基金项目——""风险投资退出研究：基于会计信息质量与政治关联的双重视角""。 荣获 2011 年度、2016 年度北京大学教学优秀奖。罗炜博士 2004 年曾荣获 American Accou",
"""5fab67750091c9411f2bc1a5""",国家自然科学基金,年度报告,2019,恒泰艾普：2019年年度报告,300157.SZ,恒泰艾普,采矿业,开采辅助活动,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300157/page_type/ndbg.phtml,,,,,560,,专业管理学（会计学）硕士、中国人民大学商学院会计学专业管理学（会计学）博士。现任中央财经大学会计学院教授，博士生导师。财政部会计领军（后备）人才计划学术类二期学员，中国会计学会财务与成本分会常务理事，国家自然科学基金通讯评审专家，北京市自然科学基金通讯评审专家。曾任北京电子城投资开发集团股份有限公司、江苏爱康科技股份有限公司独立董事。袁淳先生已取得深交所独立董事任职资格证书。叶金兴先生，博士，高级,
"""5fab67750091c9411f2bc1a6""",国家自然科学基金,年度报告,2019,天山生物：2019年年度报告（更新后）,300313.SZ,天山生物,农、林、牧、渔业,畜牧业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300313/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,645,7、蔺进先生，1978年12月出生，中国国籍，无境外永久居留权，大专学历。2014年至2015年1月，任新疆亚中机电销售租赁股份有限公司总经理助理兼融资租赁公司总经理职务；2015年至2018年10月，任海尔融资租赁股份有限公司现代农业事业部总经理职务。2018年10月至今，任重庆新融农牧科技有限公司董事长兼CEO职务。目前兼任中国畜牧业协会常务理事职务、中加肉牛产业合作联盟副理事长职务。现任天山生物独立董事。,8、李宇立女士，1976年6月出生，中国国籍，无境外永久居留权，博士，现任新疆财经大学会计学院教授，硕士生导师，入选财政部全国会计领军（后备）人才（学术类），曾获新疆高等教育教学成果一等奖、国家级教学成果二等奖等奖项，已主持两项国家自然科学基金项目。曾任天山生物第三届董事会独立董事。现任西域旅游独立董事、天山生物第四届独立董事。,9、李大明先生，1967年4月出生，中国国籍，无境外永久居留权，研究生学历。自1998年至今就职于新疆天阳律师事务所，现任天阳律师事务所合伙人律师，天阳律师事务所公司与证券法律业务部负责人，美克股份独立董事、西部建设独立董事、百花村独立董事、冠农股份独立董事、天山生物独立董事。兼任全国律协公司法专业委员会委员、自治区律协公司与证券专业委员会主任委员、中国证券业协会证券纠纷调解员。
"""5fab67750091c9411f2bc1a7""",国家自然科学基金,年度报告,2019,鼎龙股份：2019年年度报告,300054.SZ,鼎龙股份,制造业,化学原料及化学制品制造业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300054/page_type/ndbg.phtml,,,,,0,,育部新世纪优秀人才， 武汉大学人文社科“70后”学术团队带头人，美国印第安纳大学访问学者。现任武汉大学经济与管理学院教授、博士生导师。 主要研究领域为企业投融资与公司发展战略、并购与资本运作。主持6项国家自然科学基金项目，在国内外重要学术刊物 发表论文 30 余篇。目前，余明桂先生担任烽火通信（证券代码：600498）、回天新材 （证券代码：300041）、天喻信 息（证券代码：300205）、银,
"""5fab67750091c9411f2bc1a8""",国家自然科学基金,年度报告,2019,双鹭药业：2019年年度报告（更新后）,002038.SZ,双鹭药业,制造业,医药制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002038/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,118,公司创始人、董事长、总经理徐明波博士为公司技术带头人，兼任国家级企业技术中心主任、北京重组蛋白药物及长效制剂工程技术研究中心主任。其从事生物工程研究开发和产业化工作30年，创业已逾二十年，凭着对行业发展机遇的把握和产品开发独到的见解，获得多项科研成果奖励。现兼任北京市科学技术协会副主席、企业创新工作委员会主任、中关村核心区生物医药产业联盟理事长、北京药理学会常务理事、生化工程国家重点实验室学术委员会委员。多年来潜心科研，立志国内创业。其带领团队近几年承担了“创新性基因工程药物孵化基地”国家重大专项等课题9项。以第一完成人获得北京市科技进步一等奖1项、二等奖2项。获得国家科技进步二等奖1项。获军队科技进步一等奖一项。获得授权发明专利11件，发表论文40余篇。主持研制上市了5个国家一、二类基因工程新药并取得巨大的经济和社会效益，是北京市有突出贡献的专家并享受政府特殊津贴，新世纪百千万人才工程国家级人选，科技北京百名领军人才。曾荣获首都五一劳动奖章。在“2014首都科技盛典”活动中被评为推动“北京创造”的十大科技人物。,公司技术中心及参股公司、海外团队还拥有众多优秀科研带头人，如美国密西根大学终身教授、密西根大学转化医学研究所所长、美国心血管糖尿病专家、中国国家自然科学基金核心专家、中美临床药理基地主任、美国医学科学院院士陈育庆博士，美国密西根大学医学院教授徐捷博士，公司技术中心生物药核心团队，子公司和参股公司的李文欣博士、李丽博士等。,3、产品及项目优势
