_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab677b0091c9411f2bc244""",新一代信息技术产业发展,年度报告,2019,ST新海：2019年年度报告（更新后）,002089.SZ,ST新海,制造业,计算机、通信和其他电子设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002089/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc245""",新一代信息技术产业发展,年度报告,2019,天泽信息：2019年年度报告,300209.SZ,天泽信息,信息传输、软件和信息技术服务业,软件和信息技术服务业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300209/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc248""",新一代信息技术产业发展,年度报告,2019,欧比特：2019年年度报告（更新后）,300053.SZ,欧比特,制造业,计算机、通信和其他电子设备制造业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300053/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc249""",新一代信息技术产业发展,年度报告,2019,迪威迅：2019年年度报告,300167.SZ,迪威迅,信息传输、软件和信息技术服务业,软件和信息技术服务业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300167/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc24b""",新一代信息技术产业发展,年度报告,2019,*ST德豪：2019年年度报告,002005.SZ,*ST德豪,制造业,电气机械及器材制造业,安徽省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002005/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc24c""",新一代信息技术产业发展,年度报告,2019,汇顶科技：2019年年度报告,603160.SH,汇顶科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603160/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc24d""",新一代信息技术产业发展,年度报告,2019,全通教育：2019年年度报告,300359.SZ,全通教育,信息传输、软件和信息技术服务业,软件和信息技术服务业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300359/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc24e""",新一代信息技术产业发展,年度报告,2019,先导智能：2019年年度报告,300450.SZ,先导智能,制造业,专用设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300450/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc24f""",新一代信息技术产业发展,年度报告,2019,汇川技术：2019年年度报告,300124.SZ,汇川技术,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300124/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc250""",新一代信息技术产业发展,年度报告,2019,珠海中富：2019年年度报告,000659.SZ,珠海中富,制造业,橡胶和塑料制品业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000659/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc251""",新一代信息技术产业发展,年度报告,2019,鹏辉能源：2019年年度报告,300438.SZ,鹏辉能源,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300438/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc252""",新一代信息技术产业发展,年度报告,2019,国民技术：2019年年度报告,300077.SZ,国民技术,制造业,计算机、通信和其他电子设备制造业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300077/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc254""",新一代信息技术产业发展,年度报告,2019,大为股份：2019年年度报告,002213.SZ,大为股份,制造业,汽车制造业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002213/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc256""",新一代信息技术产业发展,年度报告,2019,博杰股份：2019年年度报告,002975.SZ,博杰股份,制造业,专用设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002975/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc257""",新一代信息技术产业发展,年度报告,2019,润都股份：2019年年度报告,002923.SZ,润都股份,制造业,医药制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002923/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc258""",新一代信息技术产业发展,年度报告,2019,惠威科技：2019年年度报告,002888.SZ,惠威科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002888/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc259""",新一代信息技术产业发展,年度报告,2019,全志科技：2019年年度报告,300458.SZ,全志科技,制造业,计算机、通信和其他电子设备制造业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300458/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc25a""",新一代信息技术产业发展,年度报告,2019,美亚柏科：2019年年度报告,300188.SZ,美亚柏科,信息传输、软件和信息技术服务业,软件和信息技术服务业,福建省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300188/page_type/ndbg.phtml,,,
"""5fab677b0091c9411f2bc25b""",新一代信息技术产业发展,年度报告,2019,同兴达：2019年年度报告,002845.SZ,同兴达,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002845/page_type/ndbg.phtml,,,
