_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments,section,mentionPrevious,mention,mentionNext
"""5fab677e0091c9411f2bc2cd""",百企结百村,年度报告,2019,钱江水利：2019年年度报告,600283.SH,钱江水利,电力、热力、燃气及水的生产和供应业,水的生产和供应业,浙江省,中央国家机关,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600283/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用□不适用,公司根据国家精准扶贫相关会议及文件精神，开展“文明单位城乡结对 共建美丽乡村活动”，积极参加“百企结百村”等定点扶贫工作，落实好帮扶措施，加大帮扶工作力度，切实为结对帮扶村和贫困户增收提供帮助。,2. 年度精准扶贫概要
"""5fab677e0091c9411f2bc2cd""",百企结百村,年度报告,2019,钱江水利：2019年年度报告,600283.SH,钱江水利,电力、热力、燃气及水的生产和供应业,水的生产和供应业,浙江省,中央国家机关,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600283/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用□不适用,公司一直谨记作为公用事业企业的责任和使命，将继续根据舟山市岱山县《关于开展企业结对帮扶社区村发展集体经济的实施意见》（岱组[2018]37号）要求、丽水市《在各级文明单位中开展新一轮“城乡结对、共建美丽乡村”活动的通知》（丽文明办【2016】19号）、丽水市《关于做好乡村振兴“百企结百村、消灭薄弱村”专项行动联系指导的通知》（丽消薄办发【2018】8号）、丽水市《中共丽水市委、市人民政府办公室关于做好新一轮扶贫结对帮扶工作的通知》（丽委办发【2019】23号）的文件精神，积极参加“百企结百村”定点扶贫工作，落实好帮扶措施，切实为结对帮扶村和贫困户提供帮助。持续履行社会责任。,(二) 社会责任工作情况
"""5fab677e0091c9411f2bc2ce""",百企结百村,年度报告,2019,京华激光：2019年年度报告,603607.SH,京华激光,制造业,造纸及纸制品业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603607/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用 □不适用,2018年度，产业扶贫项目投入金额32万元分为二个项目，一是公司帮扶龙游县项庄村，助力村级经济收入捐赠20万元建设中小企业孵化园（山海协作消薄“飞地”）项目，项目建成后租金收入作为结对村经营性收入；二是公司全资子公司绍兴京华科技与新昌县回山镇晨光村村民委员会签订《“百企结百村，消灭薄弱村”村企结对协议书》项目，出资12万元帮助晨光村村民委员会与其他经济薄弱村抱团组建大市聚帮扶联建项目，以共建物业管理有限公司形式使晨光村村级经济获取长期稳定的租赁收入，最终脱贫。2019年年底，两个扶贫项目工程均已完成，预计2020年能给上述两个结对村带来固定的租赁收入。,3. 精准扶贫成效
"""5fab677e0091c9411f2bc2cf""",百企结百村,年度报告,2019,益民集团：2019年年度报告,600824.SH,益民集团,电力、热力、燃气及水的生产和供应业,零售业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600824/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用 □不适用,项目名称：黄浦区属企业“百企结百村”精准扶贫行动,2. 年度精准扶贫概要
"""5fab677e0091c9411f2bc2d0""",百企结百村,年度报告,2019,浙江富润：2019年年度报告,600070.SH,浙江富润,信息传输、软件和信息技术服务业,互联网和相关服务,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600070/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,公司积极响应国家精准扶贫的倡导，结合企业实际开展精准扶贫工作，参与扶贫项目的情况如下：,（1）根据《关于开展绍兴市乡村振兴“百企结百村、消灭薄弱村”专项行动工作的通知》（绍市组[2018]10号）文件要求，公司与新昌县澄潭镇泄下村结对3年（2018年-2020年），通过诸暨市慈善总会定向捐赠的方式进行援助。,（2）根据浙江省“千企结千村、消灭薄弱村”专项行动部署，公司与浙江省衢州市开化县马金镇富川村结对，通过诸暨市慈善总会定向捐赠的方式进行援助，援助资金共计30万元。
"""5fab677e0091c9411f2bc2d1""",百企结百村,年度报告,2019,永利股份：2019年年度报告,300230.SZ,永利股份,制造业,橡胶和塑料制品业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300230/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,为推动公益事业的发展，公司下属全资子公司百汇精密塑胶模具（深圳）有限公司与深圳市罗湖区彩虹公益发展中心签署了《捐赠协议书》，报告期内，百汇精密深圳捐资10万元，用以捐建广西省河池市都安县九渡乡九福村九福小学和九天村九天小学图书馆。目前，图书馆已顺利建成，每个图书馆配备藏书、书柜、阅读专用桌椅，改善学校教育资源，帮助贫困儿童健康成长。,为认真贯彻国家扶贫开发战略思想，全面落实东西部扶贫协作，公司签署了《“百企结百村”精准扶贫行动帮扶协议书》，与普洱市澜沧县大山乡南德坝村结成帮扶关系，报告期内，公司向普洱市澜沧县大山乡定向捐助15万元，支持地方经济发展，加快其脱贫致富进程；公司签署《“双一百”村企结对精准扶贫行动帮扶协议书》，与云南省德宏州盈江县太平镇大寨村结成帮扶关系，报告期内，公司向太平镇7名建档立卡户家庭学生提供资助3.5万元，帮助其完成学业。,（3）精准扶贫成效
"""5fab677e0091c9411f2bc2d2""",百企结百村,年度报告,2019,浙江医药：2019年年度报告,600216.SH,浙江医药,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600216/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用 □不适用,报告期内，应绍兴市委组织部《关于明确“百企结百村，消灭薄弱村”专项行动的通知》要求，公司及下属企业与新昌县儒岙镇大江村、澄潭镇坑下村、镜岭镇安山村结对，进行专项扶贫，共捐赠15万元扶持结对村建设。,3. 精准扶贫成效
"""5fab677e0091c9411f2bc2d3""",百企结百村,年度报告,2019,新光药业：2019年年度报告,300519.SZ,新光药业,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300519/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,（1）精准扶贫规划,1.2019年5月，参与嵊州市“百企结百村消灭薄弱村”专项行动，支付结对帮扶资金15万元。,2.2019年11月，参与2019年东西部扶贫协作“万企帮万村，携手奔小康”村企结对工作，支付四川省马尔康市松岗镇丹波村扶分款3万元。
"""5fab677e0091c9411f2bc2d4""",百企结百村,年度报告,2019,申通地铁：2019年年度报告,600834.SH,申通地铁,交通运输、仓储和邮政业,道路运输业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600834/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用□不适用,公司积极参加精准扶贫活动。2018年公司全资子公司融资租赁公司参加了徐汇区“百企结百村”精准扶贫村企结对活动，租赁公司与云南省红河州元阳县马街乡结对。2019年度公司参与徐汇区“百县百品”扶贫产品采购活动，采购了上海扶贫对口地区农产品约2万元。,3. 精准扶贫成效
"""5fab677e0091c9411f2bc2d5""",百企结百村,年度报告,2019,润欣科技：2019年年度报告,300493.SZ,润欣科技,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300493/page_type/ndbg.phtml,,,,第三节公司业务概要,公司严格遵守《劳动合同法》等相关法律法规，尊重和维护员工的个人权益，切实关注员工健康、安全和满意度；通过知识技能的理论培训等方式使员工能力得到切实的提高，维护员工权益。作为上海市青年职业见习基地，公司一直注重对青年大学生的培养。在企业发展的同时，创造更多的就业岗位，积极招聘贫困地区毕业生，支持地方经济的发展。,公司积极响应国家号召，加入到精准扶贫的队伍中来，落实上海市“百企结百村”精准扶贫行动，与云南省红河州元阳县马街乡（镇）乌湾村结对携手奔小康。2019年度公司向乌湾村定向捐赠人民币1万元，支持乌湾村发展，坚持贯彻落实党中,上海润欣科技股份有限公司2019年年度报告全文央扶贫方针政策，支持精准扶贫工作，履行企业的社会责任，积极回报社会。
"""5fab677e0091c9411f2bc2d5""",百企结百村,年度报告,2019,润欣科技：2019年年度报告,300493.SZ,润欣科技,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300493/page_type/ndbg.phtml,,,,第三节公司业务概要,）年度精准扶贫概要,公司积极响应国家号召，加入到精准扶贫的队伍中来，落实上海市“百企结百村”精准扶贫行动，与云南省红河州元阳县马街乡（镇）乌湾村结对携手奔小康。2019年度公司向乌湾村定向捐赠人民币1万元，支持乌湾村发展，坚持贯彻落实党中央扶贫方针政策，支持精准扶贫工作，履行企业的社会责任，积极回报社会。,（
"""5fab677e0091c9411f2bc2d6""",百企结百村,年度报告,2019,开开实业：2019年年度报告,600272.SH,开开实业,电力、热力、燃气及水的生产和供应业,零售业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600272/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,√适用  □不适用,公司秉承“从商有德，诚信经营”的经营理念，积极投身公益事业，主动回馈社会，充分展现公司的社会责任感，提升公司的良好形象，彰显了公司的社会价值。根据《中国证监会关于发挥资本市场作用服务国家脱贫攻坚战略的意见》精神，公司积极落实“扶危济困、发展企业、回馈社会、责任担当”的指导意见，结合上海市静安区关于“百企结百村”结对精准扶贫行动方案的要求，公司全资子公司上海雷允上药业西区有限公司向云南省文山州麻栗坡县下金厂乡下金厂村定向捐助30万元，用于深度贫困村的结对帮扶和项目建设工作。（该事项的详细内容参见公司于2019年3月9日《上海证券报》、香港《文汇报》和上海证券交易所网站http://www.sse.com.cn上刊登的相关公告。）同时，公司从积极履行企业社会责任出发，在上一轮结对工作基础上，拟继续与崇明县港西镇协兴村开展结对帮扶工作，本次帮扶周期为四年，累计提供帮扶资金总额不超过100万元，按,年平均支付。（该事项的详细内容参见公司于2019年8月23日《上海证券报》、香港《文汇报》和上海证券交易所网站http://www.sse.com.cn上刊登的相关公告。）
