_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab678a0091c9411f2bc41d""",长三角一体化发展,年度报告,2019,今创集团：2019年年度报告（修订稿）,603680.SH,今创集团,制造业,铁路、船舶、航空航天和其它运输设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603680/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc41f""",长三角一体化发展,年度报告,2019,华谊集团：2019年年度报告（修订）,600623.SH,华谊集团,制造业,化学原料及化学制品制造业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600623/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc420""",长三角一体化发展,年度报告,2019,华侨城A：2019年年度报告（更新后）,000069.SZ,华侨城A,房地产业,房地产业,广东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000069/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc422""",长三角一体化发展,年度报告,2019,华建集团：2019年年度报告,600629.SH,华建集团,科学研究和技术服务业,专业技术服务业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600629/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc423""",长三角一体化发展,年度报告,2019,*ST海创：2019年年度报告摘要,600555.SH,*ST海创,房地产业,房地产业,海南省,其他,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600555/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc425""",长三角一体化发展,年度报告,2019,上海沪工：2019年年度报告,603131.SH,上海沪工,制造业,通用设备制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603131/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc426""",长三角一体化发展,年度报告,2019,中华企业：2019年年度报告,600675.SH,中华企业,房地产业,房地产业,上海市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600675/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc427""",长三角一体化发展,年度报告,2019,华荣股份：2019年年度报告,603855.SH,华荣股份,制造业,专用设备制造业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603855/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc428""",长三角一体化发展,年度报告,2019,凤凰股份：2019年年度报告,600716.SH,凤凰股份,房地产业,房地产业,江苏省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600716/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc42b""",长三角一体化发展,年度报告,2019,浙能电力：2019年年度报告,600023.SH,浙能电力,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,浙江省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600023/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc42c""",长三角一体化发展,年度报告,2019,中南建设：2019年年度报告摘要,000961.SZ,中南建设,房地产业,房地产业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000961/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc430""",长三角一体化发展,年度报告,2019,美尚生态：2019年年度报告,300495.SZ,美尚生态,水利、环境和公共设施管理业,生态保护和环境治理业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300495/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc431""",长三角一体化发展,年度报告,2019,中国建筑：2019年年度报告,601668.SH,中国建筑,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601668/page_type/ndbg.phtml,,,
"""5fab678a0091c9411f2bc433""",长三角一体化发展,年度报告,2019,东吴证券：2019年年度报告,601555.SH,东吴证券,金融业,资本市场服务,江苏省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601555/page_type/ndbg.phtml,,,
