_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab678b0091c9411f2bc46a""",长江经济带发展,年度报告,2019,中衡设计：2019年年度报告摘要,603017.SH,中衡设计,科学研究和技术服务业,专业技术服务业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603017/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc46c""",长江经济带发展,年度报告,2019,南京银行：2019年年度报告,601009.SH,南京银行,金融业,货币金融服务,江苏省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601009/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc46d""",长江经济带发展,年度报告,2019,ST昌鱼：2019年年度报告,600275.SH,ST昌鱼,制造业,农副食品加工业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600275/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc46f""",长江经济带发展,年度报告,2019,宝利国际：2019年年度报告,300135.SZ,宝利国际,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300135/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc470""",长江经济带发展,年度报告,2019,天原集团：2019年年度报告,002386.SZ,天原集团,制造业,化学原料及化学制品制造业,四川省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002386/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc471""",长江经济带发展,年度报告,2019,宝鹰股份：2019年年度报告,002047.SZ,宝鹰股份,电力、热力、燃气及水的生产和供应业,建筑装饰和其他建筑业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002047/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc473""",长江经济带发展,年度报告,2019,湖北能源：2019年年度报告,000883.SZ,湖北能源,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,湖北省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000883/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc474""",长江经济带发展,年度报告,2019,晨化股份：2019年年度报告,300610.SZ,晨化股份,制造业,化学原料及化学制品制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300610/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc475""",长江经济带发展,年度报告,2019,中环装备：2019年年度报告摘要,300140.SZ,中环装备,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300140/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc476""",长江经济带发展,年度报告,2019,南京港：2019年年度报告,002040.SZ,南京港,交通运输、仓储和邮政业,水上运输业,江苏省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002040/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc477""",长江经济带发展,年度报告,2019,海波重科：2019年年度报告,300517.SZ,海波重科,电力、热力、燃气及水的生产和供应业,土木工程建筑业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300517/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc478""",长江经济带发展,年度报告,2019,嘉寓股份：2019年年度报告,300117.SZ,嘉寓股份,电力、热力、燃气及水的生产和供应业,建筑装饰和其他建筑业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300117/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc479""",长江经济带发展,年度报告,2019,张家港行：2019年年度报告,002839.SZ,张家港行,金融业,货币金融服务,江苏省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002839/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc47a""",长江经济带发展,年度报告,2019,北玻股份：2019年年度报告摘要,002613.SZ,北玻股份,制造业,专用设备制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002613/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc47c""",长江经济带发展,年度报告,2019,美尚生态：2019年年度报告,300495.SZ,美尚生态,水利、环境和公共设施管理业,生态保护和环境治理业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300495/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc47d""",长江经济带发展,年度报告,2019,新疆交建：2019年年度报告,002941.SZ,新疆交建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,新疆维吾尔自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002941/page_type/ndbg.phtml,,,
"""5fab678b0091c9411f2bc47e""",长江经济带发展,年度报告,2019,合诚股份：2019年年度报告,603909.SH,合诚股份,科学研究和技术服务业,专业技术服务业,福建省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603909/page_type/ndbg.phtml,,,
