_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments
"""5fab678c0091c9411f2bc4a5""",黄河流域生态保护和高质量发展,年度报告,2019,兴源环境：2019年年度报告,300266.SZ,兴源环境,水利、环境和公共设施管理业,生态保护和环境治理业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300266/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4a6""",黄河流域生态保护和高质量发展,年度报告,2019,中环装备：2019年年度报告摘要,300140.SZ,中环装备,制造业,专用设备制造业,陕西省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300140/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4a7""",黄河流域生态保护和高质量发展,年度报告,2019,中国电建：2019年年度报告,601669.SH,中国电建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601669/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4a9""",黄河流域生态保护和高质量发展,年度报告,2019,中国化学：2019年年度报告摘要,601117.SH,中国化学,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601117/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4ab""",黄河流域生态保护和高质量发展,年度报告,2019,中化岩土：2019年年度报告,002542.SZ,中化岩土,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002542/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4ac""",黄河流域生态保护和高质量发展,年度报告,2019,航天工程：2019年年度报告,603698.SH,航天工程,科学研究和技术服务业,专业技术服务业,北京市,中央国有企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603698/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4ad""",黄河流域生态保护和高质量发展,年度报告,2019,中金环境：2019年年度报告摘要,300145.SZ,中金环境,制造业,通用设备制造业,浙江省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300145/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4af""",黄河流域生态保护和高质量发展,年度报告,2019,招商公路：2019年年度报告,001965.SZ,招商公路,交通运输、仓储和邮政业,道路运输业,天津市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/001965/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4b0""",黄河流域生态保护和高质量发展,年度报告,2019,重庆水务：2019年年度报告,601158.SH,重庆水务,电力、热力、燃气及水的生产和供应业,水的生产和供应业,重庆市,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601158/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4b1""",黄河流域生态保护和高质量发展,年度报告,2019,中国交建：2019年年度报告摘要,601800.SH,中国交建,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601800/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4b2""",黄河流域生态保护和高质量发展,年度报告,2019,中国中铁：2019年年度报告摘要,601390.SH,中国中铁,电力、热力、燃气及水的生产和供应业,土木工程建筑业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601390/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4b4""",黄河流域生态保护和高质量发展,年度报告,2019,农业银行：2019年年度报告,601288.SH,农业银行,金融业,货币金融服务,北京市,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601288/page_type/ndbg.phtml,,,
"""5fab678c0091c9411f2bc4b5""",黄河流域生态保护和高质量发展,年度报告,2019,甘咨询：2019年年度报告,000779.SZ,甘咨询,科学研究和技术服务业,专业技术服务业,甘肃省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000779/page_type/ndbg.phtml,,,
