大西洋,600558,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,1427,481,947,66.34%,2.48%
原材料业,277345,240160,37186,13.41%,97.52%

大西洋,600558,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料业,255093,218940,36153,14.17%,96.73%
其他（补充）,2313,1091,1222,52.83%,3.27%

大西洋,600558,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,783,328,455,58.07%,1.36%
原材料业,210243,177200,33042,15.72%,98.64%

大西洋,600558,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),678,398,280,41.28%,0.86%
原材料业,167532,135188,32343,19.31%,99.14%

大西洋,600558,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,381,179,203,53.17%,1.21%
原材料业,80490,63957,16532,20.54%,98.79%

大西洋,600558,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,1122,665,458,40.77%,1.48%
原材料业,168075,137649,30426,18.1%,98.52%

大西洋,600558,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,605,358,247,40.82%,1.65%
原材料业,87017,72308,14709,16.9%,98.35%

大西洋,600558,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料业,211642,178715,32928,15.56%,98.88%
其他（补充）,6206,5832,374,6.03%,1.12%

大西洋,600558,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),579,-- ,579,--,3.11%
原材料,111533,93459,18074,16.2%,96.89%

大西洋,600558,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),3136,2571,565,18.01%,1.81%
原材料业,215475,184748,30727,14.26%,98.19%

大西洋,600558,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),480,-- ,480,--,3.01%
原材料,110950,95475,15475,13.95%,96.99%

大西洋,600558,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1442,533,909,63.03%,3.35%
原材料业,230513,204295,26218,11.37%,96.65%

大西洋,600558,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
关联交易,117,-- ,117,--,0.81%
其他(补充),663,-- ,663,--,4.61%
原材料,122375,108790,13585,11.1%,94.58%

大西洋,600558,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1340,-- ,1340,--,4.98%
原材料业,241949,216375,25574,10.57%,95.02%

大西洋,600558,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),675,-- ,675,--,4.5%
原材料,127587,113249,14338,11.24%,95.5%

大西洋,600558,收入构成,报告日期,2010-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料,219354,191791,27563,12.57%,100%

大西洋,600558,收入构成,报告日期,2010-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料,115803,98002,17801,15.37%,100%

大西洋,600558,收入构成,报告日期,2009-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料业,194604,165476,29128,14.97%,100%

大西洋,600558,收入构成,报告日期,2009-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料,100710,85541,15169,15.06%,100%

大西洋,600558,收入构成,报告日期,2008-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
原材料,208826,182976,25850,12.38%,100%

大西洋,600558,收入构成,报告日期,2008-06-30,
