中信证券,600030,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
重庆市,438,797,-359,-81.92%,-0.03%
浙江省,72242,45747,26495,36.68%,2.23%
云南省,739,742,-3,-0.35%,-0%
新疆维吾尔自治区,54,263,-209,-387.72%,-0.02%
西藏自治区,2,38,-35,-1573.34%,-0%
天津市,4074,3117,957,23.5%,0.08%
四川省,2881,2860,21,0.74%,0%
上海市,31607,21036,10571,33.44%,0.89%
陕西省,1840,2637,-797,-43.31%,-0.07%
山西省,885,1674,-789,-89.24%,-0.07%
山东省,41974,26433,15541,37.02%,1.31%
青海省,288,159,129,44.88%,0.01%
宁夏回族自治区,254,410,-156,-61.31%,-0.01%
内蒙古自治区,559,812,-254,-45.41%,-0.02%
辽宁省,5877,5858,19,0.32%,0%
境外小计,231547,205114,26434,11.42%,2.23%
江西省,2789,2814,-25,-0.9%,-0%
江苏省,11408,10718,690,6.05%,0.06%
吉林省,414,709,-295,-71.31%,-0.02%
湖南省,2271,2282,-11,-0.46%,-0%
湖北省,4713,4714,-2,-0.03%,-0%
黑龙江省,269,570,-302,-112.3%,-0.03%
河南省,2429,2078,351,14.45%,0.03%
河北省,2646,3010,-363,-13.73%,-0.03%
海南省,371,381,-10,-2.73%,-0%
贵州省,46,145,-99,-214.24%,-0.01%
广西壮族自治区,467,647,-181,-38.75%,-0.02%
广东省,31942,23061,8882,27.81%,0.75%
公司本部,2177679,1091950,1085729,49.86%,91.42%
甘肃省,151,329,-178,-118.41%,-0.02%
福建省,2167,2954,-788,-36.34%,-0.07%
北京市,38150,21083,17067,44.74%,1.44%
安徽省,1184,1547,-363,-30.68%,-0.03%

中信证券,600030,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内蒙古自治区,682,1287,-605,-88.76%,-0.04%
陕西省,2903,4101,-1198,-41.27%,-0.07%
海南省,623,714,-90,-14.51%,-0.01%
湖南省,2713,2794,-82,-3.01%,-0%
山东省,58641,50920,7722,13.17%,0.45%
安徽省,1615,2288,-673,-41.68%,-0.04%
上海市,42279,34801,7478,17.69%,0.44%
山西省,1333,2779,-1446,-108.47%,-0.09%
广东省,28253,27585,669,2.37%,0.04%
河南省,3160,3951,-791,-25.04%,-0.05%
福建省,2856,4928,-2073,-72.58%,-0.12%
江苏省,16098,15164,934,5.8%,0.05%
辽宁省,5121,8038,-2917,-56.97%,-0.17%
天津市,7158,4649,2509,35.05%,0.15%
北京市,57594,34286,23308,40.47%,1.37%
境外小计,498956,533032,-34076,-6.83%,-2%
贵州省,81,173,-93,-114.73%,-0.01%
云南省,1018,1217,-199,-19.5%,-0.01%
广西壮族自治区,505,854,-349,-69.24%,-0.02%
湖北省,7056,7985,-929,-13.16%,-0.05%
江西省,4015,4710,-695,-17.3%,-0.04%
浙江省,102170,75342,26828,26.26%,1.58%
吉林省,532,1178,-646,-121.26%,-0.04%
河北省,2961,4402,-1441,-48.67%,-0.08%
公司本部,3459796,1778310,1681486,48.6%,98.85%
甘肃省,190,582,-392,-206.95%,-0.02%
黑龙江省,374,933,-559,-149.28%,-0.03%
新疆维吾尔自治区,65,340,-275,-425.93%,-0.02%
重庆市,431,1120,-689,-159.76%,-0.04%
宁夏回族自治区,930,708,222,23.86%,0.01%
四川省,3862,3721,141,3.66%,0.01%

中信证券,600030,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
天津市,4203,2426,1777,42.27%,0.2%
新疆维吾尔自治区,32,184,-152,-468.35%,-0.02%
重庆市,254,550,-295,-116.03%,-0.03%
湖北省,3987,4164,-177,-4.43%,-0.02%
江西省,2118,2652,-534,-25.19%,-0.06%
浙江省,56925,41507,15418,27.08%,1.73%
吉林省,295,588,-293,-99.28%,-0.03%
宁夏回族自治区,123,341,-218,-177.25%,-0.02%
四川省,2149,1992,157,7.31%,0.02%
广东省,14900,14101,799,5.36%,0.09%
河南省,1641,1951,-310,-18.88%,-0.03%
公司本部,1737366,891747,845619,48.67%,94.69%
甘肃省,102,279,-176,-172.04%,-0.02%
黑龙江省,189,460,-271,-143.74%,-0.03%
云南省,485,623,-137,-28.23%,-0.02%
广西壮族自治区,265,450,-185,-70.02%,-0.02%
海南省,339,359,-20,-5.8%,-0%
湖南省,1384,1329,56,4.01%,0.01%
山东省,31279,23713,7566,24.19%,0.85%
安徽省,907,1219,-312,-34.37%,-0.03%
上海市,22716,19019,3696,16.27%,0.41%
山西省,732,1508,-776,-106.05%,-0.09%
北京市,31845,18439,13406,42.1%,1.5%
福建省,1485,2676,-1191,-80.17%,-0.13%
江苏省,8920,7773,1147,12.86%,0.13%
辽宁省,2505,4132,-1627,-64.97%,-0.18%
河北省,1721,2199,-478,-27.79%,-0.05%
境外小计,248224,236772,11452,4.61%,1.28%
贵州省,52,91,-39,-74.24%,-0%
内蒙古自治区,339,678,-338,-99.78%,-0.04%
陕西省,1634,2202,-568,-34.79%,-0.06%

中信证券,600030,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
新疆维吾尔自治区,52,296,-244,-468.52%,-0.02%
重庆市,370,818,-448,-121.23%,-0.04%
宁夏回族自治区,262,649,-387,-147.55%,-0.03%
公司本部及境内子公司,2880111,1774657,1105455,38.38%,91.85%
甘肃省,157,533,-376,-239.32%,-0.03%
上海市,35372,35876,-504,-1.43%,-0.04%
