保利地产,600048,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国重庆,100301,76995,23306,23.24%,0.89%
中国浙江,176623,126624,49999,28.31%,1.9%
中国新疆,4051,2313,1738,42.91%,0.07%
中国天津,35487,26631,8856,24.96%,0.34%
中国四川,702416,468892,233524,33.25%,8.88%
中国上海,671438,479756,191682,28.55%,7.29%
中国陕西,70393,33663,36730,52.18%,1.4%
中国山西,214668,117155,97513,45.43%,3.71%
中国山东,13389,7749,5641,42.13%,0.21%
中国内蒙古,5790,4640,1150,19.87%,0.04%
中国辽宁,321747,215132,106614,33.14%,4.05%
中国江西,59629,39411,20217,33.91%,0.77%
中国江苏,379146,301581,77565,20.46%,2.95%
中国吉林,115407,76760,38647,33.49%,1.47%
中国湖南,334617,249345,85272,25.48%,3.24%
中国湖北,39060,15498,23562,60.32%,0.9%
中国河南,71,42,29,40.94%,0%
中国河北,39131,27087,12044,30.78%,0.46%
中国海南,174712,86641,88072,50.41%,3.35%
中国广东,2740861,1610623,1130238,41.24%,42.98%
中国甘肃,49111,35265,13846,28.19%,0.53%
中国福建,771003,477430,293572,38.08%,11.16%
中国北京,54031,37365,16666,30.85%,0.63%
中国安徽,250542,194153,56389,22.51%,2.14%
英国,2233,2082,151,6.74%,0.01%
其他(补充),13413,3367,10046,74.9%,0.38%
澳大利亚,28473,21724,6750,23.71%,0.26%

保利地产,600048,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国广东,7623235,4629050,2994185,39.28%,36.3%
中国浙江,953121,744160,208961,21.92%,2.53%
中国山东,417245,235890,181355,43.46%,2.2%
中国江西,639923,505491,134432,21.01%,1.63%
中国四川,1925437,1339933,585504,30.41%,7.1%
中国辽宁,818664,620815,197849,24.17%,2.4%
中国上海,434570,278625,155945,35.88%,1.89%
中国云南,80044,55820,24224,30.26%,0.29%
中国内蒙古,62947,53288,9660,15.35%,0.12%
中国河南,247001,142345,104656,42.37%,1.27%
中国北京,258550,178444,80107,30.98%,0.97%
中国福建,1471202,974884,496318,33.74%,6.02%
英国,4784,4337,447,9.34%,0.01%
中国海南,374304,205880,168424,45%,2.04%
中国山西,443427,338741,104686,23.61%,1.27%
