中储股份,600787,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-849936,-833469,-16468,1.94%,-28.27%
云南地区,74,88,-14,-18.4%,-0.02%
天津地区,414664,403108,11556,2.79%,19.84%
四川地区,17398,16516,882,5.07%,1.51%
上海地区,18443,10328,8116,44%,13.93%
陕西地区,181291,176056,5235,2.89%,8.99%
山西地区,1301,1277,23,1.79%,0.04%
山东地区,6809,5269,1540,22.62%,2.64%
其他(补充),2878,1342,1536,53.38%,2.64%
宁夏地区,1096,967,129,11.79%,0.22%
内蒙古地区,343,312,32,9.28%,0.05%
辽宁地区,392653,388805,3848,0.98%,6.61%
境外地区,12439,11975,464,3.73%,0.8%
江苏地区,1522691,1489887,32803,2.15%,56.32%
湖南地区,1085,852,232,21.41%,0.4%
湖北地区,2253,2380,-126,-5.6%,-0.22%
河南地区,29977,26856,3120,10.41%,5.36%
河北地区,28315,26318,1997,7.05%,3.43%
广东地区,94237,91381,2857,3.03%,4.9%
北京地区,76005,75391,614,0.81%,1.05%
安徽地区,6169,6301,-132,-2.14%,-0.23%

中储股份,600787,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
陕西地区,449905,440345,9561,2.13%,7.5%
辽宁地区,848302,840894,7407,0.87%,5.81%
上海地区,45570,24997,20573,45.15%,16.15%
北京地区,30472,29533,939,3.08%,0.74%
其他（补充）,4381,1335,3046,69.53%,2.39%
广东地区,140108,136440,3668,2.62%,2.88%
天津地区,140927,130701,10226,7.26%,8.03%
境外地区,28346,30063,-1717,-6.06%,-1.35%
四川地区,40543,38058,2485,6.13%,1.95%
湖北地区,8304,6909,1395,16.8%,1.09%
河南地区,290834,279274,11560,3.97%,9.07%
分部间抵销,-16735,-17120,385,-2.3%,0.3%
山东地区,21803,19011,2792,12.8%,2.19%
湖南地区,2405,1668,737,30.65%,0.58%
江苏地区,1924841,1874995,49846,2.59%,39.12%
河北地区,75767,71254,4513,5.96%,3.54%

中储股份,600787,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),5417,612,4805,88.71%,7.6%
天津地区,332344,326515,5830,1.75%,9.22%
境外地区,11515,13065,-1550,-13.46%,-2.45%
山东地区,14078,12714,1364,9.69%,2.16%
湖南地区,1098,709,389,35.42%,0.61%
江苏地区,653375,636098,17277,2.64%,27.31%
四川地区,18725,17364,1361,7.27%,2.15%
湖北地区,4102,3277,825,20.11%,1.3%
河南地区,344693,333555,11138,3.23%,17.61%
广东地区,53889,53021,868,1.61%,1.37%
陕西地区,221158,215584,5574,2.52%,8.81%
辽宁地区,406324,402137,4187,1.03%,6.62%
上海地区,20074,10961,9113,45.4%,14.41%
北京地区,22983,22861,121,0.53%,0.19%
分部间抵销,-10100,-9490,-610,6.04%,-0.96%
河北地区,35060,32503,2557,7.29%,4.04%

中储股份,600787,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北地区,9901,8360,1541,15.57%,1.31%
河南地区,126733,117933,8800,6.94%,7.48%
天津地区,551270,541669,9600,1.74%,8.17%
境外地区,34566,32594,1972,5.71%,1.68%
四川地区,36208,33405,2804,7.74%,2.38%
广东地区,91969,90667,1303,1.42%,1.11%
陕西地区,398135,388447,9687,2.43%,8.24%
辽宁地区,756819,750023,6795,0.9%,5.78%
山东地区,37822,35332,2490,6.58%,2.12%
湖南地区,2390,1696,694,29.04%,0.59%
江苏地区,1566187,1523075,43112,2.75%,36.67%
河北地区,68657,64189,4468,6.51%,3.8%
上海地区,46172,24946,21226,45.97%,18.05%
北京地区,96210,93128,3082,3.2%,2.62%

中储股份,600787,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
河南地区,50486,47157,3328,6.59%,5.09%
北京地区,44432,44203,229,0.52%,0.35%
山东地区,13703,12328,1375,10.03%,2.1%
河北地区,33895,31384,2511,7.41%,3.84%
其他（补充）,5289,493,4796,90.68%,7.33%
天津地区,212738,207935,4803,2.26%,7.34%
陕西地区,217707,211409,6297,2.89%,9.63%
辽宁地区,5259,3886,1373,26.11%,2.1%
湖南地区,1155,765,390,33.74%,0.6%
江苏地区,716718,691097,25621,3.57%,39.18%
广东地区,45650,45100,550,1.2%,0.84%
境外地区,16755,15172,1583,9.45%,2.42%
湖北地区,4468,3704,763,17.09%,1.17%
上海地区,21390,12077,9313,43.54%,14.24%
四川地区,9775,8514,1261,12.9%,1.93%
分部间抵销,-9891,-11097,1206,-12.19%,1.84%

中储股份,600787,收入构成,报告日期,2017-12-31,
