华安证券,600909,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,118844,54833,64011,53.86%,73.88%
浙江,690,769,-79,-11.41%,-0.09%
其他地区,8180,11151,-2971,-36.32%,-3.43%
河南,2156,1895,261,12.09%,0.3%
广东,1267,1564,-297,-23.46%,-0.34%
安徽,35228,9511,25717,73%,29.68%

华安证券,600909,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
重庆,813,1059,-246,-30.31%,-0.16%
天津,181,136,45,24.68%,0.03%
陕西,566,370,196,34.62%,0.13%
总部及子公司,246388,124601,121786,49.43%,81.56%
云南,72,246,-174,-243.94%,-0.12%
广东,1960,3532,-1572,-80.22%,-1.05%
北京,4209,5982,-1773,-42.11%,-1.19%
内蒙,109,253,-144,-131.97%,-0.1%
江苏,630,953,-323,-51.21%,-0.22%
河南,2955,3175,-220,-7.43%,-0.15%
甘肃,336,546,-209,-62.22%,-0.14%
浙江,1130,1633,-503,-44.52%,-0.34%
四川,651,1635,-984,-151.11%,-0.66%
山西,162,305,-143,-88.46%,-0.1%
辽宁,333,386,-53,-15.91%,-0.04%
安徽,57091,19740,37351,65.42%,25.02%
上海,1594,5152,-3558,-223.24%,-2.38%
山东,715,703,12,1.67%,0.01%
江西,331,255,76,22.89%,0.05%
湖北,931,942,-11,-1.2%,-0.01%
湖南,707,713,-6,-0.88%,-0%
河北,283,295,-11,-4.03%,-0.01%
福建,1014,1236,-222,-21.89%,-0.15%

华安证券,600909,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
山西,87,139,-52,-59.84%,-0.07%
辽宁,190,166,24,12.6%,0.03%
湖南,395,368,27,6.83%,0.04%
内蒙,50,98,-48,-94.8%,-0.07%
天津,69,69,0,0.05%,0%
陕西,322,177,145,45.09%,0.2%
重庆,489,522,-33,-6.77%,-0.05%
浙江,550,749,-199,-36.18%,-0.28%
四川,350,737,-387,-110.4%,-0.54%
河北,151,129,22,14.71%,0.03%
福建,540,592,-52,-9.67%,-0.07%
北京,2247,2849,-602,-26.78%,-0.84%
山东,392,344,48,12.24%,0.07%
江西,184,126,57,31.24%,0.08%
湖北,497,411,86,17.27%,0.12%
广东,1062,1697,-635,-59.77%,-0.89%
总部及子公司,100520,49018,51502,51.24%,72.19%
云南,43,121,-78,-180.82%,-0.11%
上海,834,2399,-1564,-187.51%,-2.19%
江苏,358,466,-107,-29.87%,-0.15%
河南,1629,1564,65,4.02%,0.09%
甘肃,191,254,-63,-33.01%,-0.09%
安徽,32495,9308,23187,71.36%,32.5%

华安证券,600909,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北,750,924,-174,-23.19%,-0.26%
广东,1442,3978,-2535,-175.81%,-3.74%
北京,3273,5942,-2669,-81.55%,-3.93%
云南,129,182,-53,-40.9%,-0.08%
上海,1300,4680,-3380,-259.97%,-4.98%
山东,551,727,-176,-32%,-0.26%
江西,277,268,9,3.41%,0.01%
福建,843,1307,-464,-55.01%,-0.68%
总部及子公司,117307,60786,56521,48.18%,83.31%
陕西,473,353,120,25.38%,0.18%
内蒙,50,233,-183,-366.95%,-0.27%
江苏,279,755,-476,-170.24%,-0.7%
河南,2079,2821,-742,-35.69%,-1.09%
甘肃,284,565,-281,-98.98%,-0.41%
安徽,43735,19025,24710,56.5%,36.42%
辽宁,188,325,-137,-72.86%,-0.2%
湖南,541,778,-238,-43.96%,-0.35%
河北,246,310,-64,-26.05%,-0.09%
浙江,916,1455,-539,-58.82%,-0.79%
四川,456,1401,-945,-207.47%,-1.39%
山西,119,295,-176,-147.55%,-0.26%
重庆,689,1017,-328,-47.55%,-0.48%
天津,206,167,38,18.68%,0.06%

华安证券,600909,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
北京,2066,2970,-904,-43.76%,-2.9%
上海,769,2396,-1627,-211.57%,-5.21%
湖北,434,523,-89,-20.51%,-0.29%
浙江,538,700,-162,-30.11%,-0.52%
