中信建投,601066,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,11081,10573,509,4.59%,0.04%
境内,978880,389689,589191,60.19%,49.98%
其中:重庆市,6443,3050,3393,52.66%,0.29%
其中:浙江省,5256,3804,1452,27.62%,0.12%
其中:云南省,284,237,47,16.51%,0%
其中:新疆,477,422,55,11.48%,0%
其中:天津市,3214,2024,1190,37.03%,0.1%
其中:四川省,10111,3507,6604,65.32%,0.56%
其中:上海市,41042,8242,32799,79.92%,2.78%
其中:陕西省,5650,2787,2863,50.68%,0.24%
其中:山西省,389,518,-129,-33.06%,-0.01%
其中:山东省,8443,4246,4197,49.71%,0.36%
其中:青海省,75,129,-53,-70.75%,-0%
其中:宁夏,172,215,-43,-25%,-0%
其中:内蒙古,173,153,20,11.67%,0%
其中:辽宁省,3968,2785,1183,29.81%,0.1%
其中:江西省,9337,3764,5573,59.69%,0.47%
其中:江苏省,10701,5783,4918,45.96%,0.42%
其中:吉林省,828,547,281,33.89%,0.02%
其中:湖南省,7823,3585,4238,54.18%,0.36%
其中:湖北省,10360,4394,5967,57.59%,0.51%
其中:黑龙江省,1583,885,698,44.08%,0.06%
其中:河南省,1366,1557,-191,-13.99%,-0.02%
其中:河北省,3533,1875,1658,46.93%,0.14%
其中:海南省,2605,930,1675,64.31%,0.14%
其中:贵州省,197,171,26,13.1%,0%
其中:广西省,383,444,-61,-16.06%,-0.01%
其中:广东省,18560,10041,8518,45.9%,0.72%
其中:公司本部,767190,298551,468639,61.09%,39.75%
其中:甘肃省,1445,693,752,52.02%,0.06%
其中:福建省,8906,5041,3865,43.4%,0.33%
其中:安徽省,633,795,-162,-25.59%,-0.01%
其中: 北京市,47737,18516,29221,61.21%,2.48%

中信建投,601066,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其中:公司本部,1029221,415816,613406,59.6%,42.4%
其中:浙江省,9760,8034,1726,17.68%,0.12%
其中:福建省,12938,9974,2964,22.91%,0.2%
其中:江苏省,15445,12124,3321,21.5%,0.23%
其中:河北省,5407,3889,1518,28.07%,0.1%
其中:广东省,28021,20799,7222,25.77%,0.5%
其中:贵州省,446,576,-130,-29.21%,-0.01%
其中:云南省,519,515,4,0.74%,0%
其中:新疆,1006,974,33,3.25%,0%
其中:山西省,572,1052,-481,-84.02%,-0.03%
其中:吉林省,1311,1195,116,8.83%,0.01%
其中:黑龙江省,2610,2022,588,22.54%,0.04%
其中:甘肃省,2287,1435,853,37.28%,0.06%
其中:天津市,4529,4390,138,3.06%,0.01%
其中:陕西省,8383,5911,2472,29.49%,0.17%
其中:湖南省,11951,7852,4098,34.29%,0.28%
境内,1351477,621181,730296,54.04%,50.48%
其中:内蒙古,244,330,-86,-35.17%,-0.01%
其中:宁夏,503,489,14,2.73%,0%
其中:河南省,1763,3297,-1534,-87.04%,-0.11%
其中:海南省,3783,2101,1682,44.46%,0.12%
