中银证券,601696,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
甘肃省,4,185,-181,-4811.77%,-0.18%
广西壮族自治区,621,457,164,26.39%,0.16%
安徽省,910,625,285,31.35%,0.29%
公司总部及子公司,149863,140985,8879,5.92%,8.89%
天津市,1467,789,678,46.24%,0.68%
辽宁省,7184,2952,4232,58.92%,4.24%
福建省,3625,1323,2303,63.52%,2.3%
四川省,3555,1282,2274,63.95%,2.28%
内蒙古自治区,785,350,435,55.46%,0.44%
江西省,738,634,103,14.01%,0.1%
吉林省,841,581,260,30.92%,0.26%
重庆市,5317,1859,3458,65.04%,3.46%
贵州省,191,235,-44,-23.01%,-0.04%
山西省,292,352,-60,-20.44%,-0.06%
湖南省,3018,864,2154,71.36%,2.16%
黑龙江省,4854,2026,2829,58.27%,2.83%
海南省,6624,1701,4923,74.31%,4.93%
陕西省,3575,1270,2305,64.47%,2.31%
江苏省,5370,2428,2943,54.79%,2.95%
山东省,3272,1437,1835,56.09%,1.84%
北京市,15590,4561,11029,70.74%,11.04%
浙江省,5223,2460,2763,52.9%,2.77%
河北省,7618,2502,5116,67.15%,5.12%
河南省,5041,2187,2854,56.62%,2.86%
上海市,19458,6494,12964,66.63%,12.98%
新疆维吾尔自治区,8,171,-163,-1973.36%,-0.16%
云南省,1119,497,622,55.59%,0.62%
广东省,25698,6605,19093,74.3%,19.11%
湖北省,8905,3059,5845,65.64%,5.85%

