南华期货,603093,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内子公司,912754,904875,7879,0.86%,68.04%
江苏,375,392,-17,-4.42%,-0.14%
安徽,50,157,-107,-216.27%,-0.93%
江西,122,138,-17,-13.73%,-0.14%
山西,57,104,-47,-83.01%,-0.41%
广东,2020,1818,202,10.02%,1.75%
河南,182,238,-56,-30.5%,-0.48%
黑龙江,168,207,-39,-23.25%,-0.34%
上海,2991,2713,278,9.3%,2.4%
四川,155,130,25,16.3%,0.22%
辽宁,345,486,-141,-40.84%,-1.22%
北京,357,540,-182,-51.04%,-1.58%
浙江,25050,21073,3976,15.87%,34.34%
境外子公司,8242,8579,-337,-4.09%,-2.91%
福建,60,102,-42,-70.19%,-0.36%
重庆,94,109,-15,-16.4%,-0.13%
山东,381,215,165,43.37%,1.43%
甘肃,243,169,74,30.29%,0.64%
天津,107,125,-19,-17.61%,-0.16%

