0,1,2,3,4,5,6,7
北京大学,北京大学“一带一路”书院,北京大学“一带一路”数据分析平台,北京大学“一带一路”研究中心,2015北京大学“一带一路”研究方法论研讨会,北大光华“一带一路”发展论坛,2016第五届北大光华“一带一路”发展论坛,北京大学汇丰商学院海上丝路研究中心
中国人民大学,中国人民大学 “一带一路” 经济研究院,2015首届中国人民大学“一带一路”经济论坛,2016中国人民大学推进共建“一带一路”教育行动研讨会,中国人民大学一带一路文物修复研究院,中国人民大学法学院“一带一路”法律研究中心,中国人民大学一带一路经济研究院·新疆塔城研究园区,2014一带一路暨中国人民大学考古学科建设研讨会
清华大学,清华大学一带一路战略研究院,2017清华大学首届“一带一路”合作论坛,2017清华大学“一带一路”学生海外社会实践论坛,清华大学研究生赴泰国开展“一带一路”调研实践,陆洋(清华一带一路战略研究院研究员),2016绿色低碳“一带一路”研讨会,2017“一带一路”与民族事务治理论坛
北京交通大学,北京交通大学“一带一路”产业研究院敦煌研究所,,,,,,
北京工业大学,"",翟东升(中国人民大学国际关系学院副院长、教授),翟东升(北京工业大学经济与管理学院教授),中国高等职业教育国际化,,,
北京航空航天大学,"",蔡晶晶(北京永信至诚科技股份有限公司董事长),,,,,
北京理工大学,,,,,,,
北京科技大学,北京科技大学中国一带一路发展研究院,2019一带一路安全与防灾国际学术论坛,张达威(北京科技大学教授),宋波(北科大土木工程系教授),2017年“一带一路”材料论坛,王凡妹,栗时锋
北京化工大学,北京化工大学“一带一路”学院,,,,,,
北京邮电大学,"",2017“一带一路”T.621移动终端动漫国际标准产业发展论坛,北京邮电大学南太平洋地区研究中心,陈岩(北京邮电大学教授),2016“一带一路”战略下国际商法前沿问题研讨会,2017“一带一路”移动终端动漫产业发展论坛,北京邮电大学继续教育学院
中国农业大学,中国农业大学“一带一路”农业合作学院,2018“一带一路”与农业文明学术研讨会,“一带一路”生态农业与食品安全论坛,“一带一路”农业企业合作联盟,2017“一带一路”框架下的农业国际合作论坛,2015“一带一路与区域发展”学术研讨会,“一带一路”动物科技创新联盟
北京林业大学,,,,,,,
北京中医药大学,,,,,,,
北京师范大学,北京师范大学“一带一路”学院,北京师范大学“一带一路”能源研究中心,刘倩(北京师范大学一带一路学院院长助理),2018“一带一路”沿线国家产业发展研讨会,“一带一路”高校战略联盟,2017“一带一路”国家教育交流与合作高端研讨会,推进共建“一带一路”教育专题研究
北京外国语大学,"",,,,,,
中国传媒大学,"",“一带一路”国家媒体指南,2018“一带一路”理论体系建设高峰论坛,刘倩(北京师范大学一带一路学院院长助理),2017《“一带一路”与我们的未来》中期报告暨研讨会,2016青年观“一带一路”语言与跨文化传播论坛,融合与创新:“一带一路”软力量建设研究
中央财经大学,"",2016“一带一路”倡议推进中的法律纠纷解决国际研讨会,2016“一带一路”战略下国际商法前沿问题研讨会,中国人民大学法学院“一带一路”法律研究中心,2016一带一路与中国(新疆)对外贸易发展学术研讨会,2017“一带一路”中巴科技与经济合作学术论坛,中央财经大学粤港澳大湾区(黄埔)研究院
对外经济贸易大学,对外经济贸易大学“一带一路”PPP发展研究中心,中国大学生“一带一路”协同发展行动中心,解码一带一路,2016一带一路与中国(新疆)对外贸易发展学术研讨会,2017“一带一路与争议解决”国际学术研讨会,一带一路战略与海关国际合作机制,对外经济贸易大学区域国别研究院
北京体育大学,"",,,,,,
中央音乐学院,中央音乐学院“一带一路”音乐交流发展研究中心,“一带一路”音乐教育联盟,2017“一带一路与文明互鉴”智库圆桌论坛,2017“一带一路”商贸与文化交流论坛,2017“一带一路”文化遗产国际学术研讨会,2017“丝绸之路”创作计划:管弦乐新作品音乐会,崔杉
中央民族大学,中央民族大学“一带一路”与民族发展研究院,“一带一路”民族文化大数据中心,2017“一带一路”与民族事务治理论坛,“一带一路”倡议与民族教育发展,2015“一带一路”与民族地区发展学术研讨会,2016民族地区经济与“一带一路”研讨会,中央民族大学
中国政法大学,中国政法大学“一带一路”法律研究中心,,,,,,
华北电力大学,陈燕红(律师),,,,,,
南开大学,,,,,,,
天津大学,“一带一路”高校战略联盟,,,,,,
天津医科大学,,,,,,,
河北工业大学,天津理工大学“一带一路”中东欧研究院,河北工业大学智慧基础设施研究院,,,,,
太原理工大学,,,,,,,
内蒙古大学,,,,,,,
辽宁大学,,,,,,,
大连理工大学,大连理工大学“一带一路”高等教育研究中心,,,,,,
东北大学,郑州大学,,,,,,
大连海事大学,,,,,,,
吉林大学,吉林大学“一带一路”研究中心,2015“一带一路”建设与草原文化对外传播学术研讨会,2015“一带一路:国际政治经济学视角”学术研讨会,2016“一带一路”倡议与中国比较法的发展研讨会,“一带一路”沿线国家对华对日贸易格局演变,2015“一带一路建设与中日韩合作”学术研讨会,2015“一带一路”战略国际研讨会
延边大学,,,,,,,
