id,keyword,organization
144,副处长,0
167,处长,0
252,处处长,0
258,科员,0
259,主任科员,0
264,纪委书记,0
341,干部,0
355,政府,1
472,纪委,1
477,副局长,0
505,招商局,1
535,国有资产,1
557,管理局,1
580,局长,0
584,人民政府,1
594,教育部,1
597,财政部,1
608,组织部,1
634,中国证监会,1
651,办公厅,1
675,国资委,1
739,财政局,1
744,监察部,1
777,审计处,1
792,国投,1
816,纪检监察,1
876,市委,1
906,中国人民银行,1
916,矿务局,1
943,管委会,1
953,审计局,1
973,省部级,1
1050,科技部,1
1057,中央,1
1085,市长,0
1171,人民法院,1
1259,副处级,0
1267,县委,1
1293,正处级,0
1325,财政厅,1
1471,计划处,1
1476,港务局,1
1482,发改委,1
1500,信息部,1
1530,工业部,1
1569,人民检察院,1
1580,建设部,1
1608,分部,1
1704,纪检组,1
1705,区委,1
1746,巡视员,1
1774,监管局,1
1813,副区长,0
1910,公安局,1
1954,副司长,0
1983,电业局,1
1992,副县长,0
2067,工业局,1
2079,交通部,1
2101,局局长,0
2128,经济委员会,1
2151,法官,0
2164,监察局,1
2223,文化部,1
2225,国有企业,1
2265,市政府,1
2276,司法局,1
2426,农业部,1
2430,最高人民法院,1
2432,政治部,1
2440,科技委,1
2457,人民银行,1
2485,市委常委,1
2506,供电局,1
2669,区长,0
2772,地方税务局,1
2809,科技厅,1
2891,中国证券监督管理委员会,1
2937,粮食局,1
3060,国家科技部,1
3093,证监局,1
3095,税务局,1
3197,省委,1
3237,统战部,1
3269,经委,1
3362,经贸委,1
3417,机械工业部,1
3441,国家外汇管理局,1
3443,交通局,1
3455,司法部,1
3506,法院,1
3622,邮电局,1
3625,科技局,1
3633,信息产业部,1
3641,产业部,1
3686,化工部,1
3720,国家税务局,1
3729,纪律检查,1
3736,统计局,1
3740,物资局,1
3744,上海市政府,1
3790,铁路局,1
3805,仲裁委,1
3878,邮电部,1
3914,总局,1
3929,省政府,1
4018,商业局,1
4034,林业局,1
4036,高级人民法院,1
4041,科学技术委员会,1
4088,区政府,1
4143,邮政局,1
4161,交通厅,1
4165,司法厅,1
4195,证监会,1
4241,国有资产管理局,1
4244,政治处,1
4308,烟草专卖局,1
4309,人民日报社,1
4352,正局级,0
4376,科委,1
4393,人民网,1
4426,沈阳铁路局,1
4508,中组部,1
4531,政法委,1
4562,管理司,1
4631,副局级,0
4650,县长,0
4787,财务司,1
4846,地税局,1
4994,深圳市政府,1
5003,教育局,1
5008,人事局,1
5112,药品监督管理局,1
5121,广播电视局,1
5126,人事厅,1
5128,电信局,1
5142,工商行政管理局,1
5157,中国政府,1
5213,银监局,1
5269,旅游局,1
5370,邮政储汇局,1
5382,上海市人民政府,1
5406,安监局,1
5503,电力局,1
5530,卫生部,1
5701,国家税务总局,1
5704,计委,1
5836,物价局,1
6019,副厅长,0
6036,水利部,1
6041,国防科工委,1
6131,组织部长,0
6139,国税局,1
6153,发展局,1
6183,保障局,1
6188,财经委,1
6218,市级,1
6331,湖南省委,1
6354,农业局,1
6365,北京市委,1
6411,新闻出版局,1
6419,中央纪委,1
6534,省属,1
6549,监委,1
6560,水利局,1
6719,地矿局,1
6749,人民出版社,1
6801,银监会,1
6856,国家经贸委,1
6927,铁路分局,1
6956,经商,1
6971,县政府,1
7020,工商局,1
7037,卫生厅,1
7043,金融司,1
7086,北京市人民政府,1
7117,规划局,1
7150,冶金工业部,1
7162,中共上海市委,1
7207,建委,1
7253,稽查局,1
7346,综合司,1
7389,公路局,1
7428,浙江省人民政府,1
7451,财务局,1
7454,公安部,1
7470,基金委,1
7498,发审委,1
7577,四川省委,1
7580,最高人民检察院,1
7587,政府部门,1
7625,广电局,1
7638,建材局,1
7668,镇政府,1
7693,市委书记,1
7696,经信委,1
7765,乡政府,1
7777,上海市委,1
7845,深圳市人民政府,1
7846,法制局,1
7863,社会保障部,1
7928,教育厅,1
8144,外经贸委,1
8146,县委书记,1
8179,安徽省政府,1
8188,国家体育总局,1
8208,湖北省政府,1
8226,国家科委,1
8233,卫生局,1
8254,民政局,1
8285,通信部,1
8349,香港特区政府,1
8396,贸易局,1
8408,科学技术部,1
8411,计划局,1
8481,航空工业部,1
8500,中宣部,1
8525,江苏省委,1
8544,计划司,1
