academics,academicRelated,jobs,jobRelated,organizations,isGeneralMatch,personId,personName,personDescription,companyName,personTitle
法学,1,律师,7,"[""律师事务所""]",,"""5f656df2ade9005a1ec9c469""",杨军,"杨军先生,1958年5月出生,哥伦比亚大学法学博士,是中国律师及美国纽约州律师。杨军先生曾任北京对外经济律师事务所律师,美国马智诺斯律师事务所律师,美国国际集团公司律师,高盛(亚洲)公司投资银行部执行董事,所罗门兄弟公司投资银行部副总裁,汉鼎亚太公司中国部董事总经理,中银国际控股有限公司董事总经理,海南博鳌投资控股有限公司副董事长,并曾兼任中远股份、海油工程、招商银行、海南橡胶和原平安银行独立董事。2003年3月至今担任宋庆龄基金会理事。",平安银行,独立董事
法学,3,律师,4,"[""律师事务所""]",,"""5f656df3ade9005a1ec9c4e2""",韩小京,"韩小京先生,1955年出生,法学硕士,中国执业律师,北京市通商律师事务所创始合伙人之一。韩小京先生1982年于中南财经政法大学(原名:湖北财经学院)获得法学学士学位,1985年于中国政法大学获法学硕士学位。1985年至1986年任中国政法大学讲师,1986年至1992年任中国法律事务中心律师,1992年至今任北京市通商律师事务所合伙人,主要从事证券、公司重组/兼并、银行、项目融资等方面的业务。现任远洋集团控股有限公司独立非执行董事、远东宏信有限公司独立非执行董事、北京三聚环保新材料股份有限公司独立董事、中国航空油料集团有限公司外部董事、维太移动控股有限公司独立非执行董事等。2014年1月至2019年11月,任平安银行第九届、第十届董事会独立董事(将在新任独立董事任职资格获中国银保监会核准之日离任)。",平安银行,外部监事
,0,,0,[],1,"""5f656e05ade9005a1ec9c79f""",黄翔,"黄翔先生,1966年8月出生,研究生学历,硕士学位,中共党员,制药高级工程师职称,2004年4月至2004年12月任广药盈邦营销有限公司副总经理;2005年1月至2006年11月任广州白云山化学制药厂厂长、党委书记;2006年12月至2014年4月任广州白云山汉方现代药业有限公司董事长、总经理;2011年至2016年6月任广州市人大代表、内务司法委员会成员;2011年至2016年6月任西藏林芝广药发展有限公司董事长;2012年至2016年6月任广州市慈善组织社会监督委员会委员;2013年12月至2016年6月任广药集团大南药板块副总监;2013年至2016年6月任广州白云山星洲药业有限公司董事;2014年4月至2016年6月任广州白云山化学药厂董事长党委书记;2014年8月至2016年6月任广州白云山化学药科技有限公司董事长;2014年10月至2016年6月任浙江广康医药有限公司董事长。2011-2016年间三次获评广州市优秀人大代表。2016年5月至今任深圳中国农大科技股份有限公司董事,2016年7月至2019年4月任公司常务副总经理,2019年4月至今任深圳中国农大科技股份有限公司董事长、总经理,2017年4月至今任山东北大高科华泰制药有限公司董事长。",国农科技,总经理
"法学院,国际法,法学",4,法律顾问,1,"[""检察院"",""法院"",""法学会""]",,"""5f656e06ade9005a1ec9c7d5""",肖永平,"肖永平先生:1966年2月生,博士,博士生导师。现任武汉大学法学院教授、武汉市人民政府法律顾问、最高人民检察院咨询委员会委员、最高人民法院“一带一路“兼职研究员、外交部国际法咨询委员会委员、中国法学会常务理事、武汉中科水生环境工程股份有限公司独立董事、天海融合防务装备技术股份有限公司独立董事、深圳中国农大科技股份有限公司独立董事、武汉光迅科技股份有限公司独立董事。曾任武汉大学法学院院长、副院长等职务。",国农科技,独立董事
法学,1,律师,2,[],,"""5f656df2ade9005a1ec9c48e""",李嘉士,"李嘉士先生,1960年出生,获中国香港大学法律学士学位及法学专业证书,为中国香港、英格兰及威尔士、新加坡及澳洲首都区的合资格律师,并于1989年起担任胡关李罗律师行的合伙人。李嘉士先生于2019年7月获委任为中国香港联交所上市复核委员会候选主席之一。亦为中国香港政府创新科技署InnoHK督导委员会成员、中国香港上诉审裁团(建筑物条例)主席、中国香港财务汇报局财务汇报检讨委员团召集人兼成员、中国香港公益金筹募委员会委员、公益慈善马拉松联席主席及中国香港太平绅士。同时,李先生为思捷环球控股有限公司、中国太平洋保险(集团)股份有限公司及合景泰富地产控股有限公司独立非执行董事,石药集团有限公司及安全货仓有限公司非执行董事。李嘉士先生曾任中国香港联交所上市委员会副主席、主席,合和实业有限公司、渝港国际有限公司、渝太地产集团有限公司、添利工业国际(集团)有限公司非执行董事及中国平安独立非执行董事。",平安银行,独立董事
,0,,0,[],1,"""5f656e09ade9005a1ec9c941""",蔡琨,"蔡琨,女,44岁,大学本科,具有私募基金从业资格。1998年7月起先后在中国普天武汉公司、工商东亚金融有限公司、中科智担保控股集团、建银国际(深圳)有限公司、招银国际金融(深圳)有限公司工作。熟悉国家产业政策和相关法律法规,在权益投资、结构化融资、跨境融资、债务重组及不良资产投资方面皆具有丰富经验。",世纪星源,董事
法学,2,律师,5,"[""律师事务所"",""律师协会""]",,"""5f656e2fade9005a1ec9d440""",陈治民,"陈治民,男,1963年出生,西南政法大学法学学士,中国人民大学法学硕士。现任广东晟典律师事务所主任、深圳市政协委员、深圳国际仲裁院仲裁员。曾任中华全国律师协会理事,广东省律师协会常务理事、战略发展委员会主任、深圳市律师协会副会长、深圳市律师事务所主任、深业集团有限公司董事(政府委派)、平安证券有限责任公司独立董事、深圳市长亮科技股份有限公司独立董事等职。在房地产、建设工程、金融及公司法律业务方面有丰富的工作经验。现任沙河实业股份有限公司独立董事。",沙河股份,独立董事
"法学,法学院",2,法律顾问,1,[],,"""5f656e84ade9005a1ec9e680""",汪军民,"汪军民先生,男,1964年出生,重庆大学管理学博士;武汉大学法学博士;中南财经政法大学经济学博士后。具有高级会计师、高级经济师、注册会计师、注册评估师、企业法律顾问等资格。现任中南财经政法大学法学院教授、博士生导师,兼任深圳市机场股份有限公司、浙江大东南股份有限公司、恒信移动股份有限公司、深圳桑达实业股份有限公司独立董事。",深桑达Ａ,独立董事
"法学,法学院",4,律师,2,"[""律师事务所""]",,"""5f656e57ade9005a1ec9dafc""",杨雄文,"杨雄文,男,1970年出生,中国人民大学民商法学博士,牛津大学法学院访问学者。现任华南理工大学法学院教授,高级工程师,番禺区人大代表(2016.9.26),番禺区第十七届人大常委会监察与司法工作委员会委员,民建广东省委法委会委员,北京市立方(广州)律师事务所兼职律师,同时兼任中国知识产权法学研究会副秘书长、常务理事。",深华发Ａ,独立董事
,0,法律顾问,1,[],,"""5f656e73ade9005a1ec9e182""",刘勇,"刘勇先生:1969年生,博士,主管药师、执业药师。1999年7月起先后任中国医药集团上海公司市场部副总经理,上海国大药房连锁有限公司副总经理,国药控股沈阳有限公司总经理、党委书记、董事长,国药控股山东有限公司董事长,国药控股河南有限公司董事长,上海沪甬医药有限公司执行董事,国药集团医药物流有限公司执行董事,国药集团化学试剂股份有限公司董事长,国药集团上海立康医药股份有限公司董事长,国药控股安徽有限公司董事长,国药控股北京有限公司总经理、党委书记、董事长,国药控股吉林有限公司董事长,国药控股北京康辰生物医药有限公司董事长,国药集团山西有限公司董事,国药集团药业股份有限公司董事、董事长,国药控股重庆有限公司董事长,国药控股湖南有限公司董事长,国药控股重庆泰民医药有限公司董事长,国药控股西南有限公司董事长,北京国药天元物业管理有限公司总经理,四川省医药股份有限公司董事;现兼任国药集团药业股份有限公司董事,国药控股北京天星普信生物医药有限公司董事长,国药控股国大药房有限公司董事长,国药控股北京华鸿生物医药有限公司董事长,国药控股贵州有限公司董事长,国药控股云南有限公司董事长,国药国华网络科技有限公司董事,国药健康在线有限公司董事长;2009年1月起任国药控股股份有限公司副总裁,2014年1月起兼任国药控股股份有限公司总法律顾问,2016年10月起兼任国药控股股份有限公司董事会秘书。",国药一致,"董事长,董事"
