_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,subSentence,tinySentence,department,departmentStart,departmentEnd,position,positionStart,positionEnd,distance,org,orgType,orgStart,orgEnd
5f656df2ade9005a1ec9c3fc,杨志群,000001,0,50,2020-09-19T02:33:22.125Z,博士,"杨志群先生,1970年出生,南开大学世界经济学博士,高级经济师。杨志群先生于1991年至1996年10月,任职于广州市九佛电器实业有限公司、中国南海石油联合服务总公司;1996年10月至2008年9月,任职于中国民生银行,历任广州分行柜员、副科长、科长、市场一部副总经理(主持工作)、天河支行副行长(主持工作)、天河支行行长、分行行长高级助理、分行副行长;2008年10月至2011年2月,历任原平安银行广州分行筹备组组长、分行行长;2011年3月至2015年3月,任平安银行(原深圳发展银行)广州分行行长;2015年3月至2016年11月,任平安证券股份有限公司总经理;2016年11月至今,任平安银行深圳分行党委书记;2017年5月至2019年4月,任平安银行行长助理兼深圳分行行长;2019年4月至今,任平安银行副行长兼深圳分行行长。",男,manager,,1,2020-01-07T00:00:00.000Z,6856000,0,平安银行,副行长,2021-01-21T01:03:11.552Z,任平安银行深圳分行党委书记,任平安银行深圳分行党委书记,党委,9,11,书记,11,13,0,平安银行深圳分行党委书记,financial,1,13
5f656df2ade9005a1ec9c3ec,郭世邦,000001,0,55,2020-09-19T02:33:22.078Z,博士,"郭世邦先生,1965年出生,北京大学光华管理学院博士研究生,高级经济师。郭世邦先生于1991年7月至1998年7月,历任中国工商银行总行资金计划部主任科员、副处级调研员(主持工作);1998年7月至2011年3月,历任中国民生银行北京上地支行行长、北京管理部党委委员兼副总经理、大连分行党委书记兼行长、总行零售管理委员会副主席兼零售银行部总经理;2011年3月至2014年3月,历任平安银行(原深圳发展银行)小微金融事业部总监、小企业金融事业部总裁;2014年3月至2016年10月,历任平安证券CEO特别助理、副总经理,并先后兼任公司首席风险官、合规总监等职务;2016年10月至2017年5月,任平安银行董事长特别助理;2017年5月至2019年4月,任平安银行行长助理;2017年12月至今,任平安银行董事;2019年4月至今,任平安银行副行长。",男,manager,,1,2019-11-08T00:00:00.000Z,7334000,0,平安银行,副行长,2021-01-21T01:03:12.975Z,历任中国民生银行北京上地支行行长、北京管理部党委委员兼副总经理、大连分行党委书记兼行长、总行零售管理委员会副主席兼零售银行部总经理,大连分行党委书记兼行长,党委,4,6,书记,6,8,0,大连分行党委书记,other,0,8
5f656df3ade9005a1ec9c531,鞠维萍,000001,0,57,2020-09-19T02:33:23.567Z,硕士,"鞠维萍先生,1963年1月出生,中南财经政法大学工商管理硕士学位。现任平安银行行长助理兼北京分行行长。鞠先生于1980年12月至2000年10月,历任中国农业银行山东济南市分行槐荫区支行信贷员、营业所主任、支行行长、省分行营业部副总经理;2000年10月至2006年11月,历任上海浦东发展银行济南分行、青岛分行副行长;2006年12月至2007年11月,任平安养老保险股份有限公司青岛分公司总经理;2007年11月至2010年6月,任平安养老保险股份有限公司山东分公司总经理;2010年6月至2012年12月,任平安养老保险股份有限公司北京分公司总经理;2012年12月至2014年3月,任平安养老保险股份有限公司总经理助理;2014年3月至2017年12月,任平安养老保险股份有限公司副总经理;2017年12月至2018年6月,任平安银行北京分行党委书记;2018年6月至今,任平安银行行长助理兼北京分行行长。",男,manager,,1,2020-06-11T00:00:00.000Z,0,0,平安银行,副行长,2021-01-21T01:03:13.146Z,任平安银行北京分行党委书记,任平安银行北京分行党委书记,党委,9,11,书记,11,13,0,平安银行北京分行党委书记,financial,1,13
5f656df3ade9005a1ec9c4f6,孙永桢,000001,0,52,2020-09-19T02:33:23.306Z,硕士,"孙永桢女士,1968年出生,中南财经政法大学经济学硕士,国际注册内部审计师(CIA)、高级经济师。现任平安银行纪委副书记、首席审计官。1993年7月至1996年10月,历任中国人民银行深圳经济特区分行计划资金处副主任科员、主任科员、副处级调研员;1996年10月至2005年2月,历任深圳发展银行计划资金部副总经理、金融机构部副总经理、金融同业银行部副总经理;2005年3月至2017年8月,历任深圳银监局股份制银行监管一处调研员、政策法规处调研员、监察室主任、外资银行监管处处长、人事处处长(党委组织部长)。2017年8月至今,任平安银行纪委副书记、首席审计官。",女,supervisoryCommittee,,1,2020-04-15T00:00:00.000Z,3395000,0,平安银行,职工监事,2021-01-21T01:03:13.404Z,现任平安银行纪委副书记、首席审计官,现任平安银行纪委副书记,纪委,6,8,书记,9,11,1,平安银行纪委,financial,2,8
5f656df3ade9005a1ec9c4f6,孙永桢,000001,0,52,2020-09-19T02:33:23.306Z,硕士,"孙永桢女士,1968年出生,中南财经政法大学经济学硕士,国际注册内部审计师(CIA)、高级经济师。现任平安银行纪委副书记、首席审计官。1993年7月至1996年10月,历任中国人民银行深圳经济特区分行计划资金处副主任科员、主任科员、副处级调研员;1996年10月至2005年2月,历任深圳发展银行计划资金部副总经理、金融机构部副总经理、金融同业银行部副总经理;2005年3月至2017年8月,历任深圳银监局股份制银行监管一处调研员、政策法规处调研员、监察室主任、外资银行监管处处长、人事处处长(党委组织部长)。2017年8月至今,任平安银行纪委副书记、首席审计官。",女,supervisoryCommittee,,1,2020-04-15T00:00:00.000Z,3395000,0,平安银行,职工监事,2021-01-21T01:03:13.404Z,任平安银行纪委副书记、首席审计官,任平安银行纪委副书记,纪委,5,7,书记,8,10,1,平安银行纪委,financial,1,7
5f656e01ade9005a1ec9c6c3,唐绍杰,000002,0,52,2020-09-19T02:33:37.035Z,硕士,"唐绍杰先生,1968年出生,现任深圳市地铁集团有限公司董事、总经理、党委副书记。唐先生于1990年毕业于同济大学公路与城市道路专业,获工学学士学位;1993年获同济大学工学硕士学位;工程师。唐先生曾在深圳市规划国土委(深圳市规划国土局、深圳市规划局)工作,历任房屋租赁管理办公室副主任、办公室副主任、建设用地处处长、光明管理局局长、土地利用处处长;2011年6月-2014年11月,任深汕(尾)特别合作区工作委员会委员、管理委员会副主任;2014年11月-2019年5月,历任深圳市前海深港现代服务业合作区管理局(前海湾保税港区管理局)副局长、前海合作区党工委委员、中国(广东)自由贸易试验区深圳前海蛇口片区管理委员会副主任、党组成员;2019年5月至今,任深圳市地铁集团有限公司董事、总经理、党委副书记。",男,board,,1,2020-07-01T00:00:00.000Z,0,0,万  科Ａ,董事,2021-01-21T01:03:13.734Z,历任深圳市前海深港现代服务业合作区管理局(前海湾保税港区管理局)副局长、前海合作区党工委委员、中国(广东)自由贸易试验区深圳前海蛇口片区管理委员会副主任、党组成员,前海合作区党工委委员,党工委,5,8,委员,8,10,0,前海合作区党工委,other,0,8
5f656e05ade9005a1ec9c79f,黄翔,000004,0,54,2020-09-19T02:33:41.816Z,硕士,"黄翔先生,1966年8月出生,研究生学历,硕士学位,*,制药高级工程师职称,2004年4月至2004年12月任广药盈邦营销有限公司副总经理;2005年1月至2006年11月任广州白云山化学制药厂厂长、党委书记;2006年12月至2014年4月任广州白云山汉方现代药业有限公司董事长、总经理;2011年至2016年6月任广州市人大代表、内务司法委员会成员;2011年至2016年6月任西藏林芝广药发展有限公司董事长;2012年至2016年6月任广州市慈善组织社会监督委员会委员;2013年12月至2016年6月任广药集团大南药板块副总监;2013年至2016年6月任广州白云山星洲药业有限公司董事;2014年4月至2016年6月任广州白云山化学药厂董事长党委书记;2014年8月至2016年6月任广州白云山化学药科技有限公司董事长;2014年10月至2016年6月任浙江广康医药有限公司董事长。2011-2016年间三次获评广州市优秀人大代表。2016年5月至今任深圳中国农大科技股份有限公司董事,2016年7月至2019年4月任公司常务副总经理,2019年4月至今任深圳中国农大科技股份有限公司董事长、总经理,2017年4月至今任山东北大高科华泰制药有限公司董事长。",男,manager,,1,2019-05-21T00:00:00.000Z,350000,0,国农科技,总经理,2020-12-21T04:11:16.781Z,2014年4月至2016年6月任广州白云山化学药厂董事长党委书记,2014年4月至2016年6月任广州白云山化学药厂董事长党委书记,党委,28,30,书记,30,32,0,广州白云山化学药厂,other,11,20
5f656df2ade9005a1ec9c440,郭建,000001,0,56,2020-09-19T02:33:22.399Z,硕士,"郭建先生,1964年出生,成都电讯工程学院(现电子科技大学)电子物理与器件专业硕士研究生毕业。现任深圳中电投资股份有限公司党委委员、董事、总经理。2017年2月至今,任平安银行董事。1988年5月加入深圳中电投资股份有限公司,曾任总经理助理、副总经理等职;2011年7月至今,任公司董事、总经理;2012年4月至2017年10月,任公司党委副书记;2013年8月至2016年3月,任中国中电国际信息服务有限公司副总经理、党委副书记;2014年10月至2016年4月,兼任中国中电国际信息服务有限公司电子商务业务一部总经理。2017年10月至今,兼任深圳市招商局仓储服务有限公司董事、深圳中电前海信息产业有限公司董事长、深圳市京华电子股份有限公司董事长。郭建先生同时兼任深圳市政协委员,深圳市进出口商会会长,深圳市企业联合会副会长等职务。",男,board,,1,2019-11-08T00:00:00.000Z,332600,0,平安银行,非执行董事,2021-01-21T01:03:13.976Z,现任深圳中电投资股份有限公司党委委员、董事、总经理,现任深圳中电投资股份有限公司党委委员,党委,14,16,委员,16,18,0,深圳中电投资股份有限公司,company,2,14
5f656e01ade9005a1ec9c6b7,胡国斌,000002,0,55,2020-09-19T02:33:36.990Z,博士,"胡国斌先生,1965年出生,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记、董事长。胡先生于1987年获武汉大学管理学学士学位;1992年获中南财经政法大学经济学硕士学位;2002年获南开大学经济学博士学位;正高级会计师。胡先生曾在深圳建设集团工作;1997年11月-2019年5月,历任深圳市国有资产管理办公室主任科员、综合管理处助理调研员、副处长,深圳市国资委统计预算处处长,企业二处处长、深圳市国资委总经济师、深圳市国资委副主任等职务。2019年5月至今,任深圳市资本运营集团有限公司党委书记、董事长。",男,board,,1,2020-07-01T00:00:00.000Z,0,0,万  科Ａ,董事,2021-01-21T01:03:14.754Z,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记、董事长,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记,党委,29,31,书记,31,33,0,深圳市资本运营集团有限公司,company,2,15
5f656e01ade9005a1ec9c6b7,胡国斌,000002,0,55,2020-09-19T02:33:36.990Z,博士,"胡国斌先生,1965年出生,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记、董事长。胡先生于1987年获武汉大学管理学学士学位;1992年获中南财经政法大学经济学硕士学位;2002年获南开大学经济学博士学位;正高级会计师。胡先生曾在深圳建设集团工作;1997年11月-2019年5月,历任深圳市国有资产管理办公室主任科员、综合管理处助理调研员、副处长,深圳市国资委统计预算处处长,企业二处处长、深圳市国资委总经济师、深圳市国资委副主任等职务。2019年5月至今,任深圳市资本运营集团有限公司党委书记、董事长。",男,board,,1,2020-07-01T00:00:00.000Z,0,0,万  科Ａ,董事,2021-01-21T01:03:14.754Z,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记、董事长,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记,党委,29,31,书记,31,33,0,深圳市远致投资有限公司,company,16.5,27.5
