keyword,description
入党,"刘欢女士,女,汉族,1970年3月出生,1990年12月参加工作,2004年12月入党,本科学历,会计师,曾任长沙通程控股股份有限公司法审部主管,现任长沙通程控股股份有限公司第五届监事会职工代表监事,长沙通程控股股份有限公司法审部经理,长沙通程国际大酒店有限公司监事。长沙通程温泉大酒店有限公司监事。"
入党,"罗治国先生,男,汉族,1977年7月出生,2000年3月参加工作,2010年7月入党,本科学历,历任长沙通程控股股份有限公司工程建设指挥部采购主管,长沙通程控股股份有限公司物业管理部副经理。现任长沙通程控股股份有限公司公司第五届监事会职工代表监事,物业服务分公司经理。长沙通程温泉大酒店有限公司董事。"
入党,"华婉蓉:女,1964年9月生,江苏无锡市人。1984年7月参加工作,1990年10月入党,本科学历,硕士学位,高级会计师职称,历任无锡市财政局科员、副科长、处长,无锡市国资委处长,现任无锡产业发展集团有限公司财务总监、财务管理部部长。"
入党,"张建,男,汉族,1972年2月出生,籍贯河南省方城县,本科学历,郑州大学MBA研修生,1993年12月参加工作,2002年7月入党,经济师,现任河南省新华书店发行集团有限公司纪委书记。具体工作经历如下:1993.12-2002.01河南省新华书店财务处出纳,2002.01-2003.05河南省新华书店人力资源部科员,2003.05-2006.02河南省新华书店人力资源部副主任,2006.02-2008.12河南省新华书店人力资源部主任,2008.12-2011.12河南省新华书店发行集团有限公司人力资源部主任,2011.12-至今河南省新华书店发行集团有限公司纪委书记,2012年5月--2016年5月任河南省新华书店发行集团有限公司纪委书记、监事;2016年5月-2018年3月任河南省新华书店发行集团有限公司纪委书记、监事、中原大地传媒股份有限公司职工监事;2018年3月--2018年7月任中原出版传媒投资控股集团有限公司党委组织部主任;2018年7月--2020年3月任中原出版传媒投资控股集团有限公司人力资本创新部主任兼任人才招聘办主任;2020年3月—2020年9月任中原出版传媒投资控股集团有限公司人力资本创新部主任、党委组织部主任、人才招聘办主任;现任中原大地传媒股份有限公司副总经理。"
入党,"杨凯,性别,男,出生年月,1973.04,民族,侗族,籍贯贵州天柱,出生地,贵州凯里,入党时间,2008.05,参加工作时间1995.07,健康状况健康专业技术职务高级工程师熟悉专业有何专长材料采购、供应与管理学历,学位,全日制教育,本科毕业院校系及专业贵州工学院冶金系有色金属专业,在职教育毕业院校系及专业,现任职务中国振华(集团)新云电子元器件有限责任公司常务副总经理,主要简历1991.09-1995.07贵州工学院冶金系有色金属专业学习学生,1995.07-2000.12中国振华(集团)新云电子元器件有限责任公司供应处(物资部)采购员,2000.12-2003.01中国振华(集团)新云电子元器件有限责任公司供应处(物资部)副处长(副部长),2003.01-2004.02中国振华(集团)新云电子元器件有限责任公司供应处(物资部)副处长(副部长)(主持工作),2004.02-2006.07中国振华(集团)新云电子元器件有限责任公司采购部(供应处)部长(处长),2006.07-2007.07中国振华(集团)新云电子元器件有限责任公司第五车间主任,2007.07-2009.06中国振华(集团)新云电子元器件有限责任公司总经理助理,2009.06-2014.01中国振华(集团)新云电子元器件有限责任公司副总经理,2014.01-2017.02中国振华(集团)新云电子元器件有限责任公司常务副总经理,2017.03-2018.04中国振华(集团)新云电子元器件有限责任公司总经理(试用期一年),2018.05-中国振华(集团)新云电子元器件有限责任公司(阻容感板块)总经理。"
党代表,"徐志良:男,1971年3月生,本科,现任浙江万丰奥威汽轮股份有限公司监事,万丰奥特控股集团有限公司董事、党委副书记、总裁办主任,浙江省通航产业协会(联盟)副秘书长,政协新昌县第十届委员会委员,中国共产党新昌县第十三届党代表;曾任绍兴越城区组织部办公室副主任、组织科长、办公室主任、部务会议成员,新疆和田地区于田二中副校长(援疆),绍兴市越城区皋埠镇中学副校长。"
党代表,"徐健:男,中国国籍,1975年出生,本科学历,高级工程师。历任浙江东南网架股份有限公司工程师,设计院网架设计所所长,设计院钢结构所所长,浙江东南网架股份有限公司副总工程师,天津东南钢结构有限公司总经理。现担任中国钢结构协会理事、中国金属结构协会理事、天津钢结构协会副会长、天津钢结构学会副理事长;2013年11月,当选天津市滨海新区第二次代表大会党代表;2014年10月,被授予全国施工企业科技精英。2014年10月,被授予中国钢结构杰出人才奖;2015年1月被授予天津市五一劳动奖章。现任浙江东南网架股份有限公司副总经理、副总工程师,河北雄安东南网架凯盛建筑科技有限公司执行董事。"
党代表,"宋丽华,女,1963年出生,东北财经大学管理学在职研究生,1999年担任瓦房店中心医院副院长,2002年担任瓦房店第三医院院长,2014年任瓦房店第三医院董事长。曾先后是辽宁省五一劳动奖章获得者,大连市党代表,瓦房店市人大常委,全国三八红旗手。宋丽华女士拥有三十多年医院临床和管理工作经验,18年的医院院长管理经历。现任恒康医疗集团股份有限公司董事、副董事长、常务副总裁。"
党代表,"王耀先生,中国国籍,无境外永久居留权,1965年12月出生,江南大学工程硕士、南京大学工商管理硕士,研究员级高级工程师,十九大党代表,中国白酒工艺大师。历任江苏洋河酒厂粉碎制曲车间主任、党支部书记,江苏洋河集团彩印有限公司董事长、总经理、党委书记,江苏双沟酒业股份有限公司副总经理、党委副书记、纪委书记,江苏苏酒实业股份有限公司常务副总经理、党委副书记,公司总裁助理,双沟酒业总经理,公司副总裁,苏酒集团贸易股份有限公司董事长、党委书记。现任江苏洋河酒厂股份有限公司董事长、党委书记,苏酒集团贸易股份有限公司董事长。"
党代表,"张鹰,1973年生,中国国籍,无境外居留权,博士学历,虹口区第九届党代表。荣获2008年,2017年上海市科学技术进步一等奖,2015年上海市科学技术进步二等奖。2004年4月加入公司,上海普利特复合材料股份有限公司应用开发部经理、应用开发部高级经理、上海普利特化工新材料有限公司常务副总经理。现任上海普利特复合材料股份有限公司集团销售总监、监事会主席。"
