perfect,target
1,党委书记
1,党委书记
1,党委书记
,纪委副书记
,纪委副书记
,党委副书记
1,党工委委员
,党组成员
,党委副书记
1,中共党员
1,党委书记
1,党委书记
1,党委委员
,党委副书记
,党委副书记
1,党委书记
1,党委书记
,党办宣传室主任
1,中共党员
1,党支部干事
,党支部副书记
,党办公室干部
1,党委书记
1,党委书记
1,党委书记
,省委省政府评为
1,纪委书记
1,党委书记
,党委副书记
1,纪委书记
1,党委书记
,党委副书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委书记
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党支部书记
1,党支部书记
1,党委委员
,党政办公室副主任
,党总支副书记
,党总支副书记
,党政办公室副主任
,党委副书记
1,纪委书记
1,中共党员
1,团委书记
1,党委书记
1,中共党员
1,中共党员
,党组成员
1,党委常委
1,中共党员
1,党委书记
1,中共党员
1,支部书记
,党支部副书记
1,党支部书记
1,党支部书记
1,党支部书记
1,党委书记
1,纪委书记
1,党委委员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,党委书记
1,党委书记
1,中共党员
,省委法委会委员
1,中共党员
1,党支部书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
,党委副书记
1,党委委员
1,党委委员
1,党委委员
1,纪委书记
1,省委常委
,市委副主委
1,中共党员
1,中共党员
1,纪委书记
,党群部业务经理
1,中共党员
1,党委委员
1,党总支书记
1,中共党员
,党委副书记
1,纪委委员
,党委副书记
,党支部副书记
1,党委书记
1,党委书记
1,党委委员
1,党支部书记
,党委办公室副主任
1,中共党员
1,党组书记
1,党组书记
,党委副书记
1,党支部书记
1,党总支书记
1,中共党员
1,党代会专家
1,党委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
,纪委办负责人
,党委副书记
1,中共党员
1,中共党员
,区委员
,党办职员
,团委副书记
,党委办副主任
,党委副书记
1,纪委书记
1,团委书记
1,纪委委员
1,党支部书记
1,中共党员
1,党总支书记
1,党委书记
1,党委书记
,党代会党代表
1,中共党员
1,中共党员
,党组成员
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党组成员
1,中共党员
1,团委书记
1,纪委委员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委书记
1,中共党员
,团委副书记
,党群办公室)副经理
,党群办(监察室)主任
1,纪委委员
,党群办主任
1,党委书记
1,中共党员
,县委办公室机要秘书
1,中共党员
1,党委委员
,党委副书记
,党委副书记
,党办副主任
,党委副书记
1,党总支书记
1,中共党员
1,纪委书记
,党委副书记
1,党委书记
1,党支部书记
,党委副书记
1,党委书记
,党委副书记
1,党委委员
,党委副书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,纪委委员
,党委办公室主任
1,中共党员
1,中共党员
,中共预备党员
1,中共党员
1,党委委员
,加入中国共产党
1,团委书记
1,党委书记
1,党组书记
1,党组书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,纪委书记
,党校经济学研究生
,省委党校经济学研究生
,党委副书记
1,中共党员
,区委组织部科员
,党委副书记
1,纪委书记
,党委副书记
1,党委书记
1,党总支书记
,党委副书记
1,中共党员
1,党委书记
1,党委书记
1,纪委书记
,党委副书记
1,党委书记
1,中共党员
1,党委委员
,党委副书记
,党委副书记
1,机关党委书记
,加入中国共产党
1,党委书记
1,纪委书记
1,党委书记
,党委副书记
,加入中国共产党
1,党支部书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,党支部书记
,党委副书记
,党委副书记
,纪委副书记
1,中共党员
,团委副书记
,党群部团委副书记
1,团委书记
,党委办公室临时负责人
,党群办公室副主任
1,党办负责人
,纪委副书记
1,党支部书记
1,党委书记
1,中共党员
1,党委书记
1,党委书记
1,市委常委
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委委员
,党委副书记
1,党委书记
1,党支部书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,机关党委书记
,党委组织部部长
1,党委书记
,党委副书记
1,中共党员
,党委副书记
1,党支部书记
1,党支部书记
,党委副书记
1,中共党员
1,党支部书记
1,党委书记
,党政办公室副主任
,党总支副书记
,党总支副书记
,党政办公室副主任
,纪委监察综合室主任
1,纪委常委
,党工委副书记
1,党工委委员
,党委副书记
1,纪委书记
1,党委委员
1,纪委书记
1,中共党员
,党组成员
1,中共党员
1,党委书记
1,党支部书记
,党支部副书记
1,中共党员
1,党委委员
1,中共党员
,党委副书记
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
,纪委国资监管工委委员
,党组成员
1,党委书记
1,中共党员
,党委副书记
1,中共党员
,党委副书记
1,党委书记
1,党委书记
,党委副书记
1,党委书记
1,中共党员
1,纪委书记
,党委副书记
1,党委书记
1,党委书记
1,纪委书记
1,党委书记
1,中共党员
1,中共党员
,党工部副部长
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,党总支书记
1,党委委员
1,中共党员
,党委副书记
1,团委书记
,党办副主任
,纪委副书记
,党校经济学研究生
,省委党校经济学研究生
1,中共党员
,党委副书记
,党委副书记
,党委副书记
,党组成员
1,中共党员
,中共广东省委办公厅综合一处科员
,省委办公厅综合一处科员
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,党委书记
1,纪委书记
,党委副书记
,党委副书记
,党委副书记
,区委(府)新闻信息科科长
,市委正处级秘书
,市委督查室督查室副主任
,党委副书记
1,中共党员
,党群办公室职员
,党委副书记
1,纪委书记
1,党委书记
1,荣获中共
,荣获中共江苏省委
1,中共党员
,党委副书记
1,中共党员
1,党委委员
1,党委委员
,党委副书记
1,纪委书记
,党群人事部部长
,党委办公室主任
1,共产党党员
1,中共党员
1,团委书记
,党委副书记
,党委副书记
1,党委书记
1,中共党员
1,党委委员
,党委副书记
1,共产党党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党办副主任
1,党委委员
1,党委委员
1,党组书记
,中共深圳市委组织部确认为深圳市杰出专家
,市委组织部确认为深圳市杰出专家
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党总支委员
,党总支部书记
1,支部书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党支部书记
1,共产党党员
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,党支部副书记
1,党委委员
1,党委委员
1,党委委员
1,中共党员
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,纪委书记
,党委副书记
1,中共党员
,党委副书记
1,党委书记
1,中共党员
,党委副书记
1,中共党员
,党委副书记
1,中共党员
,党委副书记
,党办)副处长
1,党委委员
1,党委书记
1,中共党员
1,党委委员
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,党委书记
1,纪委书记
,党委副书记
1,中共党员
,党委办公室秘书
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,市委驻深单位纪工委副书记
,纪委派驻第七纪检监察组副组长
,纪委派驻第四纪检组副组长
1,纪委书记
1,中共党员
,纪委副书记
,纪委办)主任
,党组联系专家
1,党委书记
,团委副书记
1,团委书记
1,党支部书记
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,中共党员
1,纪委书记
1,党委委员
1,纪委书记
1,党委委员
1,中共党员
1,中共党员
,市委市属企业工委科员
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
,党工委副书记
1,党工委书记
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
,党群人事部经理
1,纪委书记
1,中共党员
1,党总支书记
1,党委书记
1,党委委员
1,中共党员
1,中共党员
1,团委干事
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,党委书记
1,团委书记
1,党总支书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,党委副书记
,党群办文秘
,党委副书记
1,纪委书记
,党委副书记
1,中共党员
1,党工委委员
1,党工委委员
1,中共党员
1,党委委员
1,党委书记
,党委组织部部长
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,团委书记
1,中共党员
1,党委书记
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,支部书记
,团委副书记
1,党支部书记
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,党委委员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
1,中共党员
,党组成员
,党委副书记
,党委副书记
1,中共党员
1,党委委员
1,党委委员
1,纪委书记
,党委副书记
1,纪委书记
1,党委委员
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,中共党员
,党委办科员
,市委组织部老干处科员
,市委第二批党的群众路线教育实践活动第一督导组任副组长
,党委副书记
1,中共党员
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,党委书记
1,党委书记
1,党委常委
,党委副书记
,党委副书记
,党校大学本科学历
1,党工委委员
1,党委书记
1,党委书记
,党委副书记
1,党委书记
,党委副书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
,党群部纪检干事
,团委副书记
1,团委书记
1,党总支书记
,党委组织部部长
,党委办公室主任
,党支部副书记
,党委副书记
1,纪委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党支部书记
1,党总支书记
1,党委书记
,团委副书记
1,团委书记
1,党支部书记
1,中共党员
1,中共党员
1,党委委员
,党委副书记
1,党委书记
1,党委书记
,中共中央党校经济管理研究生
1,中共党员
,纪委监委第十纪检监察室干部
,党委副书记
,中共十六大代表
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党委委员
1,中共党员
,省委第六轮巡视工作
1,中共党员
,党工委副书记
,党工委副书记
,党组成员
1,党工委书记
1,党委书记
1,党委书记
1,党委书记
,党组成员
1,区委常委
,党组副书记
,市委副秘书
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,党委书记
1,纪委书记
,党委副书记
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
,中共预备党员
,党委办公室宣传干事
1,党委委员
,党政办公室主任
1,中共党员
1,中共党员
,党校常务副校长
,党委宣传部副部长
1,中共党员
1,党群干事
1,党委委员
1,党支部书记
1,党支部书记
1,中共党员
1,中共党员
,团委副书记
1,团委书记
,党委副书记
1,党委委员
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委书记
1,中共党员
1,党支部书记
,党委副书记
1,党委书记
1,党支部委员
1,团委书记
1,党委委员
,纪委副书记
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
1,中共党员
1,党委委员
,党委副书记
1,党委书记
1,中共党员
,团委副书记
,团委副书记
,团委副书记
,团委副书记
1,党支部书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,党总支书记
1,中共党员
,中共中央党校(国家行政学院)高级经济师
,共产党员
1,中共党员
1,中共党员
1,中共党员
,党校行政科副科长
1,共产党党员
1,共产党党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
,纪委办主任
1,党委委员
1,党委委员
1,党委委员
1,党总支委员
,党支部副书记
1,中共党员
1,党委书记
1,纪委书记
1,中共党员
1,中共党员
1,共产党党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
,纪委调研法规室副主任
1,党委委员
1,党委委员
1,党委委员
1,中共党员
1,党委书记
1,党支部书记
1,中共党员
,党总支副书记
1,党委委员
,党委副书记
,党委副书记
1,中共党员
1,党委书记
1,纪委书记
1,党委委员
1,纪委书记
,党政办公室主任
1,党委委员
1,党委委员
,党组成员
,党组成员
,党组副书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中央党校大学学历
1,中共党员
1,团委干事
,纪委监察局纠风室(市政府纠风办)副主任
,党风廉政建设室副主任
1,机关党委书记
1,机关党委书记
,纪委监委机关党委书记
,加入中国共产党
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委常委
1,党委常委
1,党委书记
1,党委常委
1,党委常委
1,党委书记
1,党委常委
1,党委常委
1,党委书记
1,党委常委
1,党委常委
,党委副书记
1,党委书记
1,党委常委
1,党委常委
,党委副书记
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,县委常委
1,中共党员
,省委办公厅办公室副处级秘书
1,党委书记
1,纪委书记
1,党委委员
,党委副书记
,党委副书记
1,团委书记
,党委宣传部副部长
1,纪委委员
1,纪委委员
,党委组织部部长
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,党委委员
,党委副书记
,党组成员
1,党委书记
,党委副书记
1,党委书记
1,中共党员
1,中共党员
,加入中国共产党
,中共海西州委党校讲师
1,党校讲师
1,中共党员
1,党委书记
1,中共党员
1,团委书记
,机关党委副书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,党委书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,中共党员
,加入中国共产党
,党委行政办公室主任
,党委行政)副主任
,党委行政办公室主任
,党委行政办公室主任
1,中共党员
,加入中国共产党
1,党委委员
1,党委书记
1,党委书记
1,纪委书记
1,党委委员
1,党委书记
1,党委委员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,党委书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,加入中国共产党
1,党委书记
,党委副书记
,党委副书记
1,党委书记
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,党委委员
1,党委书记
1,党委书记
,党委副书记
,党委副书记
,党委副书记
1,党委书记
1,党委书记
,加入中国共产党
,党委副书记
,党委副书记
1,党委委员
1,中共党员
1,中共党员
,县委办工作
,党委副书记
1,党委书记
,县委第一副书记
1,党总支委员
1,党委委员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,共产党党员
1,党委委员
1,共产党党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,中共党员
1,党委委员
1,中共党员
,党支部副书记
,党支部副书记
1,党支部书记
1,党支部书记
1,党支部书记
1,党支部书记
1,中共党员
1,党委委员
1,党委委员
1,党总支书记
1,党委书记
1,党委书记
,党委副书记
,党委副书记
,市委组织部干部
1,党委委员
1,纪委书记
,党组成员
1,区委常委
1,纪委书记
1,党委委员
1,中共党员
1,共产党党员
,党委副书记
1,中共党员
,区委办副主任
,区委办副主任
1,党委书记
1,党委书记
,党组成员
,党组成员
1,党委委员
1,区委常委
,区委副书记
,党委副书记
1,中共党员
1,党支部书记
1,共产党党员
1,县委书记
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,团委干事
1,党办主任
1,党委常委
1,党委常委
1,党委书记
,党组成员
1,中共党员
1,中共党员
1,中共党员
,加入中国共产党
1,党委书记
,党委副书记
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,党总支书记
1,党委委员
1,党委委员
1,党委委员
1,党委委员
1,党委委员
1,党委委员
,党委副书记
1,纪委书记
1,中共党员
,加入中国共产党
1,党委委员
1,党委书记
,党委副书记
1,纪委书记
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,党委委员
,省委员
1,中共党员
1,中共党员
,党总支副书记
,党总支副书记
1,党总支书记
1,党委委员
1,中共党员
1,党委委员
1,中共党员
,加入中国共产党
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委委员
1,党委委员
1,党委委员
,加入中国共产党
,党委副书记
1,纪委书记
1,党委书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,加入中国共产党
,党委副书记
,党委副书记
1,纪委书记
,党委副书记
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委委员
1,党委委员
1,党委委员
1,党委委员
,团委副书记
1,团委书记
,党委副书记
,纪委副书记
,纪委副书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党总支书记
1,中共党员
,党委副书记
1,纪委书记
1,纪委书记
,党委副书记
1,中共党员
1,党总支书记
1,党委书记
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,纪委书记
,加入中国共产党
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,加入中国共产党
,党委副书记
1,党委书记
1,党委书记
1,党委委员
,党委副书记
,党委副书记
1,党委书记
1,中共党员
1,共产党党员
1,中共党员
,党委组织员
