match,sentence
"[{""keyword"":""党委"",""positionStart"":38,""positionEnd"":40},{""keyword"":""党委"",""positionStart"":52,""positionEnd"":54}]","1998年7月至2011年3月,历任中国民生银行北京上地支行行长、北京管理部党委委员兼副总经理、大连分行党委书记兼行长、总行零售管理委员会副主席兼零售银行部总经理"
"[{""keyword"":""党工委"",""positionStart"":58,""positionEnd"":61},{""keyword"":""党组"",""positionStart"":94,""positionEnd"":96}]","2014年11月-2019年5月,历任深圳市前海深港现代服务业合作区管理局(前海湾保税港区管理局)副局长、前海合作区党工委委员、中国(广东)自由贸易试验区深圳前海蛇口片区管理委员会副主任、党组成员"
"[{""keyword"":""党支部"",""positionStart"":40,""positionEnd"":43},{""keyword"":""党支部"",""positionStart"":46,""positionEnd"":49},{""keyword"":""党支部"",""positionStart"":59,""positionEnd"":62},{""keyword"":""党办"",""positionStart"":78,""positionEnd"":80}]","1975年5月至1988年3月,历任中国人民银行武汉市分行四唯路办事处会计经办、党支部干事、党支部副书记,车站路办事处党支部副书记(主持工作)、书记,分行整党办公室干部,分行政治办公室副主任(主持工作)、主任(期间,1983年9月至1985年7月,在江汉大学学习)"
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""纪委"",""positionStart"":12,""positionEnd"":14}]",现任平安银行党委副书记、纪委书记、监事长
"[{""keyword"":""党委"",""positionStart"":36,""positionEnd"":38},{""keyword"":""纪委"",""positionStart"":42,""positionEnd"":44}]","2005年11月至2010年5月,任原平安银行(深圳市商业银行)监事长、党委副书记、纪委书记、工会主席"
"[{""keyword"":""党委"",""positionStart"":15,""positionEnd"":17},{""keyword"":""纪委"",""positionStart"":21,""positionEnd"":23}]","2010年6月至今,任平安银行党委副书记、纪委书记、监事长"
"[{""keyword"":""党委"",""positionStart"":41,""positionEnd"":43},{""keyword"":""党委"",""positionStart"":51,""positionEnd"":53}]","2009年10月-2017年9月,历任深圳市天健(集团)股份有限公司董事、总经理、党委副书记,董事长、党委书记"
"[{""keyword"":""党委"",""positionStart"":141,""positionEnd"":143},{""keyword"":""党支部"",""positionStart"":56,""positionEnd"":59},{""keyword"":""党支部"",""positionStart"":74,""positionEnd"":77},{""keyword"":""党支部"",""positionStart"":96,""positionEnd"":99},{""keyword"":""党支部"",""positionStart"":127,""positionEnd"":130}]","1993年7月本科毕业于吉林大学国际经济系,历任深圳市沙河实业(集团)公司下属都会合成墙板公司副总经理、总经理、党支部书记,沙河集团物业经营部经理、党支部书记,沙河实业股份公司办公室主任、第一党支部书记,长沙深业置业公司常务副总经理、总经理、法定代表人、党支部书记,沙河实业股份公司党委委员"
"[{""keyword"":""党总支"",""positionStart"":52,""positionEnd"":55},{""keyword"":""党总支"",""positionStart"":83,""positionEnd"":86},{""keyword"":""党政办"",""positionStart"":39,""positionEnd"":42},{""keyword"":""党政办"",""positionStart"":90,""positionEnd"":93}]","曾任中国航空技术国际控股有限公司行政管理部部长、经理部副部长,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学动力学院学生工作负责人、动力学院党总支副书记、党政办公室副主任,中航国际经理部副部长、行政管理部部长"
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""纪委"",""positionStart"":27,""positionEnd"":29}]",现任深圳经济特区房地产(集团)股份有限公司党委副书记、纪委书记、董事
"[{""keyword"":""纪委"",""positionStart"":30,""positionEnd"":32},{""keyword"":""党群工作部"",""positionStart"":21,""positionEnd"":26},{""keyword"":""党群工作部"",""positionStart"":36,""positionEnd"":41}]",历任深圳经济特区房地产(集团)股份有限公司党群工作部副主任、纪委副书记兼党群工作部主任
"[{""keyword"":""党委"",""positionStart"":61,""positionEnd"":63},{""keyword"":""团委"",""positionStart"":47,""positionEnd"":49}]","1991年进入中粮集团,先后任上海粮油总经理秘书、中粮上海粮油进出口公司储炼厂副厂长、上海粮油团委书记、副总经理、总经理、党委书记"
