tinySentence,matches
北京管理部党委委员兼副总经理,"[""委员"",""经理""]"
人事处处长(党委组织部长),"[""部长"",""处长""]"
车站路办事处党支部副书记(主持工作),"[""书记"",""工作""]"
历任深圳经济特区房地产(集团)股份有限公司党群工作部副主任,"[""主任"",""工作""]"
纪委副书记兼党群工作部主任,"[""主任"",""书记"",""工作""]"
纪委副书记兼党群工作部主任,"[""主任"",""书记"",""工作""]"
总经理兼党委副书记等职,"[""书记"",""经理""]"
党委书记兼副总经理,"[""书记"",""经理""]"
中国电子信息产业集团有限公司党群工作部(党组办公室)主任,"[""主任"",""工作""]"
中国电子信息产业集团有限公司党群工作部(党组办公室)主任,"[""主任"",""工作""]"
党建工作部(党组办公室)主任,"[""主任"",""工作""]"
党建工作部(党组办公室)主任,"[""主任"",""工作""]"
副总经理兼党总支书记,"[""书记"",""经理""]"
深圳市宝安区投资管理集团有限公司企业改革重组办公室主任(兼深圳市全安建设监理有限公司党支部书记,"[""主任"",""书记""]"
中共广州市第九次代表大会代表,"[""代表"",""代表""]"
多次获得中共广东省律协委员会“优秀共产党员”,"[""党员"",""委员""]"
多次获得中共广东省律协委员会“优秀共产党员”,"[""党员"",""委员""]"
中共广州市司法局委员会“优秀党务工作者”等称号,"[""委员"",""工作""]"
中共广州市司法局委员会“优秀党务工作者”等称号,"[""委员"",""工作""]"
2007年6月至2013年12月任深圳市振业(集团)股份有限公司党群工作部主任,"[""主任"",""工作""]"
刘声向先生曾荣获2001年深圳市优秀共产党员称号,"[""党员"",""荣获""]"
团委副书记(主持工作),"[""书记"",""工作""]"
中共深圳市社会组织纪律检查委员会委员,"[""委员"",""委员""]"
中共深圳市注册会计师行业委员会副书记兼纪委书记,"[""书记"",""书记"",""委员""]"
中共深圳市注册会计师行业委员会副书记兼纪委书记,"[""书记"",""书记"",""委员""]"
谢畅先生曾任深圳市建安(集团)股份有限公司党群工作部部长,"[""部长"",""工作""]"
总经理助理兼沙河医院支部书记,"[""书记"",""经理""]"
中国航空技术深圳有限公司党群工作部常务副主任,"[""主任"",""工作""]"
深圳市国有资产监督管理委员会党委办公室主任科员,"[""员"",""主任"",""委员""]"
主任兼党支部书记,"[""主任"",""书记""]"
现任富奥股份公司泵业事业部总经理兼党委书记,"[""书记"",""经理""]"
副总经理兼党委副书记兼工会负责人,"[""书记"",""负责人"",""经理""]"
共青团深圳市委员会学少部科员,"[""员"",""委员""]"
中共深圳市坪山新区坪山工作委员会副书记,"[""书记"",""委员"",""工作""]"
中共深圳市坪山新区马峦工作委员会书记兼马峦办事处主任,"[""主任"",""书记"",""委员"",""工作""]"
中共深圳市坪山区马峦街道工作委员会书记兼马峦街道办事处主任,"[""主任"",""书记"",""委员"",""工作""]"
现任中共深圳市坪山区马峦街道工作委员会书记,"[""书记"",""委员"",""工作""]"
党群办公室(企业文化部)副主任(副总经理),"[""主任"",""经理""]"
公司党群工作部企业文化专员,"[""员"",""工作""]"
现任深圳市农产品集团股份有限公司党委办公室(党群工作部)副主任,"[""主任"",""工作""]"
现任深圳市农产品集团股份有限公司党委办公室(党群工作部)副主任,"[""主任"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
现任深圳赛格股份有限公司党群工作部(纪检监察室)副部长(主持工作),"[""部长"",""工作"",""工作""]"
深圳市委组织部高级经理评价推荐中心副部长(副处),"[""部长"",""经理""]"
深圳市纺织(集团)股份有限公司党群工作部部长,"[""部长"",""工作""]"
党群工作部副总经理,"[""经理"",""工作""]"
党群工作部总经理,"[""经理"",""工作""]"
安彩集团资产管理部长兼党群工作部长,"[""部长"",""部长"",""工作""]"
中共深圳市社会组织纪律检查委员会委员,"[""委员"",""委员""]"
中共深圳市注册会计师行业委员会副书记兼纪委书记,"[""书记"",""书记"",""委员""]"
中共深圳市注册会计师行业委员会副书记兼纪委书记,"[""书记"",""书记"",""委员""]"
公司党群工作部部长,"[""部长"",""工作""]"
广东省国资委纪委广东省监察厅派驻省国资委监察专员办公室主任科员,"[""员"",""员"",""主任""]"
公司企化部经理兼船舶管理二处处长兼党委书记,"[""书记"",""处长"",""经理""]"
四处处长兼党委书记,"[""书记"",""处长""]"
深圳市纪委第二案件检查室主任科员,"[""员"",""主任""]"
2017年8月至2019年2月任深圳机场现代物流有限公司党总支书记兼总经理,"[""书记"",""经理""]"
中共深圳市委市属企业工委组织部副主任科员,"[""员"",""主任""]"
中共深圳市委市属企业工委组织部副主任科员,"[""员"",""主任""]"
党群工作部副部长,"[""部长"",""工作""]"
深圳市科技工贸和信息化委员会党组副书记,"[""书记"",""委员""]"
中共中国银行业监督管理委员会长治银监分局委员会办公室副主任,"[""主任"",""委员"",""委员""]"
2003年12月-2006年7月任深圳市盐田港集团有限公司团委负责人(期间:2003年2月-2005年12月武汉理工大学物流工程专业硕士研究生学习),"[""负责人"",""专业"",""学习"",""研究生""]"
运行指挥中心总经理兼党支部书记,"[""书记"",""经理""]"
主要工作经历:1984年5月至1988年1月任湖北省委经济工作部处长,"[""处长"",""工作"",""工作""]"
主任科员(其间:1992年8月-1994年12月在职读中央党校经济专业本科毕业,"[""员"",""主任"",""专业"",""毕业""]"
1995年9月-1998年7月在职读广东省委党校哲学专业研究生毕业),"[""专业"",""研究生"",""毕业""]"
1995年9月-1998年7月在职读广东省委党校哲学专业研究生毕业),"[""专业"",""研究生"",""毕业""]"
1999年5月-2009年11月任深圳市委组织部办公室主任科员,"[""员"",""主任""]"
2009年11月-2014年5月任深圳市委组织部干部监督处副处长,"[""处长"",""干部""]"
2014年5月-2016年8月任深圳市委组织部机关党委专职副书记兼纪委书记(其间:2013年9月-2014年12月在职读天津大学工商管理硕士,"[""书记"",""书记""]"
2014年5月-2016年8月任深圳市委组织部机关党委专职副书记兼纪委书记(其间:2013年9月-2014年12月在职读天津大学工商管理硕士,"[""书记"",""书记""]"
2014年5月-2016年8月任深圳市委组织部机关党委专职副书记兼纪委书记(其间:2013年9月-2014年12月在职读天津大学工商管理硕士,"[""书记"",""书记""]"
2014年至2015年任西安微电子技术研究所党委书记兼纪委书记,"[""书记"",""书记""]"
2014年至2015年任西安微电子技术研究所党委书记兼纪委书记,"[""书记"",""书记""]"
2013年4月-2014年8月任深圳市特区建设发展集团有限公司人力资源部副部长(期间:2013年7月-2014年8月兼任深圳市特区建设发展集团有限公司党群工作部副部长),"[""部长"",""部长"",""工作""]"
总经理兼支部书记,"[""书记"",""经理""]"
2014年3月至2015年7月任深圳市机场股份有限公司地面服务公司党总支书记兼副总经理,"[""书记"",""经理""]"
党群工作部副总经理,"[""经理"",""工作""]"
