keyword,description
加入中国共产党,"张丕杰先生,1961年2月生,黑龙江鸡西人,1983年8月参加工作,1988年4月加入中国共产党,东北重型机械学院金属材料及热处理专业本科毕业、工学学士,哈尔滨工业大学工程硕士,高级经济师。历任一汽热处理厂技术科工艺员、检查科技术员、团委书记、一车间副主任、计财科科长、厂长助理,一汽职工大学经济管理培训班学员,一汽集团公司计财部综合计划处处长,一汽长春轻型车厂副厂长,一汽轿车股份有限公司采购供应部部长,一汽进出口公司对外经贸处处长、一汽进出口公司总经理兼一汽集团公司大物流项目组组长,一汽轿车股份有限公司总经理,一汽-大众汽车有限公司总经理。2017年9月,任中国第一汽车股份有限公司总经理助理兼中国第一汽车集团公司采购部部长。"
加入中国共产党,"王振勃,男,1963年8月生,吉林扶余人,1987年7月参加工作,1998年6月加入中国共产党,吉林大学物理专业本科毕业,理学学士。历任一汽集团企业战略研究部信息室主任,一汽集团采购部部长,一汽集团采购部部长兼采购中心总经理,天津一汽丰田汽车有限公司党委书记、纪委书记、工会主席,天津一汽丰田汽车有限公司党委书记、常务副总经理。2017年5月任一汽集团专职外部董事。"
加入中国共产党,"杨晓东,男,汉族,1973年5月出生,山西运城人,1994年7月参加工作,1998年12月加入中国共产党,上海交通大学应用化学专业本科(全日制)毕业,学士,中级政工师。1994年7月至1996年6月任深圳市第五建筑工程公司四分公司、人事部科员;1996年7月至1996年12月任深圳市建设集团公司人事部科员;1997年1月至2004年4月任深圳市建设投资控股公司工会、房地产开发部、经营部主办科员,经营部副部长、部长(其中2000年1月至2000年12月借调到深圳市企务公开领导小组办公室工作);2004年5月至2004年12月任深圳市金众房地产有限公司副经理;2004年12至2006年3月任东莞市金众房地产有限公司总经理;2006年3月至2008年4月任深圳市益华实业发展有限公司总经理;2008年4月至2009年6月任深圳市振业(集团)股份有限公司资产经营部副总经理;2009年6月至2010年3月任湖南振业房地产开发有限公司副总经理兼营销策划总监;2010年4月至2011年1月任深圳市振业(集团)股份有限公司办公室副主任(主持部门工作);2011年1月至2013年7月任深圳市振业(集团)股份有限公司办公室主任;2013年7月至2014年12月任深圳市振业(集团)股份有限公司资产经营经营部总经理;2014年12月至2017年10月任天津市振业房地产开发有限公司董事长、党支部书记;2017年10月至今深圳市振业(集团)股份有限公司副总裁。"
加入中国共产党,"李锁云,男,汉族,江苏海安人,1961年9月出生,1991年4月加入中国共产党,硕士研究生学历,硕士学位,研究员级高级工程师。1978.10-1982.07就读于上海工业大学机械制造专业,本科学历;1996.09-2000.10就读于哈尔滨工业大学工商管理专业研究生学历;1982.08-1991.03任徐州装载机厂助理工程师、工程师、室主任;1991.03-1992.03任徐州装载机厂金工车间副主任;1992.03-1997.07任徐州装载机厂厂长助理、副厂长;1997.07-1999.03任徐州工程机械股份有限公司副总经理,徐州工程机械股份有限公司铲运机械分公司总经理、党委书记;1999.03-2000.07任徐州工程机械集团有限公司起重机械分公司总经理、党委书记;2000.07-2000.09任徐州工程机械集团有限公司副总经理,徐州工程机械集团有限公司起重机械分公司总经理、党委书记;2000.09-2001.04任徐州工程机械集团有限公司副总经理;2001.04-2002.06任徐州工程机械集团有限公司副总经理,徐州工程机械集团进出口有限公司董事长、党委书记;2002.06-2006.07任徐州工程机械集团有限公司副总经理、党委常委,徐工集团工程机械有限公司副总经理、党委常委,徐州工程机械集团进出口有限公司董事长、党委书记;2006.07-2007.01任徐州工程机械集团有限公司副总经理、党委常委,徐工集团工程机械有限公司副总经理、党委常委,徐州工程机械科技股份有限公司董事,徐州工程机械集团进出口有限公司董事长、党委书记;2007.01-2009.11任徐州工程机械集团有限公司党委常委,徐工集团工程机械有限公司党委常委,徐州工程机械科技股份有限公司董事、总经理、党委书记;2009.11-2010.02任徐州工程机械集团有限公司党委常委,徐工集团工程机械有限公司党委常委,徐工集团工程机械股份有限公司董事、党委副书记,徐工集团工程机械股份有限公司科技分公司总经理、党委书记;2010.02-2010.08任徐州工程机械集团有限公司党委常委,徐工集团工程机械有限公司党委常委,徐工集团工程机械股份有限公司董事、党委副书记;2010.08-2014.04,任徐州工程机械集团有限公司、徐工集团工程机械有限公司副总经理、党委副书记,徐工集团工程机械股份有限公司董事、党委副书记;徐州徐工基础工程机械有限公司董事长。2015.08-至今任徐州徐工环境技术有限公司董事长;2013.07-至今任徐州罗特艾德回转支承有限公司副董事长。"
加入中国共产党,"陆川,男,汉族,江苏张家港人,1966年4月出生,1985年12月加入中国共产党,硕士研究生学历,硕士学位,正高级会计师,高级经济师,工程师。1984.07-1988.07就读于东南大学金属材料及热处理专业,本科学历;1995.09-1999.04就读于清华大学工商管理,研究生学历;1988.07-1995.09任江苏省机电研究所技术员、工程师;1999.05-2000.03任徐州工程机械集团有限公司起重机械分公司总经理助理兼财务部部长;2000.03-2002.06任徐州工程机械集团有限公司起重机械分公司总会计师;2002.06-2004.12任徐州工程机械集团有限公司监事,徐工集团工程机械有限公司监事,徐州工程机械集团有限公司起重机械分公司总会计师;2004.12-2009.11任徐州工程机械集团有限公司监事,徐工集团工程机械有限公司监事,徐州重型机械有限公司总会计师、董事;2009.11-2009.12任徐工集团工程机械股份有限公司建设机械分公司总经理,徐州重型机械有限公司总会计师、董事;2009.12-2011.08任徐工集团工程机械股份有限公司副总裁,徐工集团工程机械股份有限公司建设机械分公司总经理、党委书记,徐州重型机械有限公司总会计师、董事;2011.8-2013.05任徐工集团工程机械股份有限公司副总裁,徐州重型机械有限公司任总经理、党委副书记、总会计师、董事;2012.07-2013.05,任徐工集团工程机械股份有限公司副总裁,徐州重型机械有限公司总经理、党委副书记、董事,徐州建机工程机械有限公司董事长;2013.06-2014.12,任徐工集团工程机械股份有限公司副总裁、董事,徐工起重机械事业部总经理、党委书记,徐州重型机械有限公司总经理、党委书记、董事,徐州建机工程机械有限公司董事长;2014.12-2015.02,任徐工集团工程机械股份有限公司副总裁、董事、党委委员,徐工起重机械事业部总经理、党委书记,徐州重型机械有限公司总经理、党委书记、董事,徐州建机工程机械有限公司董长;2015.02-2016.01,徐工集团工程机械股份有限公司副总裁、董事、党委委员;徐工起重机械事业部总经理、党委书记;徐州重型机械有限公司总经理、党委书记、董事;徐州建机工程机械有限公司董事长;徐州徐工液压件有限公司董事长;2016.01-至今,任徐工集团工程机械股份有限公司副总裁、董事、党委委员;徐工起重机械事业部总经理、党委书记;徐州重型机械有限公司总经理、党委书记、董事;徐州建机工程机械有限公司董事长;徐州徐工液压件有限公司董事长;徐工消防安全装备有限公司董事长。2017.04-至今任徐州工程机械集团有限公司党委副书记、董事;任徐工集团工程机械有限公司党委副书记、董事;任徐工集团工程机械股份有限公司总裁、党委副书记、董事;任徐工起重机械事业部总经理、党委书记;任徐州重型机械有限公司总经理、党委书记、董事。2012.07-至今任徐州建机工程机械有限公司董事长;2013.01-至今任徐工集团财务有限公司董事;2013.05-至今任徐州工程机械集团进出口有限公司董事;2015.02-至今任徐州徐工液压件有限公司董事长;2016.01-至今任徐工消防安全装备有限公司董事长。"
加入中国共产党,"孙建忠,男,汉族,河北沧州人,1966年2月出生,1998年3月加入中国共产党,本科学历,博士学位,研究员级高级工程师。1988.07-1989.10任徐州重型机械厂设计所设计员;1989.10-1993.03任徐州工程机械研究所设计员;1993.03-1999.06任徐州工程机械集团有限公司起重机械分公司开发部主任设计师、室主任、部长助理;1999.06-2000.11任徐州工程机械集团有限公司起重机械分公司生产制造部部长;2000.11-2001.09任徐州工程机械集团有限公司起重机械分公司总经理助理兼生产制造部部长;2001.09-2004.12任徐州工程机械集团有限公司起重机械分公司副总经理;2004.12-2009.12任徐州重型机械有限公司董事、副总经理;2009.12-2010.02任徐工集团工程机械股份有限公司副总裁,徐州重型机械有限公司董事、副总经理;2010.02-2010.07任徐工集团工程机械股份有限公司副总裁,徐州重型机械有限公司董事、总经理、党委副书记;2010.07-2011.08任徐工集团工程机械股份有限公司,董事、副总裁徐州重型机械有限公司董事、总经理、党委副书记;2011.08至今任徐工集团工程机械股份有限公司董事、副总裁;2010.03至今任徐州徐工液压件有限公司董事长;2008.08至今任徐州工程机械集团进出口有限公司董事长。2014.12-至今任徐工集团工程机械股份有限公司副总裁、党委委员。"
加入中国共产党,"孔庆辉,男,汉族,1971年1月出生,籍贯山东庆云,2017年6月加入中国共产党,重庆大学物流工程领域工程硕士,工程师。1995年7月在烟台市福山区财政局参加工作。现任北京金隅集团股份有限公司总经理助理,唐山冀东水泥股份有限公司党委书记、董事长。孔庆辉先生历任烟台市婴儿乐集团总经理助理、副总经理,唐山冀东水泥股份有限公司物流总公司副总经理,唐山冀东水泥股份有限公司营销总部副总经理,唐山冀东水泥股份有限公司川渝大区副总经理,唐山冀东水泥股份有限公司陕西大区副总经理、总经理,冀东海德堡(泾阳)水泥有限公司副董事长、总经理,冀东海德堡(扶风)水泥有限公司副董事长。2017年10月任唐山冀东水泥股份有限公司副总经理;2018年4月任唐山冀东水泥股份有限公司总经理;2018年5月任唐山冀东水泥股份有限公司董事;2018年7月任唐山冀东水泥股份有限公司党委副书记;2019年10月任唐山冀东水泥股份有限公司党委书记;2020年1月起任北京金隅集团股份有限公司总经理助理,唐山冀东水泥股份有限公司董事长。"
加入中国共产党,"吴江龙,男,汉族,重庆忠县人,1962年9月出生,1991年7月加入中国共产党,在职研究生学历,博士学位,教授级高级会计师。1991.05-1993.03任黑龙江东方红林业局财务科副科长;1993.03-1994.09任徐州筑路机械厂财务科科长;1994.09-1995.06任徐州工程机械股份有限公司财务部副部长;1995.06-1995.10任徐州工程机械股份有限公司财务部部长;1995.10-1997.07任徐州工程机械集团有限公司起重机械分公司总会计师;1997.08-2002.06任徐州工程机械集团有限公司副总会计师、财务部部长、资产财务部部长;2002.06-2003.04任徐州工程机械集团有限公司董事、总会计师、资产财务部部长徐工集团工程机械有限公司2003.04-2004.01任徐州工程机械集团有限公司董事、总会计师、资产财务部部长,徐工集团工程机械有限公司,徐州工程机械科技股份有限公司董事;2004.01-2007.03任徐州工程机械集团有限公司、徐工集团工程机械有限公司董事、总会计师,徐州工程机械科技股份有限公司董事;2007.03-2009.11任徐州工程机械集团有限公司党委常委、董事、总会计师,徐工集团工程机械有限公司、徐州工程机械科技股份有限公司董事;2009.11-2009.12任徐州工程机械集团有限公司党委常委、董事,徐工集团工程机械有限公司任党委常委、董事,徐工集团工程机械股份有限公司任党委常委、董事、财务负责人;2009.12至今任徐州工程机械集团有限公司党委常委、董事,徐工集团工程机械有限公司党委常委、董事,徐工集团工程机械股份有限公司党委常委、董事、副总裁、财务负责人;2004.09至今任徐州重型机械有限公司董事;2006.08至今任徐州派特控制技术有限公司副董事长;2006.08至今任徐州赫思曼电子有限公司副董事长;2004.09至今任徐州徐工专用车辆有限公司董事;2008.09至今任南京徐工汽车制造有限公司董事;2011.11-2013.05,任徐州工程机械集团有限公司、徐工集团工程机械有限公司党委常委、董事,徐工集团工程机械股份有限公司党委常委、董事、副总裁、财务负责人,徐州重型机械有限公司董事,徐州徐工专用车辆有限公司董事,南京徐工汽车制造有限公司董事,徐州派特控制技术有限公司副董事长,徐州赫思曼电子有限公司副董事长,江苏徐工工程机械租赁有限公司董事长,徐州徐工投资有限公司董事;2013.05-2014.12,任徐州工程机械集团有限公司、徐工集团工程机械有限公司党委常委、董事,徐工集团工程机械股份有限公司党委常委、董事、副总裁、财务负责人,徐州重型机械有限公司董事,徐州徐工专用车辆有限公司董事,徐州派特控制技术有限公司副董事长,徐州赫思曼电子有限公司副董事长,徐州徐工投资有限公司董事;2014.12-至今,任徐州工程机械集团有限公司党委委员、董事,任徐工集团工程机械有限公司党委委员、董事,任徐工集团工程机械股份有限公司党委委员、董事、副总裁、财务负责人。"
加入中国共产党,"李格,女,汉族,江苏邳州人,1966年12月出生,1987年11月加入中国共产党,本科学历,硕士学位,高级经济师。1989.08-1992.09任徐州经济管理干部学院教师;1994.08-1996.11任徐州回转支承公司规划发展部部长;1996.11-1997.07任徐州工程机械集团有限公司规划发展部商务经理;1997.07-1999.07任徐州工程机械集团有限公司组织人事部副部长;1999.07-2000.09任徐州工程机械集团有限公司起重机械分公司党委副书记、纪委书记;2000.09-2002.06任徐州工程机械集团有限公司起重机械分公司党委书记、纪委书记;2002.06-2003.04任徐州工程机械集团有限公司监事会主席、党委副书记、纪委书记;徐工集团工程机械有限公司任监事会主席、党委副书记、纪委书记;2003.04-2009.11任徐州工程机械集团有限公司监事会主席、党委副书记、纪委书记,徐工集团工程机械有限公司监事会主席、党委副书记、纪委书记,徐州工程机械科技股份有限公司监事会主席;2009.11至今任徐州工程机械集团有限公司党委副书记、纪委书记,徐工集团工程机械有限公司监事会主席、党委副书记、纪委书记,徐工集团工程机械股份有限公司监事会主席、党委副书记、纪委书记;2004.09至今任徐州重型机械有限公司监事会主席;2009.11-至今任徐州工程机械集团有限公司党委副书记、纪委书记;任徐工集团工程机械有限公司监事会主席、党委副书记、纪委书记;任徐工集团工程机械股份有限公司监事会主席、党委副书记、纪委书记。"
加入中国共产党,"张守航,男,汉族,江苏赣榆人,1960年10月出生,1986年12月加入中国共产党,硕士研究生学历,硕士学位,高级工程师,高级人力资源管理师。1982.08-1992.08任徐州工程机械桥箱厂技术员、车间副主任;1992.08-1993.03任徐州高压齿轮泵厂厂长助理;1993.03-1994.06任徐州工程机械桥箱厂科长、党委副书记;1994.07-1995.09任徐州工程机械桥箱公司党委副书记、纪委书记;1998.04-2001.01任徐州工程机械集团有限公司商务部部长;2001.01-2002.06任徐州海鹏轮胎公司党委副书记;2002.06-2007.03任徐州工程机械集团有限公司组织人事部部长,徐工集团工程机械有限公司组织人事部部长;2007.03-2007.07任徐州工程机械集团有限公司党委常委、工会主席、组织人事部部长,徐工集团工程机械有限公司任党委常委、工会主席、组织人事部部长;2007.07-2009.11任徐州工程机械集团有限公司党委常委、工会主席、组织人事部部长,徐工集团工程机械有限公司党委常委、工会主席、组织人事部部长,徐州工程机械科技股份有限公司监事;2009.11-2010.07任徐州工程机械集团有限公司党委常委、工会主席,徐工集团工程机械有限公司党委常委、工会主席,徐工集团工程机械股份有限公司监事、党委常委、工会主席,人力资源部部长;2010.07-2014.12,任徐州工程机械集团有限公司、徐工集团工程机械有限公司党委常委、工会主席,徐工集团工程机械股份有限公司监事、党委常委、工会主席,徐州徐工挖掘机械有限公司监事会主席;2014.12-至今,任徐州工程机械集团有限公司、徐工集团工程机械有限公司党委委员、工会主席,徐工集团工程机械股份有限公司监事、党委委员、工会主席,徐州徐工挖掘机械有限公司监事会主席;2016.02-至今任徐州工程机械集团有限公司党委委员、工会主席;任徐工集团工程机械有限公司党委委员、工会主席;任徐工集团工程机械股份有限公司监事、工会主席、审计督查研究室主任。"
