tinySentence,matches
任平安银行深圳分行党委书记,"[""书记""]"
大连分行党委书记兼行长,"[""书记""]"
任平安银行北京分行党委书记,"[""书记""]"
现任平安银行纪委副书记,"[""书记""]"
任平安银行纪委副书记,"[""书记""]"
党委副书记,"[""书记""]"
前海合作区党工委委员,"[""委员""]"
党组成员,"[""员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
2014年4月至2016年6月任广州白云山化学药厂董事长党委书记,"[""书记""]"
现任深圳中电投资股份有限公司党委委员,"[""委员""]"
任公司党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记,"[""书记""]"
任深圳市资本运营集团有限公司党委书记,"[""书记""]"
历任深圳发展银行党办宣传室主任,"[""主任""]"
中共党员,"[""党员""]"
党支部干事,"[""干事""]"
党支部副书记,"[""书记""]"
分行整党办公室干部,"[""干部""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
被四川省委省政府评为“四川省优秀民营企业家”,"[""评为""]"
纪委书记,"[""书记""]"
党委书记,"[""书记""]"
现任平安银行党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
任平安银行党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党支部书记,"[""书记""]"
党支部书记,"[""书记""]"
第一党支部书记,"[""书记""]"
党支部书记,"[""书记""]"
沙河实业股份公司党委委员,"[""委员""]"
北京航空航天大学党政办公室副主任,"[""主任""]"
动力学院党总支副书记,"[""书记""]"
动力学院党总支副书记,"[""书记""]"
党政办公室副主任,"[""主任""]"
现任深圳经济特区房地产(集团)股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
上海粮油团委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
深圳市福田区国税局党组成员,"[""员""]"
现任华侨城集团有限公司党委常委,"[""常委""]"
中共党员,"[""党员""]"
云南筑友房地产开发有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
团支部书记,"[""书记""]"
党支部副书记,"[""书记""]"
能源集团计划发展部和燃料管理部党支部书记,"[""书记""]"
深圳能源集团股份有限公司规划发展部和燃料管理部党支部书记,"[""书记""]"
党支部书记兼妈湾公司董事长,"[""书记""]"
党委书记,"[""书记""]"
2016年10月至2017年12月先后任中国粮油纪委书记,"[""书记""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
党委委员,"[""委员""]"
党委委员,"[""委员""]"
党委委员,"[""委员""]"
中国瑞达投资发展集团公司党委书记,"[""书记""]"
现任中国中电国际信息服务有限公司董事长兼党委书记,"[""书记""]"
中共党员,"[""党员""]"
民建广东省委法委会委员,"[""委员""]"
中共党员,"[""党员""]"
深能合和电力(河源)有限公司党支部书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
1999年12月至2006年9月任深圳市地铁有限公司党委委员,"[""委员""]"
2006年10月至2012年7月任深圳市地铁集团有限公司党委委员,"[""委员""]"
2017年1月起兼任深圳市振业(集团)股份有限公司党委委员,"[""委员""]"
纪委书记,"[""书记""]"
民建广东省委常委,"[""常委""]"
民建深圳市委副主委,"[""主委""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
现任深圳长城开发科技股份有限公司纪委书记兼工会主席,"[""书记""]"
深圳市特发集团有限公司党群部业务经理,"[""经理""]"
