name,code,sentence
郑列列,000005,1988-1989年在威斯康星·MADISON大学任客座教授
丁芃,000005,"丁芃,女,大学"
丹尼尔·保泽方,000005,"丹尼尔·保泽方,男,大学.1999-2000 年在欧洲航空防务和航天公司工作"
刘静云,000028,"曾在南京广播电视大学任教,2003年11月起在国药控股股份有限公司任职,先后担任资金管理部副部长、资金与信用管理部部长"
张丕杰,000030,"历任一汽热处理厂技术科工艺员、检查科技术员、团委书记、一车间副主任、计财科科长、厂长助理,一汽职工大学经济管理培训班学员,一汽集团公司计财部综合计划处处长,一汽长春轻型车厂副厂长,一汽轿车股份有限公司采购供应部部长,一汽进出口公司对外经贸处处长、一汽进出口公司总经理兼一汽集团公司大物流项目组组长,一汽轿车股份有限公司总经理,一汽-大众汽车有限公司总经理"
李智明,000028,"李智明先生:出生于1962年11月,中共党员,大学专科学历,高级经济师、主管药师"
吕卫东,000005,"吕卫东,女,大学"
李兵兵,000049,"李兵兵:男,1967年出生,大学MBA毕业,硕士研究生,高级会计师"
郁春晓,000059,"郁春晓,男,1963年2月出生,中共党员,大学工学学士,高级工程师"
费建民,000059,"费建民,男,1967年9月出生,中共党员,大学工学学士,研究员级高级工程师"
叶见青,000096,"叶见青:男,1962年出生,中共党员,大学"
吴福良,000088,"1996年3月-2000年2月任深圳盐田港集团有限公司工程建设管理部副经理(主持工作)(期间:1996年9月-1997年9月,由深圳市委组织部选派,在美国休斯敦大学做访问学者)"
孙惠嬿,000153,"孙惠嬿女士:1981年11月出生,中共党员,大学专科学历"
刘壮青,000150,毕业于美国佩珀代因大学
胡金生,000153,"胡金生先生:1963年7月出生,中共党员,大学专科学历,工程师"
章绍毅,000153,"章绍毅先生:1962年8月出生,中共党员,大学专科学历,工程师,执业药师"
彭鹏,000415,"彭鹏,男,1982年生,澳大利亚易迪考文大学酒店管理学学士"
李锁云,000425,"1978.10-1982.07就读于上海工业大学机械制造专业,本科学历"
连瑞芹,000426,"连瑞芹,女,1973年11月出生,大学专科"
亓昭英,000408,"亓昭英女士:1964年8月出生,中国国籍,无境外永久居留权,大学专科学历,高级工程师"
尹美群,000488,"尹美群女士,49岁,大学教授,会计学专业博士学位,中国注册会计师"
MichaelMacht,000338,斯图加特大学荣誉博士学位
刘宗山,000401,"2008.02-2016.09唐山冀东水泥股份有限公司副总经理(其间:2011.09-2013.03美国班尼迪克大学企业管理专业学习,获工商管理硕士学位)"
姚小义,000430,"姚小义,男,1963年4月出生,汉族,金融学博士、英国(leicester)大学经济系访问学者"
杨昌伯,000157,杨昌伯先生于1986年获得了美国得克萨斯大学奥斯汀分校经济学博士学位
徐世美,000159,"徐世美:女,汉族,博士,大学教授"
HelmutZodl,000333,"Helmut Zodl,男,47岁,奥地利籍,维也纳大学硕士,2000年至2005年就职于IBM公司,曾担任奥地利财务经理及欧洲、中东和非洲区域财务总监"
