sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
蔡洪滨先生于1997年至2005年任教于加州大学洛杉矶分校,加州大学洛杉矶分校,0,0,0,0,[],[],[]
"韩小京先生1982年于中南财经政法大学(原名:湖北财经学院)获得法学学士学位,1985年于中国政法大学获法学硕士学位",湖北财经学院,2,2,1,1,"[""学士""]",[],[]
"韩小京先生1982年于中南财经政法大学(原名:湖北财经学院)获得法学学士学位,1985年于中国政法大学获法学硕士学位",中南财经政法大学,2,2,1,1,"[""学士""]",[],[]
"韩小京先生1982年于中南财经政法大学(原名:湖北财经学院)获得法学学士学位,1985年于中国政法大学获法学硕士学位",中国政法大学,2,2,1,1,"[""硕士""]",[],[]
"王松奇先生,1952年出生,经济学博士,中国社科院研究生院教授、博士生导师,中央财经大学兼职博士生导师,西南财经大学客座教授,吉林财经大学金融学院名誉院长、兼职教授",中央财经大学,5,2,2,1,"[""博士""]","[""导师""]",[]
"王松奇先生,1952年出生,经济学博士,中国社科院研究生院教授、博士生导师,中央财经大学兼职博士生导师,西南财经大学客座教授,吉林财经大学金融学院名誉院长、兼职教授",西南财经大学,5,2,1,0,[],"[""教授""]",[]
"王松奇先生,1952年出生,经济学博士,中国社科院研究生院教授、博士生导师,中央财经大学兼职博士生导师,西南财经大学客座教授,吉林财经大学金融学院名誉院长、兼职教授",吉林财经大学,5,2,2,0,[],"[""教授"",""院长""]",[]
"王松奇先生1982年于吉林财贸学院金融系获得经济学学士学位,1985年于天津财经学院金融系获得经济学硕士学位,1988年于中国人民大学财金系获得博士学位",天津财经学院,3,3,1,1,"[""硕士""]",[],[]
"王松奇先生1982年于吉林财贸学院金融系获得经济学学士学位,1985年于天津财经学院金融系获得经济学硕士学位,1988年于中国人民大学财金系获得博士学位",中国人民大学,3,3,1,1,"[""博士""]",[],[]
"郭建先生,1964年出生,成都电讯工程学院(现电子科技大学)电子物理与器件专业硕士研究生毕业",成都电讯工程学院,2,2,1,1,"[""硕士""]",[],[]
"郭建先生,1964年出生,成都电讯工程学院(现电子科技大学)电子物理与器件专业硕士研究生毕业",电子科技大学,2,2,1,1,"[""硕士""]",[],[]
"韩女士于2008年毕业于江西财经大学会计学专业,获管理学硕士学位,于2003年获中国科技大学管理学学士学位,现为中国注册会计师非执业会员",江西财经大学,3,2,0,0,[],[],[]
"韩女士于2008年毕业于江西财经大学会计学专业,获管理学硕士学位,于2003年获中国科技大学管理学学士学位,现为中国注册会计师非执业会员",中国科技大学,3,2,2,1,"[""学士""]",[],"[""管理学""]"
"胡跃飞先生,1962年出生,中南财经政法大学(原中南财经大学)经济学硕士",中南财经政法大学,1,1,1,1,"[""硕士""]",[],[]
"胡跃飞先生,1962年出生,中南财经政法大学(原中南财经大学)经济学硕士",中南财经大学,1,1,1,1,"[""硕士""]",[],[]
朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,湖南财经学院,3,2,3,2,"[""本科"",""硕士""]",[],"[""管理学""]"
朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,湖南大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""管理学""]"
朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,中南财经政法大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""管理学""]"
朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,伦敦大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""管理学""]"
"郭田勇先生于1990年在山东大学数学系获理学学士学位,1990年至1993年任职于中国人民银行烟台分行,1996年在中国人民大学财政金融系获经济学硕士学位,1999年在中国人民银行研究生部获经济学博士学位",山东大学,4,4,1,1,"[""学士""]",[],[]
"郭田勇先生于1990年在山东大学数学系获理学学士学位,1990年至1993年任职于中国人民银行烟台分行,1996年在中国人民大学财政金融系获经济学硕士学位,1999年在中国人民银行研究生部获经济学博士学位",中国人民大学,4,4,1,1,"[""硕士""]",[],[]
"艾春荣先生于1990年至1991年任职于美国国家经济研究局(NationalBureauofEconomicResearch),1991年至1994年任职于美国纽约州立大学石溪分校,1994年至今任职于美国佛罗里达大学",纽约州立大学,0,0,0,0,[],[],[]
"艾春荣先生于1990年至1991年任职于美国国家经济研究局(NationalBureauofEconomicResearch),1991年至1994年任职于美国纽约州立大学石溪分校,1994年至今任职于美国佛罗里达大学",佛罗里达大学,0,0,0,0,[],[],[]
