sentence,keywords,parent,level,name,title,stockName,stockCode,degrees,positions,mbas,totalCount
"王松奇先生1982年于吉林财贸学院金融系获得经济学学士学位,1985年于天津财经学院金融系获得经济学硕士学位,1988年于中国人民大学财金系获得博士学位","[""中国人民大学""]","王松奇先生1982年于吉林财贸学院金融系获得经济学学士学位,1985年于天津财经学院金融系获得经济学硕士学位,1988年于中国人民大学财金系获得博士学位",1,王松奇,外部监事,平安银行,000001,"[""博士"",""本科"",""硕士""]",[],[],3
"于1988年8月至1995年12月在中国人民大学财金系任教,1996年1月至今,任中国社科院财贸所研究员和中国社科院金融所研究员","[""中国人民大学""]","于1988年8月至1995年12月在中国人民大学财金系任教,1996年1月至今,任中国社科院财贸所研究员和中国社科院金融所研究员",1,王松奇,外部监事,平安银行,000001,[],"[""研究员""]",[],1
"唐先生于1990年毕业于同济大学公路与城市道路专业,获工学学士学位","[""同济大学""]","唐先生于1990年毕业于同济大学公路与城市道路专业,获工学学士学位",1,唐绍杰,董事,万  科Ａ,000002,"[""本科""]",[],[],1
1993年获同济大学工学硕士学位,"[""同济大学""]",1993年获同济大学工学硕士学位,1,唐绍杰,董事,万  科Ａ,000002,"[""硕士""]",[],[],1
"郭建先生,1964年出生,成都电讯工程学院(现电子科技大学)电子物理与器件专业硕士研究生毕业","[""电子科技大学""]","郭建先生,1964年出生,成都电讯工程学院(现电子科技大学)电子物理与器件专业硕士研究生毕业",1,郭建,非执行董事,平安银行,000001,"[""硕士""]",[],[],1
朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,"[""湖南大学""]",朱女士先后获得湖南财经学院(现湖南大学)经济学学士、中南财经政法大学管理学硕士、伦敦大学学院公共政策硕士及中国香港公开大学企业管治硕士学位,1,朱旭,董事会秘书,万  科Ａ,000002,"[""本科"",""硕士""]",[],"[""管理学""]",3
"郭田勇先生于1990年在山东大学数学系获理学学士学位,1990年至1993年任职于中国人民银行烟台分行,1996年在中国人民大学财政金融系获经济学硕士学位,1999年在中国人民银行研究生部获经济学博士学位","[""中国人民大学""]","郭田勇先生于1990年在山东大学数学系获理学学士学位,1990年至1993年任职于中国人民银行烟台分行,1996年在中国人民大学财政金融系获经济学硕士学位,1999年在中国人民银行研究生部获经济学博士学位",1,郭田勇,独立董事,平安银行,000001,"[""博士"",""本科"",""硕士""]",[],[],3
目前兼任中国人民大学统计与大数据研究院特聘院长,"[""中国人民大学""]",目前兼任中国人民大学统计与大数据研究院特聘院长,1,艾春荣,独立董事,平安银行,000001,[],"[""院长""]",[],1
"陈金海先生,1979年出生,本科,毕业于杭州电子科技大学审计学专业,注册会计师","[""电子科技大学""]","陈金海先生,1979年出生,本科,毕业于杭州电子科技大学审计学专业,注册会计师",1,陈金海,财务总监,国农科技,000004,"[""本科""]",[],[],1
"历任北京大学光华管理学院金融系博士后研究员、中国人民大学商学院讲师、副教授,丹化化工科技股份有限公司独立董事","[""中国人民大学""]","历任北京大学光华管理学院金融系博士后研究员、中国人民大学商学院讲师、副教授,丹化化工科技股份有限公司独立董事",1,许年行,独立董事,南  玻Ａ,000012,"[""博士"",""博士后""]","[""教授"",""研究员"",""讲师""]","[""管理学""]",6
