_id,code,stockName,market,ipoDate,__v,actualController,actualControllerSharePercentage,companyName,employeeAmount,englishName,foundedDate,goPublicDate,industry,location,mainBusiness,phone,productsName,province,registeredCapital,updatedAt,website,actualControllerType,subIndustry,stockCode,guoBiaoIndustry,guoBiaoIndustryCode,guoBiaoSubIndustry,guoBiaoSubIndustryCode,totalMember,partyMember
"""5f4adeae2018c1179b9ddf9f""",300001,特锐德,深圳创业板,1256860800000,0,于德翔,22.71%,青岛特锐德电气股份有限公司,5976,"Qingdao Tgood Electric Co.,Ltd.",2004-03-16,2009-10-30,电气设备 — 高低压设备,山东省青岛市崂山区松岭路336号,研发、生产和销售以户外箱式电力设备为主、户内开关柜为辅的成套变配电产品,86-0532-80938126,"[""箱式变电站"",""箱式开关站"",""户内开关柜"",""安装工程及其他"",""新能源汽车及充电业务"",""光伏太阳能项目""]",山东省,9.98亿元,1608534659663,www.tgood.cn,个人,高低压设备,300001.SZ,制造业,C,电气机械及器材制造业,38,21,10
"""5f4adeae2018c1179b9ddfa0""",300002,神州泰岳,深圳创业板,1256860800000,0,李力、王宁,9.06、4.88%,北京神州泰岳软件股份有限公司,3516,"Beijing Ultrapower Software Co.,Ltd.",2001-05-18,2009-10-30,计算机 — 计算机应用,北京市朝阳区北苑路甲13号院1号楼22层,ICT领域运营管理软件、手机游戏、物联网技术应用、创新板块,86-010-84927606,"[""AI/ICT运营管理"",""游戏"",""物联网/通讯"",""创新服务""]",北京市,19.61亿元,1608534671374,www.ultrapower.com.cn,个人,计算机应用,300002.SZ,信息传输、软件和信息技术服务业,I,软件和信息技术服务业,65,17,1
"""5f4adeae2018c1179b9ddfa1""",300003,乐普医疗,深圳创业板,1256860800000,0,蒲忠杰,18.38%,乐普(北京)医疗器械股份有限公司,8918,"Lepu Medical Technology (Beijing) Co.,Ltd.",1999-06-11,2009-10-30,医药生物 — 医疗器械Ⅱ,北京市昌平区超前路37号,医疗器械及其配件的技术开发、生产，销售。,86-010-80120622,"[""冠状动脉扩张用支架输送系统"",""血管内无载体含药（雷帕霉素）洗脱支架系统"",""血管内药物(雷帕霉素)洗脱支架系统"",""生物可吸收冠状动脉雷帕霉素洗脱支架系统"",""PTCA球囊扩张导管"",""PTA球囊扩张导管"",""非顺应性PTCA球囊扩张导管"",""PTCA导引导丝"",""造影导丝"",""一次性使用引流导管及附件""]",北京市,18.05亿元,1608534676413,www.lepumedical.com,个人,医疗器械Ⅱ,300003.SZ,制造业,C,专用设备制造业,35,19,4
"""5f4adeae2018c1179b9ddfa2""",300004,南风股份,深圳创业板,1256860800000,0,杨子江、杨泽文、杨子善,11.18、10.86、6.27%,南方风机股份有限公司,955,"Nan Fang Ventilator Co.,Ltd",1999-05-24,2009-10-30,机械设备 — 专用设备,广东省佛山市南海区小塘三环西路(狮南段)31号,通风与空气处理系统的设计和产品开发、制造与销售,86-0757-81006199,"[""通风与空气处理系统集成业务"",""特种材料及能源工程管件装备""]",广东省,4.8亿元,1608534680486,www.ntfan.com,个人,专用设备,300004.SZ,制造业,C,通用设备制造业,34,17,1
"""5f4adeae2018c1179b9ddfa3""",300005,探路者,深圳创业板,1256860800000,0,盛发强、王静,16.57、6.83%,探路者控股集团股份有限公司,615,"Toread Holdings Group Co.,Ltd.",1999-01-11,2009-10-30,纺织服装 — 服装家纺,北京市昌平区北七家镇宏福科技园28号,户外用品的研发和销售、户外信息服务业务，旅行业务以及体育业务,86-010-81788188,"[""户外服装"",""户外鞋品"",""户外装备"",""旅行服务"",""体育业务""]",北京市,8.84亿元,1608534684420,www.toread.com.cn,个人,服装家纺,300005.SZ,制造业,C,纺织服装、服饰业,18,15,0
"""5f4adeae2018c1179b9ddfa4""",300006,莱美药业,深圳创业板,1256860800000,0,广西壮族自治区人民政府国有资产监督管理委员会,1.14%,重庆莱美药业股份有限公司,1505,"Chongqing Lummy Pharmaceutical Co.,Ltd",1999-09-06,2009-10-30,医药生物 — 化学制药,重庆市渝北区杨柳路2号综合研发楼B塔楼16层,药品的生产与销售。,86-023-67300382,"[""抗感染类"",""特色专科类"",""中成药及饮片类"",""大输液类"",""药品销售"",""医药流通""]",重庆市,8.12亿元,1608534687917,www.cqlummy.com,地方国资委,化学制药,300006.SZ,制造业,C,医药制造业,27,16,3
"""5f4adeae2018c1179b9ddfa5""",300007,汉威科技,深圳创业板,1256860800000,0,任红军、钟超,18.05、5.17%,汉威科技集团股份有限公司,2439,Hanwei Electronics Group Corporation,1998-09-11,2009-10-30,机械设备 — 仪器仪表,河南省郑州市中原区高新技术开发区雪松路169号,气体传感器、气体检测仪器仪表及监控系统的研发、生产、销售,86-0371-67169159,"[""传感器"",""智能仪表"",""物联网综合解决方案""]",河南省,2.93亿元,1608534692348,www.hanwei.cn,个人,仪器仪表,300007.SZ,制造业,C,仪器仪表制造业,40,13,3
"""5f4adeae2018c1179b9ddfa6""",300008,天海防务,深圳创业板,1256860800000,0,刘楠,19.69%,天海融合防务装备技术股份有限公司,750,"Bestway Marine & Energy Technology Co.,Ltd",2001-10-29,2009-10-30,国防军工 — 船舶制造,上海市松江区莘砖公路518号10号楼,船舶工程及海洋工程设计、设计工程总承包(EPC)、船舶建造监理，新增并拓展了现代服务业务和游艇设计、制造及销售业务等,86-021-60859837;86-021-60859745,"[""设计"",""EPC"",""高性能高分子材料制品"",""海空装备产品"",""天然气销售"",""监理"",""游艇销售及服务"",""物流""]",上海市,17.28亿元,1608534698428,www.bestwaysh.com,个人,船舶制造,300008.SZ,电力、热力、燃气及水的生产和供应业,D,土木工程建筑业,48,18,5
"""5f4adeae2018c1179b9ddfa7""",300009,安科生物,深圳创业板,1256860800000,0,宋礼华、宋礼名,26.52、7.01%,安徽安科生物工程(集团)股份有限公司,2295,"Anhui Anke Biotechnology (Group) Co.,Ltd",2000-09-28,2009-10-30,医药生物 — 生物制品Ⅱ,安徽省合肥市蜀山区长江西路669号高新区海关路K-1,生产销售生物制品、中成药和化学合成药,86-0551-65316659;86-0551-65316867,"[""基因工程药"",""外用贴膏""]",安徽省,13.65亿元,1608534702476,www.ankebio.com,个人,生物制品Ⅱ,300009.SZ,制造业,C,医药制造业,27,21,2
"""5f4adeae2018c1179b9ddfa8""",300010,豆神教育,深圳创业板,1256860800000,0,池燕明,12.43%,豆神教育科技(北京)股份有限公司,2629,Doushen(Beijing) Education &Technology Inc.,1999-01-08,2009-10-30,传媒 — 文化传媒,北京市海淀区东北旺西路8号院25号楼立思辰大厦,内容(安全)管理解决方案业务、教育产品及管理解决方案业务以及视音频解决方案及服务等产品组合。,86-010-83058080,"[""内容(安全)管理解决方案"",""教育产品及管理解决方案""]",北京市,8.68亿元,1608535336617,www.lanxum.com,个人,文化传媒,300010.SZ,信息传输、软件和信息技术服务业,I,软件和信息技术服务业,65,17,3
