label,key
基本每股收益(元),earningPerShare
每股净资产(元),bookValuePerShare
每股经营活动产生的现金流量净额(元),cashFlowFromOperatingActivitiesPerShare
主营业务收入(万元),operatingRevenue
营业利润(万元),operatingProfit
投资收益(万元),investmentRevenue
净利润(万元),netProfit
净利润(扣除非经常性损益后)(万元),netProfitExclNonRecurring
经营活动产生的现金流量净额(万元),cashFlowFromOperatingActivities
现金及现金等价物净增加额(万元),cashAndCashEquivalentsIncrease
总资产(万元),totalAsset
流动资产(万元),currentAsset
总负债(万元),totalLiability
流动负债(万元),currentLiability
股东权益不含少数股东权益(万元),equity
营业利润率(%),operatingMargin
销售净利率(%),salesMargin
净资产收益率(%),returnOnEquity
销售毛利率(%),grossMargin
三项费用比重(%),sgaExpensePercentage
流动比率(%),currentRatio
速动比率(%),quickRatio
现金比率(%),cashRatio
资产负债率(%),debtAssetRatio
长期负债比率(%),longTermLiabilityRatio
固定资产比重(%),fixedAssetsRatio
主营业务收入增长率(%),incomeGrowthRate
净利润增长率(%),netProfitGrowthRate
净资产增长率(%),netAssetsGrowthRate
总资产增长率(%),totalAssetsGrowthRate
应收账款周转天数(天),daysReceivablesTurnover
存货周转天数(天),daysSalesOfInventory
总资产周转天数(天),totalAssetTurnover
流动资产周转天数(天),currentAssetTurnover
现金流量比率(%),cashFlowRatio
