stockName,year,codedBy,actualParticipated,specificProjects,subsidyAmounts,locationMentioned,comment
中水渔业,2018,AY,0,0,0,,救助毛里求斯船员等多次的海上救助行动?
科融环境,2018,AY,0,0,0,,
福日电子,2018,AY,0,0,0,,
ST华鼎,2018,AY,0,0,0,,
ST中安,2018,AY,0,0,0,,
步长制药,2018,AY,0,0,0,,
美丽生态,2018,AY,0,0,0,,
沪宁股份,2018,AY,0,0,0,,
*ST安通,2018,AY,1,0,0,,衔接东南亚航线
三圣股份,2018,AY,0,0,0,,
北玻股份,2018,AY,0,0,0,,
城市传媒,2018,AY,0,0,0,,
远望谷,2018,AY,0,0,0,,
隆鑫通用,2018,AY,1,雅万高铁、洪都拉斯电站、柬埔寨高速公路,0,,
ST中安,2018,AY,0,0,0,,
来伊份,2018,AY,1,伊份旗下进口品牌“亚米Youngme”,0,,
*ST华讯,2018,AY,0,0,0,,
*ST安通,2018,AY,0,0,0,,
德力股份,2018,AY,0,0,0,,
盐田港,2018,AY,1,0,0,,
今创集团,2018,AY,1,常州今创日新国际贸易有限公司，在英国设立子公司，筹备成立西安今创轨道交通设备有限公司，唐山剑湖轨道科技有限公司，增资法国今创座椅公司、常州今创风挡系统有限公司,0,常州、英国、西安、唐山、法国,
今创集团,2018,AY,0,0,0,,
康恩贝,2018,AY,0,0,0,,
卓郎智能,2018,AY,0,0,0,,
营口港,2018,AY,0,0,0,,
苏美达,2018,AY,0,0,0,,
环球印务,2018,AY,0,0,0,,
曲江文旅,2018,AY,0,0,0,,
中环装备,2018,AY,0,0,0,,
*ST目药,2018,AY,1,长城一带一路控股有限公司,0,,
中水渔业,2018,AY,1,瓦努阿图综合渔业基地,902.2万美元,,
华胜天成,2018,AY,1,跨境物流云平台,0,,
中水渔业,2018,AY,0,0,0,,
长盛轴承,2018,AY,0,0,0,,
精达股份,2018,AY,0,0,0,,
世纪星源,2018,AY,0,0,0,,
卓郎智能,2018,AY,0,0,0,,
卓郎智能,2018,AY,0,0,0,,
隆鑫通用,2018,AY,0,0,0,,
营口港,2018,AY,0,0,0,,
*ST金钰,2018,AY,1,0,0,,购买三项资产
三圣股份,2018,AY,0,0,0,,
朗玛信息,2018,AY,1,0,0,,
西藏天路,2018,AY,0,0,0,,
华胜天成,2018,AY,1,0,0,,
