random,url,name,year,description
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002288&id=2023061,超华科技,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002288&id=2023061,超华科技,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002498&id=1735733,汉缆股份,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002498&id=1735733,汉缆股份,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000928&id=1691990,中钢国际,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000928&id=1691990,中钢国际,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002092&id=1752354,中泰化学,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002092&id=1752354,中泰化学,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000727&id=1701432,*ST东科,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000727&id=1701432,*ST东科,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000972&id=1773440,ST中基,2014,Toc incomplete
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000972&id=1773440,ST中基,2014,Section Title Amount does not match.
591,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000778&id=1730060,新兴铸管,2014,Toc incomplete
