_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy,section,length,docLink,mentionPrevious,mention,mentionNext
"""601b8f0535b23ba03113780f""",一带一路（19年之前）,年度报告,2018,盐田港：2018年年度报告（更新后）,000088.SZ,盐田港,交通运输、仓储和邮政业,道路运输业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000088/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000088&id=5147601,,深圳市盐田港股份有限公司 2018 年年度报告全文 2、独立董事对公司有关事项提出异议的情况 独立董事对公司有关事项是否提出异议 □ 是 √ 否 报告期内独立董事对公司有关事项未提出异议。 3、独立董事履行职责的其他说明 独立董事对公司有关建议是否被采纳 √ 是 □ 否 独立董事对公司有关建议被采纳或未被采纳的说明     独立董事建议公司紧抓“粤港澳大湾区”规划、“长江经济带”战略、“一带一路”倡议带来的机遇。 在日常工作方面，应切实履行专业委员会的职责，完善相关会议程序，进一步提高专业委员会的作用；独 立董事还要求公司审计机构向管理层提供管理建议书，提高公司的管理水平，防范内控风险。公司采纳了 独立董事的意见并贯彻落实。 六、董事会下设专门委员会在报告期内履行职责情况     2018年公司提名、薪酬和考核委员会共召开7次会议，审议了对公司高级管理人员考核方案、公司人 事变动,
"""601b8f0535b23ba031137810""",一带一路（19年之前）,年度报告,2018,ST椰岛：2018年年度报告（更新后）,600238.SH,ST椰岛,制造业,酒、饮料和精制茶制造业,海南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600238/page_type/ndbg.phtml,,,,,338,,第四节经营情况讨论与分析,2472,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600238&id=5239859,（2）海南房地产回归理性发展：2018年海南省内加强了地产市场的调控，海南涉楼市调控重要政策23次，2018年“4.22”政策是海南商品房销量快速冷却的开端，2018年8月，海口、三亚先后升级限价，海南房价也开始“回归理性”。（3）海南地产多元化发展是出路：据海南省发展改革委2018年9月公布的信息显示，海南省将以发展旅游业、现代服务业和高新技术产业为主导，围绕种业、医疗、教育、体育、电信、互联网、文化、维修、金融、航运等重点领域，以及基础设施、特色小镇、乡村振兴和军民融合发展等方面，高质量、高标准谋划出一批契合海南自由贸易试验区和中国特色自由贸易港建设的重点项目，为海南自贸区和中国特色自贸港建设起好步、开好局。所以，推进地产开发与文旅康养产业结合是未来发展的不二路径。4、贸易与供应链板块,近几年我国供给侧结构性改革全面发力，去产能、去库存、去杠杆、降成本、补短板五大任务成效初显、亮点频现。我国经济增长模式也已由高速增长阶段转向高质量发展阶段，同时正处在转变发展方式、优化经济结构、转换增长动力的攻关期。随着 “一带一路”的实施以及“互联网+”行动计划的持续推进，国内大宗商品交易已与国际接轨，已经达到规模化、专业化、规范化和国际化的先进水准。随着互联网、大数据、人工智能和实体经济的深度融合，也为大宗商品交易行业的快速发展提供了强有力的支撑，有助于市场的转型升级，服务实体经济。,近年来，我国对外开放格局发生深刻变化，以“一带一路”为主线，以服务贸易为重点的开放转型加快推进，开放型经济水平明显提升，国内经济转型与服务业市场开放及服务贸易发展的联系日益紧密。随着中央支持海南建设自由贸易港政策的落地实施，海南岛具有独特的区位优势，结合习主席提出的一带一路的宏伟设想，坚持双向开放，未来最有可能实现的就是与东南亚国家的资源整合和经济贸易往来。而公司贸易目前所开展的棕榈油、白糖业务就来自于一带一路国家，而且马来西亚、印度尼西亚两国的棕榈油产量和出口占全世界第一。泰国的白糖、越南的椰子等出口都是我国必不可少的物资，对海南岛的相关产业有着重要作用，椰岛椰汁的原料也与它们密不可分。
"""601b8f0535b23ba031137810""",一带一路（19年之前）,年度报告,2018,ST椰岛：2018年年度报告（更新后）,600238.SH,ST椰岛,制造业,酒、饮料和精制茶制造业,海南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600238/page_type/ndbg.phtml,,,,,339,,第四节经营情况讨论与分析,2472,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600238&id=5239859,4、贸易与供应链板块近几年我国供给侧结构性改革全面发力，去产能、去库存、去杠杆、降成本、补短板五大任务成效初显、亮点频现。我国经济增长模式也已由高速增长阶段转向高质量发展阶段，同时正处在转变发展方式、优化经济结构、转换增长动力的攻关期。随着 “一带一路”的实施以及“互联网+”行动计划的持续推进，国内大宗商品交易已与国际接轨，已经达到规模化、专业化、规范化和国际化的先进水准。随着互联网、大数据、人工智能和实体经济的深度融合，也为大宗商品交易行业的快速发展提供了强有力的支撑，有助于市场的转型升级，服务实体经济。,近年来，我国对外开放格局发生深刻变化，以“一带一路”为主线，以服务贸易为重点的开放转型加快推进，开放型经济水平明显提升，国内经济转型与服务业市场开放及服务贸易发展的联系日益紧密。随着中央支持海南建设自由贸易港政策的落地实施，海南岛具有独特的区位优势，结合习主席提出的一带一路的宏伟设想，坚持双向开放，未来最有可能实现的就是与东南亚国家的资源整合和经济贸易往来。而公司贸易目前所开展的棕榈油、白糖业务就来自于一带一路国家，而且马来西亚、印度尼西亚两国的棕榈油产量和出口占全世界第一。泰国的白糖、越南的椰子等出口都是我国必不可少的物资，对海南岛的相关产业有着重要作用，椰岛椰汁的原料也与它们密不可分。,海南自由贸易港形成以服务贸易为主导的突出特色，形成以服务贸易为主导的扩大开放新格局，将在未来中国服务贸易发展和服务业市场开放中发挥重要先导作用。(二) 公司发展战略√适用 □不适用未来椰岛集团将秉承“将企业做小，将品牌做大，将实业做好，将平台做强，将资本激活”的经营理念，抓住海南建设中国特色自由贸易港的契机，发挥后发优势，在现有酒类业务和饮料业务、贸易和供应链业务、房地产业务稳步发展的基础上，依托国家建设海南自由贸易区、自由贸易港的政策背景，积极探索文体、竞技、彩票等业务运营模式，先试先行，与战略合作方开展全方位的合作。
"""601b8f0535b23ba031137813""",一带一路（19年之前）,年度报告,2018,*ST藏格：2018年年度报告（更新后）,000408.SZ,*ST藏格,制造业,化学原料及化学制品制造业,青海省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000408/page_type/ndbg.phtml,,,,,119,,第四节经营情况讨论与分析,2118,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000408&id=5332266,经藏格锂业全体干部和员工的共同努力、艰苦奋斗，按照预期的项目计划推进，确保项目施工进度、安装进度及建设质量，年产 2 万吨碳酸锂项目一期工程（ 年产 1 万吨碳酸锂） 已顺利建成投产，投产后一次性得到碳酸锂含量大于 99.6%的合格产品，产品经权威部门检验全部达到电池级标准。藏格锂业面对自身察尔汗盐湖卤水资源锂含量低、镁锂比高且卤水中伴生硼、 钾、镁、钠等众多元素成分复杂等不利因素，加大科技攻关的力度，开创了从极低浓度卤水提锂的先例，为柴达木盆地低浓度锂含量盐湖提锂走出了一条新路子。该项目投产标志着公司正式进入锂原料生产行业，对公司发展具有积极推动意义，有利于进一步完善公司的业务布局，提高公司核心竞争力，对增强公司盈利能力提供了有力保障。2、优化产品结构，做优做强传统钾肥业务,公司经过多年的发展，在生产和管理方面已经积累了丰富的经验和技术储备，为产业结构的优化升级，稳步推进多元化发展奠定了坚实的基础。公司的发展在资源整合及盐湖资源的综合利用、环境友好工艺开发、技术创新和环境保护领域大有可为。不断深化效益意识，增强生产管控能力，在节能减排、环境友好工艺开发的基本原则下，实现产业的合理布局，通过技术创新以适应新时代创新意识，融入“一带一路”的国家发展战略布局。报告期内15万吨氯化钾及5万吨食用氯化钾项目工程联动试车成功且顺利投产。,"3、加强人才建设，提高工作效率。围绕公司战略发展的需求，报告期内公司大力加强人才建设，积极储备优秀的管理人才和技术人才。全面加强人力资源与绩效管理、风险防控管理等体系建设，加强信息化技术的运用，不断提升公司决策、运营管理和操作执行等各层面的运行水平和运行效率。为科学、平稳、快速、有序、高效地实现公司战略目标提供强大支持和保障。二、主营业务分析1、概述参见“经营情况讨论与分析”中的“一、概述”相关内容。2、收入与成本（1）营业收入构成单位：元2018年2017年同比增减金额占营业收入比重金额占营业收入比重营业收入合计3，274,471,929.35100%3,173,178,484.72100%3.19%分行业制造业2,721,429,004.3983.11%2,969,166,229.0493.57%-7.53%贸易业512,237,273.3915.64%158,097,253.264.98%224.00%其他40,805,651.571.25%45,915,002.421.45%-10.87%分产品氯化钾2,721,429,004.3983.11%2,969,166,229.0493.57%-7.53%贸易业务512,237,273.3915.64%158,097,253.264.98%224.00%其他40,805,651.571.25%45,915,002.421.45%-10.87%分地区国内3,274,471,929.35100.00%3,173,178,484.72100.00%3.96%"
"""601b8f0535b23ba031137814""",一带一路（19年之前）,年度报告,2018,亚钾国际：2018年年度报告（更新后）,000893.SZ,亚钾国际,制造业,化学原料及化学制品制造业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000893/page_type/ndbg.phtml,,,,,229,,第四节经营情况讨论与分析,2464,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000893&id=5333019,2018年，国际钾肥价格回暖，中国无机盐协会中国钾盐肥网发布，中国钾肥联合谈判小组和BPC达成2018年长约钾肥到中国口岸价格为每吨290美元，同比每吨上升60美元。随着供给偏紧而需求增加，国际钾肥价格呈上涨态势。国际肥料工业协会2017年度报告显示，在2018-2020年由于来自加拿大、俄罗斯、土库曼斯坦、白俄罗斯以及中国新项目的投产，到2021年折纯氧化钾产能将达6550万吨。来自北美等增加的产能将全部供应出口，并将维持34%的全球市场份额。而与此同时，在未来5年期间，全球钾肥需求预计将以年均2.1%的速度增加，其中来自东亚、南亚、拉丁美洲及非洲的钾肥需求将会持续增加，这四个地区将占接下来5年内需求增长的75%；其他地区则将是温和增长的。,公司的钾肥资源位于“一带一路”沿线国家的老挝，东连越南、南接柬埔寨、西邻泰国、北靠中国，隔海马来西亚、印尼等缺钾国家，这些缺钾国家每年从加拿大、苏联、乌克兰等国进口上千万吨钾肥，公司的钾肥项目具有地理运输成本优势，东盟协会组织会员国之间进口业务也享有免进口关税约定，有利于公司钾肥产品在区域内的竞争力。,2、谷物贸易发展状况2019年中央一号文件连续第16年聚焦“三农”，提出：完成高标准农田建设任务；调整优化农业结构；`    26实施重要农产品保障战略。文件提出：要“抓重点、补短板、强基础，围绕“巩固、增强、提升、畅通”深化农业供给侧结构性改革，坚决打赢脱贫攻坚战”，“全面推进乡村振兴，确保顺利完成到2020年承诺的农村改革发展目标任务。可预见国家仍会继续进行临储玉米拍卖，深化“去库存、去剩余产能”的目标。国家粮油信息中心预计2018/2019年度我国玉米饲料消费1.95亿吨，比2017/2018年度增加5.4%，玉米工业消费7800万吨，比上年度增幅6.8%。预计2018/2019年玉米市场负结余继续扩大至-3072万吨，未来几年玉米玉米供求格局逐渐重新从宽松向紧张过渡，进口谷物对国产玉米的替代效应有望逐步增强，为进口谷物业务提供发展机遇。
"""601b8f0535b23ba031137816""",一带一路（19年之前）,年度报告,2018,厦门象屿：2018年年度报告（2019年修订）,600057.SH,厦门象屿,租赁和商务服务业,商务服务业,福建省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600057/page_type/ndbg.phtml,,,,,258,,第四节经营情况讨论与分析,2290,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600057&id=5286811,产业发展方面，在进一步夯实和优化大宗商品采购供应、综合物流服务、物流园区开发运营等三大服务平台的基础上，继续巩固并强化农产品、金属材料及矿产品、能源化工产品等核心产品供应链服务体系，提高市场占有率、提升资产收益率。发展模式方面，公司强调内涵式增长和外延式增长同步、资源内部协同与外部整合同步、流通服务和实业资源同步、国际市场和国内市场同步，坚持产资结合、双轮驱动。结构优化方面，在巩固、整合、优化、加强核心产品供应链服务体系的基础上，深度挖掘产业链上的战略合作机会，提升供应链综合服务收益；积极探索培植收益率较高的新产品供应链，优化产业结构、分散经营风险、提高经济效益。,区域发展布局方面，把握“一带一路”、福建自贸区、海西经济区等重大战略机遇，结合国家政策导向及资源分布情况，通过多种方式布局关键的物流节点和市场网络，推动完善国内国际两个市场的物流服务体系搭建，着力提升物流资源整合能力和物流技术运用能力，重点培植专业细分领域物流能力，构建国内外多式联运物流服务体系。,"(三) 经营计划√适用  □不适用2019年，公司力争实现营业收入2，470亿元，成本费用控制在2,452亿元以内。公司将着力做好以下重点工作：1、坚持以“提质增效”为核心，在现有供应链业务的基础上，强化物流体系对整体业务的拉动作用，创新业务模式，提升经营质量，不断寻求新的突破。2、进一步推动铁路货运场站、专用线及配套设施的建设，完善网点布局；推动象道物流客户和业务的开发，提高运能利用率；推进象道物流信息系统建设，同步启动精细化管理工作；抓住多式联运发展的政策机遇和市场机遇，持续开发精品线路。3、持续巩固象屿农产在农业全产业链方面的经营能力，推动“原粮种植、产后服务、粮食物流、原粮贸易、原粮加工”五大产业领域的系统整合，继续探索合作种植模式，做大粮食贸易规模、优化粮食收储结构、完善北粮南运物流体系，确保象屿农产的盈利能力和盈利水平保持稳定。"
"""601b8f0535b23ba031137818""",一带一路（19年之前）,年度报告,2018,ST圣莱：2018年年度报告（更新后）,002473.SZ,ST圣莱,制造业,电气机械及器材制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002473/page_type/ndbg.phtml,,,,,214,,第四节经营情况讨论与分析,1583,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002473&id=5059306,"务；摄影、摄影服务；舞台道具；器材租赁等北京金阳光设备租赁有限公司子公司租赁建筑用机械设备；销售机械设备；影视策划；技术服务；租赁影视设备；承办展览展示活动；企业策划；摄影服务；销售日用品、化妆品、体育用品、摄影器材、电子产品、舞台灯光音响设备等10000000.0074，677,171.54-3,787,681.9327,599,491.8783,463.5383,463.53北京圣莱达物联科技有限公司子公司技术开发、技术转让、技术咨询、技术服务、技术推广等10000000.008,388,690.478,388,690.4770,341.03-3,478,772.38-3,598,536.14宁波圣莱达互联网科技有限公司子公司技术开发、技术咨询、技术转让、技术服务等，计算机软件的开发、设计；企业管理咨询；电子产品、办公用品、日用品、计算机及辅助设备的销售。50000000.00176,259.09-378,170.910.00-378,170.91-378,170.91报告期内取得和处置子公司的情况√ 适用 □ 不适用公司名称报告期内取得和处置子公司方式对整体生产经营和业绩的影响宁波圣莱达互联网科技有限公司新设无重大影响宁波屹丰电器有限公司注销无重大影响主要控股参股公司情况说明八、公司控制的结构化主体情况□ 适用 √ 不适用九、公司未来发展的展望（一）行业竞争格局和发展趋势",2019年全球经济形势依然严峻，小家电行业整体增速放缓，公司主要产品温控器、电热水壶、咖啡机等市场需求呈下滑态势，受此影响，公司当前的主营业务受到较大的冲击。公司管理层稳步推进公司产品结构转型，积极向消费升级靠拢。强化完善质量管理体系，借“一带一路”的政策东风，积极拓展海内外市场；围绕市场对产品性能的新需求，加大产品研发力度，提升企业核心竞争力；同时加强产品质量管理，提高生产效率，减少经营成本。,（二）公司发展战略：继续推进产品和经营模式的转型升级1、截止报告期末，公司共拥有专利49件，其中发明专利20件。2018年度公司申请专利4件，同时获得专利授权3件。2019年，公司将继续深入核心技术研发，不断扩展公司产品的应用领域，布局专利战略，为公司长远发展奠定坚实的技术基础。2、公司将通过持续的创新与发展，积极打造极速加热及温控平台，根据市场需求，积极调整产品结构，增加产品种类，扩大咖啡机的研发和生产力度，研发和制造更加安全、极速、节能、环保、智能的生活家电产品系列。3、积极推进并购重组和战略转型。公司将在优化现有业务的基础上，积极推进资产重组工作，在时机成熟时将优质资产注入上市公司，以提高公司的整体盈利能力。
"""601b8f0535b23ba031137819""",一带一路（19年之前）,年度报告,2018,*ST目药：2018年年度报告（更正版）,600671.SH,*ST目药,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600671/page_type/ndbg.phtml,,,,,36,,第一节释义,2315,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600671&id=5309356,第四节 经营情况讨论与分析  ......  11第五节 重要事项  ......  33第六节 普通股股份变动及股东情况  ......  54第七节 优先股相关情况  ......  74第八节 董事、监事、高级管理人员和员工情况  ......  75第九节 公司治理  ......  85第十节 公司债券相关情况  ......  87第十一节 财务报告  ......  88第十二节 备查文件目录  ......  195第一节 释义一、 释义在本报告书中，除非文义另有所指，下列词语具有如下含义：,常用词语释义天目药业、本公司、公司指杭州天目山药业股份有限公司长城集团指长城影视文化企业集团有限公司，本公司控股股东汇隆华泽指青岛汇隆华泽投资有限公司，本公司股东长城影视指长城影视股份有限公司（股票代码：002071），长城集团控股公司长城动漫指长城国际动漫游戏股份有限公司（股票代码：000835），长城集团控股公司长城一带一路指Great Wall Belt & Road Holdings Limited（中文名称：长城一带一路控股有限公司）（股票代码：00524），长城集团控股公司黄山天目指黄山市天目药业有限公司，本公司全资子公司天目薄荷指黄山天目薄荷药业有限公司，本公司直接和间接持股100%公司天目生物指浙江天目生物技术有限公司，本公司控股子公司上海领汇、领汇创投指上海领汇创业投资有限公司，本公司参股公司豪懿投资指杭州豪懿医疗投资有限公司三慎泰门诊指杭州三慎泰中医门诊部有限公司，本公司控股子公司三慎泰中药指杭州三慎泰宝丰中药有限公司，本公司控股子公司文韬投资指杭州文韬股权投资基金合伙企业（有限合伙）武略投资指杭州武略股权投资基金合伙企业（有限合伙）银川天目山指银川天目山温泉养老养生产业有限公司，本公司控股子公司长影增持一号资管计划指国投瑞银资管－浙商银行－国投瑞银资本长影增持一号专项资产资管计划恒丰基金指恒丰基金管理（北京）有限公司FDA指省级食品药品监督管理局CFDA指国家食品药品监督管理总局GMP指Good Manufacturing Practice for Pharmaceutical Products的简称，即药品生产质量管理规范GSP指Good Supply Practice for Pharmaceutical Products的简称，即药品经营质量管理规范药品批准文号指生产新药或者已有国家标准的药品，须经国务院药品监督管理部门批准，并在批准文件上规定该药品的专有编号，此编号称为药品批准文号。药品生产企业在取得药品批准文号后，方可生产该药品药品注册批件指国家药监局批准某药品生产企业能够生产该品种药品而颁发的法定文件中国证监会指中国证券监督管理委员会上交所、交易所指上海证券交易所《公司法》指《中华人民共和国公司法》《证券法》指《中华人民共和国证券法》报告期指2018年1月1日至2018年12月31日,第二节 公司简介和主要财务指标一、 公司信息公司的中文名称杭州天目山药业股份有限公司公司的中文简称天目药业公司的外文名称Hangzhou TianMuShan Pharmaceutical Enterprise Co.，Ltd公司的外文名称缩写TMSP公司的法定代表人李祖岳二、 联系人和联系方式董事会秘书证券事务代表姓名李祖岳联系地址杭州市文二西路738号西溪乐谷3号楼电话0571－63722229传真0571－63715400电子信箱2685997122＠qq.com三、 基本情况简介公司注册地址浙江省临安市苕溪南路78号公司注册地址的邮政编码311300公司办公地址杭州市文二西路738号西溪乐谷3号楼公司办公地址的邮政编码310030公司网址http://www.hztmyy.com电子信箱tianmuyaoye@126.com
"""601b8f0535b23ba031137819""",一带一路（19年之前）,年度报告,2018,*ST目药：2018年年度报告（更正版）,600671.SH,*ST目药,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600671/page_type/ndbg.phtml,,,,,612,,第六节普通股股份变动及股东情况,2315,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600671&id=5309356,"序号有限售条件股东名称持有的有限售条件股份数量有限售条件股份可上市交易情况限售条件可上市交易时间新增可上市交易股份数量1上海奉康贸易有限公司50，0002007年12月18日0其所持股份若上市流通或转让，应当向杭州现代联合投资有限公司偿还代为垫付股份，或取得杭州现代联合投资有限公司同意。2杭州临安威妮斯制衣厂8,3522007年12月18日0其所持股份若上市流通或转让，应当向杭州现代联合投资有限公司偿还代为垫付股份，或取得杭州现代联合投资有限公司同意。上述股东关联关系或一致行动的说明公司未知上述股东之间是否存在关联关系或一致行动。(三) 战略投资者或一般法人因配售新股成为前10名股东□适用 √不适用四、 控股股东及实际控制人情况(一) 控股股东情况1 法人√适用 □不适用名称长城影视文化企业集团有限公司单位负责人或法定代表人俞连明成立日期2010年10月12日主要经营业务文化创意策划、实业投资","报告期内控股和参股的其他境内外上市公司的股权情况长城集团还拥有其他三家主板上市公司情况： （1）长城集团持有长城影视股份有限公司（股票代码：002071）195，052，314 股股份，占总股本的37.12%。 （2）长城集团共持有长城动漫（股票代码：000835） 68，619,660股，占总股本的 21.00%；赵锐勇直接持有长城动漫3,300,000股，占上市公司总股本1.01%。 （3） 长城集团通过全资子公司香港长城一带一路有限公司持有香港交易所上市公司e-Kong Group Limited（股票代码：00524）2.23 亿股股份，占其总股本的 25.46%。其他情况说明长城集团及实际控制人控制的企业包括长城影视、长城动漫、天目药业、长城一带一路等50家企业。",2 自然人□适用 √不适用3 公司不存在控股股东情况的特别说明□适用  √不适用4 报告期内控股股东变更情况索引及日期□适用  √不适用5 公司与控股股东之间的产权及控制关系的方框图√适用  □不适用(二) 实际控制人情况1 法人□适用 √不适用2 自然人√适用 □不适用姓名赵锐勇、赵非凡国籍中国是否取得其他国家或地区居留权否主要职业及职务1、赵锐勇，男，1954年出生，中国国籍，国家一级作家。曾任诸暨电视台台长，《东海》杂志社社长、总编，《少儿故事报》报社社长、总编，浙江影视创作所所长、长城影视董事长、诸暨长城影视董事长等职务。现为中国电视家协会理事，中国作家协会会员，浙江省电视家协会副主席，浙江
"""601b8f0535b23ba031137819""",一带一路（19年之前）,年度报告,2018,*ST目药：2018年年度报告（更正版）,600671.SH,*ST目药,制造业,医药制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600671/page_type/ndbg.phtml,,,,,617,,第六节普通股股份变动及股东情况,2315,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600671&id=5309356,2 自然人□适用 √不适用3 公司不存在控股股东情况的特别说明□适用  √不适用4 报告期内控股股东变更情况索引及日期□适用  √不适用5 公司与控股股东之间的产权及控制关系的方框图√适用  □不适用(二) 实际控制人情况1 法人□适用 √不适用2 自然人√适用 □不适用姓名赵锐勇、赵非凡国籍中国是否取得其他国家或地区居留权否主要职业及职务1、赵锐勇，男，1954年出生，中国国籍，国家一级作家。曾任诸暨电视台台长，《东海》杂志社社长、总编，《少儿故事报》报社社长、总编，浙江影视创作所所长、长城影视董事长、诸暨长城影视董事长等职务。现为中国电视家协会理事，中国作家协会会员，浙江省电视家协会副主席，浙江,"省作家协会主席团成员。现任长城动漫董事长、杭州长城动漫游戏有限公司执行董事、浙江青苹果董事长、长城基金有限合伙人、新长城基金有限合伙人。 2、赵非凡，男，1983年出生，中国国籍。曾任浙江长城影视有限公司电视剧制片人，长城影视有限公司执行董事兼经理、长城影视总经理、董事会秘书、东阳长城副董事长兼总经理、上海胜盟执行董事兼总经理、浙江光线执行董事兼总经理、诸暨长城影视董事长。现任长城集团总裁，天目药业董事长，长城影视副董事长，长城动漫董事，东阳长城执行董事，浙江青苹果网络董事，新长城影业执行董事兼总经理，长城新媒体董事长。过去10年曾控股的境内外上市公司情况赵锐勇、赵非凡控股的境内外上市公司包括长城影视、长城动漫、天目药业、长城一带一路，赵锐勇直接持有长城动漫（000835）3，300,000股，占总股本的1.01%。",3 公司不存在实际控制人情况的特别说明□适用  √不适用4 报告期内实际控制人变更情况索引及日期□适用  √不适用5 公司与实际控制人之间的产权及控制关系的方框图√适用  □不适用6 实际控制人通过信托或其他资产管理方式控制公司√适用  □不适用1、国投瑞银资管－浙商银行－国投瑞银资本长影增持一号专项资产资管计划（简称“长影增持一号资管计划”）成立于2016年2月29日，为分级型特定多个客户资产管理计划，由浙商银行宁波分行担任优先级份额委托人、长城集团作为进取级资产委托人、浙商银行股份有限公司担任资产托管人，长城集团为该计划特定指令权人，资管计划的初始投资规模分别为优先级投资
