area,target0,target1,target2,target3,target4,maxConfidence
环保行业,7245环保咨询,9522行业性团体,4862环保工程施工,486节能环保工程施工,7516环保技术推广服务,0.333
电子行业,9522行业性团体,2423电子乐器制造,397电子器件制造,3982电子电路制造,3976光电子器件制造,0.286
环保,7245环保咨询,4862环保工程施工,486节能环保工程施工,7516环保技术推广服务,359环保、邮政、社会公共服务及其他专用设备制造,0.5
供应链管理,7224供应链管理服务,4420电力供应,7020物业管理,7840绿化管理,76水利管理业,0.8
通讯制造,C制造业,1442乳粉制造,1461味精制造,151酒的制造,1511酒精制造,0.4
多媒体制造,C制造业,1442乳粉制造,1461味精制造,151酒的制造,1511酒精制造,0.333
手机业务,,,,,,0
彩电业务,,,,,,0
白电及其他,382输配电及控制设备制造,3829其他输配电及控制设备制造,1农业,11谷物种植,111稻谷种植,0.182
通信,392通信设备制造,5274通信设备零售,3921通信系统设备制造,3922通信终端设备制造,39计算机、通信和其他电子设备制造业,0.333
多媒体,,,,,,0
电子制造,2423电子乐器制造,397电子器件制造,3982电子电路制造,3976光电子器件制造,3971电子真空器件制造,0.5
通信及相关设备制造业,3743航天相关设备制造,3744航空相关设备制造,392通信设备制造,34通用设备制造业,35专用设备制造业 ,0.625
日用电子器具制造业,385家用电力器具制造,21家具制造业 ,3859其他家用电力器具制造,387照明器具制造,397电子器件制造,0.533
家电,5138日用家电批发,5272日用家电零售,1农业,11谷物种植,111稻谷种植,0.333
手机,,,,,,0
彩电,,,,,,0
通讯,5177通讯设备批发,8122通讯设备修理,7114计算机及通讯设备经营租赁,1农业,11谷物种植,0.333
日用电器制造业,8132日用电器修理,C制造业,242乐器制造,4050衡器制造,14食品制造业,0.545
自行车锂电池材料及其他,3761自行车制造,8191自行车修理,5414公共自行车服务,2780药用辅料及包装材料,5238自行车等代步设备零售,0.333
珠宝黄金,5245珠宝首饰零售,2438珠宝首饰及有关物品制造,1农业,11谷物种植,111稻谷种植,0.25
自行车及零配件销售,5172汽车及零配件批发,5173摩托车及零配件批发,5264摩托车及零配件零售,3780非公路休闲车及零配件制造,3761自行车制造,0.533
锂电池材料,384电池制造,265合成材料制造,3842镍氢电池制造,3843铅蓄电池制造,3844锌锰电池制造,0.286
信息服务及其他收入,6940金融信息服务,642互联网信息服务,6571地理遥感信息服务,744测绘地理信息服务,6429互联网其他信息服务,0.545
自行车及零部件销售,3761自行车制造,8191自行车修理,348通用零部件制造,3484机械零部件加工,5414公共自行车服务,0.333
物业出租及酒店收入,7020物业管理,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,0.182
自行车行业,3761自行车制造,8191自行车修理,5414公共自行车服务,5238自行车等代步设备零售,376自行车和残疾人座车制造,0.5
租赁管理,71租赁业,7020物业管理,7111汽车租赁,7840绿化管理,76水利管理业,0.4
酒店式公寓及物业出租,7020物业管理,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,0.167
物业、租赁管理,7020物业管理,71租赁业,7111汽车租赁,7840绿化管理,76水利管理业,0.444
房地产业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,1
材料销售,265合成材料制造,283生物基材料制造,5267机动车充电销售,2659其他合成材料制造,3024轻质建筑材料制造,0.25
