code,message
002807,数据为空
002810,数据为空
002873,数据为空
002966,数据为空
002993,数据为空
300791,数据为空
300821,数据为空
300822,数据为空
300823,数据为空
300824,数据为空
300829,数据为空
300842,数据为空
300845,数据为空
300847,数据为空
300848,数据为空
300849,数据为空
300852,数据为空
300863,数据为空
300865,数据为空
300866,数据为空
300867,数据为空
300869,数据为空
300870,数据为空
300871,数据为空
300872,数据为空
600202,数据为空
600439,数据为空
600470,数据为空
601609,数据为空
601827,数据为空
601838,数据为空
601865,数据为空
603066,数据为空
603221,数据为空
603353,数据为空
603380,数据为空
603408,数据为空
603489,数据为空
603931,数据为空
603949,数据为空
603969,数据为空
605008,数据为空
605088,数据为空
605118,数据为空
605158,数据为空
605166,数据为空
605199,数据为空
605255,数据为空
605288,数据为空
605318,数据为空
605388,数据为空
605399,数据为空
688004,数据为空
688017,数据为空
688050,数据为空
688051,数据为空
688060,数据为空
688065,数据为空
688085,数据为空
688157,数据为空
688180,数据为空
688189,数据为空
688266,数据为空
688286,数据为空
688289,数据为空
688312,数据为空
688313,数据为空
688360,数据为空
688377,数据为空
688379,数据为空
688418,数据为空
688488,数据为空
688508,数据为空
688516,数据为空
688556,数据为空
688558,数据为空
688566,数据为空
688580,数据为空
688589,数据为空
688598,数据为空
