code,area,percentage,isForeign
000001,境外,-0.01%,0
000001,总行,50.79%,0
000001,西区,6.01%,0
000001,南区,18.82%,0
000001,东区,14.06%,0
000001,北区,10.32%,0
000005,深圳,-19.46%,0
000005,杭州,119.46%,0
000008,中南地区,1.36%,0
000008,华中地区,0.48%,0
000008,西北地区,4.28%,0
000008,西南地区,5.54%,0
000008,东北地区,7.98%,0
000008,华南地区,6.07%,0
000008,华北地区,61.89%,0
000008,华东地区,13.81%,0
000008,海外,-1.41%,0
000012,中国大陆,87.22%,0
000012,海外,12.78%,0
000019,其他(补充),-0.08%,0
000019,内销,96.47%,0
000019,出口,3.61%,0
000023,西安地区,10.51%,0
000023,深圳地区,47.24%,0
000023,其他(补充),-4.29%,0
000023,江苏地区,26.26%,0
000023,湖南地区,20.28%,0
000032,中国大陆,63.31%,0
000032,亚洲(其他国家),10.36%,0
000032,欧洲,1.05%,0
000032,南美,1.08%,0
000032,港澳台,5.4%,0
000032,非洲,0.53%,0
000032,大洋洲,17.38%,0
000032,北美,0.88%,0
000035,其他(补充),-0.02%,0
000035,中国,27.88%,0
000035,其他,2.88%,0
000035,欧洲,52.44%,0
000035,美洲,16.82%,0
000037,中山,49.95%,0
000037,深圳,40.25%,0
000037,其他业务,1.98%,0
000037,东莞,7.83%,0
000040,华中地区,17.32%,0
000040,西北地区,23.08%,0
000040,西南地区,13.27%,0
000040,东北地区,16.76%,0
000040,华南地区,6.16%,0
000040,华北地区,8.96%,0
000040,华东地区,13.91%,0
000040,欧洲地区,0.09%,0
000040,大洋洲地区,0.45%,0
000055,境外,17.78%,0
000055,境内,82.22%,0
000059,其他(补充),-6.79%,0
000059,中南地区,22.88%,0
000059,西北地区,33.45%,0
000059,东北地区,24.51%,0
000059,华北地区,13.41%,0
000059,华东地区,12.55%,0
000060,地区间抵销,0%,0
000060,其他(补充),4.23%,0
000060,中国大陆,88.85%,0
000060,其他国家和地区,6.92%,0
000065,其他（补充）,1.85%,0
000065,境外地区,80.56%,0
000065,境内地区,17.59%,0
000070,国外,25.84%,0
000070,国内,74.16%,0
000088,华中地区,29.36%,0
000088,华南地区,70.64%,0
000089,深圳,100%,0
000090,合并抵消,-46.87%,0
000090,其他,6.95%,0
000090,上海市,3.47%,0
000090,湖南省,0.58%,0
000090,广西自治区,1.15%,0
000090,广东省,134.72%,0
000099,分部间抵销,-16.93%,0
000099,其他(补充),-0.36%,0
000099,浙江,29.49%,0
000099,湛江,26.61%,0
000099,天津,31.84%,0
000099,深圳,27.17%,0
000099,北京,2.18%,0
000151,国外,72.06%,0
000151,国内,27.94%,0
000157,境外收入,3.07%,0
000157,境内收入,96.93%,0
000158,华南地区,9.19%,0
000158,华北地区,36.49%,0
000158,其他地区,54.32%,0
000159,国内,100%,0
000166,抵销,-0.54%,0
