code,message
000002,遗失年份：2014
000008,遗失年份：2008
000011,"遗失年份：2009, 2008, 2007, 2006, 2005, 2004"
000017,遗失年份：2012
000020,遗失年份：2005
000030,"遗失年份：2012, 2011, 2010, 2009, 2008, 2007, 2006"
000035,"遗失年份：2013, 2011, 2010, 2009, 2008"
000038,"遗失年份：2008, 2007, 2006, 2005"
000040,遗失年份：2008
000069,"遗失年份：2012, 2011, 2004"
000096,"遗失年份：2011, 2007"
000156,遗失年份：2014
000158,遗失年份：2010
000159,遗失年份：2010
000409,"遗失年份：2008, 2007"
000416,"遗失年份：2016, 2015, 2014"
000488,"遗失年份：2011, 2010"
000498,"遗失年份：2011, 2010"
000505,遗失年份：2004
000506,遗失年份：2007
000509,"遗失年份：2014, 2004"
000514,"遗失年份：2011, 2010"
000517,遗失年份：2008
000524,遗失年份：2011
000526,"遗失年份：2009, 2006"
000530,遗失年份：2007
000537,遗失年份：2006
000538,遗失年份：2007
000539,遗失年份：2009
000540,"遗失年份：2008, 2007, 2005"
000557,"遗失年份：2011, 2010"
000572,遗失年份：2007
000581,"遗失年份：2008, 2007, 2005"
000582,"遗失年份：2009, 2008, 2007"
000592,"遗失年份：2011, 2010, 2008, 2002"
000593,遗失年份：2003
000597,遗失年份：2005
000620,"遗失年份：2010, 2009, 2008, 2007, 2002"
000622,遗失年份：2007
000625,"遗失年份：2014, 2013, 2012"
000630,遗失年份：2011
000631,"遗失年份：2008, 2007, 2006, 2005, 2004"
000638,遗失年份：2011
000656,"遗失年份：2004, 2003"
000668,"遗失年份：2012, 2008, 2005"
000673,"遗失年份：2011, 2010"
000681,"遗失年份：2013, 2012, 2011, 2010"
000683,"遗失年份：2011, 2010"
000688,"遗失年份：2014, 2010, 2009, 2008"
000690,"遗失年份：2008, 2007, 2006"
000691,"遗失年份：2016, 2011, 2010, 2009"
000692,遗失年份：2005
000698,"遗失年份：2010, 2009, 2007"
000716,遗失年份：2005
000718,遗失年份：2007
000719,"遗失年份：2010, 2009, 2008"
000721,"遗失年份：2011, 2010"
000756,"遗失年份：2013, 2012, 2011, 2007"
000758,遗失年份：2007
000779,遗失年份：2008
000782,"遗失年份：2008, 2005"
000785,"遗失年份：2011, 2007, 2006"
000791,遗失年份：2008
