code,area,percentage,isForeign
300082,东北区,1.1%,0
300082,出口,0.39%,0
300082,西北区,2.89%,0
300082,华北区,6.67%,0
300082,其他（补充）,0.73%,0
300082,中南区,22.32%,0
300082,华东区,39.2%,0
300082,西南区,26.71%,0
300087,其他（补充）,3.67%,0
300087,国外,44.59%,0
300087,东北,12.08%,0
300087,华东,39.65%,0
300091,国外,6.88%,0
300091,国内,93.12%,0
300092,其他(补充),-0.58%,0
300092,四川省外,73.11%,0
300092,四川省内,15.9%,0
300092,国外,11.57%,0
300101,华中,6.58%,0
300101,西北,2.06%,0
300101,西南,36.18%,0
300101,东北,0.24%,0
300101,华南,2.81%,0
300101,华北,30.82%,0
300101,华东,21.31%,0
300114,国外,18.72%,0
300114,国内,81.28%,0
300117,其他（补充）,0.81%,0
300117,华南,40.66%,0
300117,华北,24.5%,0
300117,华东,34.03%,0
300118,国内销售,27.43%,0
300118,出口销售,72.57%,0
300130,国外,14.12%,0
300130,国内,85.88%,0
300135,国内,100%,0
300140,国外,4.04%,0
300140,国内,95.96%,0
300148,境内,94.83%,0
300148,境外,5.17%,0
300153,西南地区,17.78%,0
300153,华南地区,13.34%,0
300153,东北地区,3.81%,0
300153,西北地区,9.82%,0
300153,华东地区,34.75%,0
300153,其他(补充),-41.69%,0
300153,华北地区,22.73%,0
300153,亚洲地区,12.26%,0
300153,华中地区,27.2%,0
300164,中部油田,16.54%,0
300164,西部油田,4.14%,0
300164,其他地区,0.32%,0
300164,东部油田,11.41%,0
300164,北美油田,67.58%,0
300167,西南,8.88%,0
300167,西北,28.8%,0
300167,其他（补充）,5.14%,0
300167,华东,4.75%,0
300167,东北,0.25%,0
300167,华中,3.04%,0
300167,华南,39.78%,0
300167,华北,9.35%,0
300169,外销,14.06%,0
300169,内销,85.94%,0
300172,国外,0.78%,0
300172,国内,99.22%,0
300176,国外,37.02%,0
300176,国内,52.15%,0
300176,其他业务,10.84%,0
300177,国外,9.14%,0
300177,国内,90.86%,0
300178,其他地区,70.36%,0
300178,华南地区,29.64%,0
