_id,code,stockName,market,ipoDate,__v,actualController,actualControllerSharePercentage,companyName,employeeAmount,englishName,foundedDate,goPublicDate,industry,location,mainBusiness,phone,province,registeredCapital,updatedAt,website,actualControllerType,subIndustry,stockCode,guoBiaoIndustry,guoBiaoIndustryCode,guoBiaoSubIndustry,guoBiaoSubIndustryCode,CCPMember
"""5f4adead2018c1179b9dd36f""",600000,浦发银行,上海主板,942192000000,0,,,上海浦东发展银行股份有限公司,58553,"Shanghai Pudong Development Bank Co.,Ltd.",1992-10-19,1999-11-10,银行 — 银行,上海市黄浦区中山东一路12号,提供银行及相关金融服务,86-021-63611226;86-021-61618888,上海市,293.52亿元,1608513167201,www.spdb.com.cn,无实际控制人,银行,600000.SH,金融业,J,货币金融服务,66,16
"""5f4adead2018c1179b9dd370""",600004,白云机场,上海主板,1051488000000,0,广东省人民政府,29.17%,广州白云国际机场股份有限公司,12888,Guangzhou Baiyun International Airport Company Limited,2000-09-19,2003-04-28,交通运输 — 机场Ⅱ,广东省广州市白云区白云国际机场南工作区自编一号股份公司本部办公大楼,以航空器、旅客和货物、邮件为对象，提供飞机起降与停场、旅客综合服务、安全检查以及航空地面保障等航空服务业务，和货邮代理服务、航站楼内商业场地租赁服务、特许经营服务、地面运输服务和广告服务等航空性延伸服务业务。,86-020-36063595;86-020-36063593,广东省,23.67亿元,1608513171103,www.baiyunport.com,地方政府,机场Ⅱ,600004.SH,交通运输、仓储和邮政业,G,航空运输业,56,16
"""5f4adead2018c1179b9dd371""",600006,东风汽车,上海主板,933033600000,0,国务院国有资产监督管理委员会,20.09%,东风汽车股份有限公司,6982,Dongfeng Automobile Co.Lt,1999-07-21,1999-07-27,汽车 — 汽车整车,湖北省武汉市汉阳区经济技术开发区创业路58号,全系列轻型商用车整车和动力总成的设计、制造和销售。,86-027-84287896,湖北省,20亿元,1608513189073,www.dfac.com,国资委,汽车整车,600006.SH,制造业,C,汽车制造业,36,7
"""5f4adead2018c1179b9dd372""",600007,中国国贸,上海主板,921196800000,0,香格里拉,40.33、13.11%,中国国际贸易中心股份有限公司,2197,"China World Trade Center Co.,Ltd.",1997-10-15,1999-03-12,房地产 — 房地产开发Ⅱ,北京市朝阳区建国门外大街1号,从事商务服务设施的投资、经营和管理,86-010-65052288,北京市,10.07亿元,1608513192310,www.cwtc.com,其他,房地产开发Ⅱ,600007.SH,房地产业,K,房地产业,70,5
"""5f4adead2018c1179b9dd373""",600008,首创股份,上海主板,956793600000,0,北京市国有资产监督管理委员会,47.04%,北京首创股份有限公司,15991,"Beijing Capital Co.,Ltd",1999-08-31,2000-04-27,公用事业 — 环保工程及服务,北京市西城区车公庄大街21号2号楼,水务固废等环保业务,86-010-68356169,北京市,73.41亿元,1608513197127,www.capitalwater.cn,地方国资委,环保工程及服务,600008.SH,电力、热力、燃气及水的生产和供应业,D,水的生产和供应业,46,5
"""5f4adead2018c1179b9dd374""",600009,上海机场,上海主板,887760000000,0,上海市国有资产监督管理委员会,53.25%,上海国际机场股份有限公司,8389,"Shanghai International Airport Co.,Ltd.",1998-02-11,1998-02-18,交通运输 — 机场Ⅱ,上海市浦东新区启航路900号,航空地面保障服务及其配套服务,86-021-68341609,上海市,19.27亿元,1608513200609,www.shairport.com,地方国资委,机场Ⅱ,600009.SH,交通运输、仓储和邮政业,G,航空运输业,56,17
"""5f4adead2018c1179b9dd375""",600010,包钢股份,上海主板,984096000000,0,内蒙古自治区人民政府,42.28%,内蒙古包钢钢联股份有限公司,28041,"Inner Mongolia Baotou Steel Union Co.,Ltd",1999-06-29,2001-03-09,钢铁 — 钢铁,内蒙古自治区包头市昆都仑区包钢信息大楼主楼三楼,矿产资源开发利用、钢铁产品的生产与销售,86-0472-2189515;86-0472-2189529,内蒙古自治区,455.85亿元,1608513203967,www.baoganggf.com,地方政府,钢铁,600010.SH,制造业,C,黑色金属冶炼及压延加工业,31,11
"""5f4adead2018c1179b9dd376""",600011,华能国际,上海主板,1007596800000,0,国务院国有资产监督管理委员会,45.20%,华能国际电力股份有限公司,58263,"Huaneng Power International,Inc.",1994-06-30,2001-12-06,公用事业 — 电力,北京市西城区复兴门内大街6号楼华能大厦,电力及热力销售、港口服务及运输服务等,86-010-63226999;86-010-66086765,北京市,156.98亿元,1608513208901,www.hpi.com.cnwww.hpi-ir.com.hk,国资委,电力,600011.SH,电力、热力、燃气及水的生产和供应业,D,电力、热力生产和供应业,44,25
"""5f4adead2018c1179b9dd377""",600012,皖通高速,上海主板,1041897600000,0,安徽省人民政府国有资产监督管理委员会,31.63%,安徽皖通高速公路股份有限公司,2098,Anhui Expressway Company Limited,1996-08-15,2003-01-07,交通运输 — 高速公路Ⅱ,安徽省合肥市蜀山区望江西路520号,投资、建设、运营及管理安徽省境内外的收费公路,86-0551-65338697;86-0551-63738923;86-0551-63738922,安徽省,16.59亿元,1608513212598,www.anhui-expressway.net,地方国资委,高速公路Ⅱ,600012.SH,交通运输、仓储和邮政业,G,道路运输业,54,5
"""5f4adead2018c1179b9dd378""",600015,华夏银行,上海主板,1063324800000,0,,,华夏银行股份有限公司,39749,"Hua Xia Bank Co., Limited",1992-10-14,2003-09-12,银行 — 银行,北京市东城区建国门内大街22号华夏银行大厦,吸收存款;发放贷款;办理国内外结算;发行金融债券;同业拆借等业务,86-010-85238570;86-010-85239938,北京市,153.87亿元,1608513215993,www.hxb.com.cn,无实际控制人,银行,600015.SH,金融业,J,货币金融服务,66,16
