bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
14.07,1725700,-4002500,-2.06,null,null,1.54,31298300,971000,2819500,2808600,3628900,13795800,000001.SZ,393907000,362608700,indicators,2019
16.64,-1592951,4568681,null,143898935,127261028,3.47,18805849,498413,3887209,3831439,7661314,36789388,000002.SZ,172992945,145935033,indicators,2019
null,9869,-1587,null,48098,8556,0.04,138978,2978,310,-2673,730,10825,000004.SZ,149449,9003,indicators,2019
null,3026,1228,null,159754,128297,0.17,165031,13345,17469,5083,20027,55261,000005.SZ,303184,128956,indicators,2019
null,-61015,-19426,null,1247594,515392,0.59,673558,9548,80116,77947,110843,373133,000006.SZ,1574532,857509,indicators,2019
null,3714,-3180,null,39157,4178,0.06,20935,-905,2229,31,4079,4202,000007.SZ,53369,32089,indicators,2019
null,17230,532,null,661808,410246,0.16,745780,5193,43438,34151,55000,322014,000008.SZ,1204454,446806,indicators,2019
null,68099,133773,null,1969565,1230856,0.12,553499,12776,30114,-5230,114801,1194873,000009.SZ,3020981,1950222,indicators,2019
null,2046,3017,null,357235,352532,0.06,44596,1987,4647,1035,19776,189307,000010.SZ,429166,353793,indicators,2019
null,-59568,93979,null,945835,520068,1.37,314795,508,81781,69568,98591,396167,000011.SZ,1077249,750592,indicators,2019
null,-39329,237904,null,473335,638379,0.17,949559,null,53643,37439,66372,1047203,000012.SZ,1820124,833538,indicators,2019
null,-5052,3249,null,185246,97644,0.1,89116,null,2109,1151,3022,43814,000014.SZ,197237,101644,indicators,2019
null,105955,-154395,null,2542279,2214583,0.09,806851,118338,21203,-187572,30327,5511913,000016.SZ,4258696,3266026,indicators,2019
null,-1041,-1379,null,5635,5129,-0.01,712,null,-719,-737,-800,7602,000017.SZ,6273,5129,indicators,2019
null,-47668,19005,null,406456,118200,0.32,442075,984,36350,35090,43357,1105998,000019.SZ,677507,215163,indicators,2019
null,868,7446,null,31667,20934,0.02,32943,18,546,484,790,72156,000020.SZ,61416,28474,indicators,2019
null,-39071,-100017,null,1200358,1113798,0.24,692265,-5512,35230,15875,54640,1322382,000021.SZ,1845336,1135125,indicators,2019
null,3498,11996,null,212482,191858,0.37,47389,499,5082,4416,10389,183053,000023.SZ,251940,193450,indicators,2019
null,25782,7891,null,68434,30028,0.51,127097,24057,21967,5374,30334,57107,000025.SZ,164578,30657,indicators,2019
null,15247,44482,null,266050,109776,0.49,265453,179,21591,19968,27288,370421,000026.SZ,376092,110638,indicators,2019
null,-45730,520001,null,1955034,3325806,0.43,3008699,21926,170122,142834,224686,2081700,000027.SZ,9611205,6252719,indicators,2019
null,79056,200035,null,2665245,1673045,2.97,1280641,24619,127129,122677,183555,5204576,000028.SZ,3352061,1816077,indicators,2019
null,35867,60361,null,416671,137228,0.55,366687,3243,55245,52420,73086,254874,000029.SZ,490967,138469,indicators,2019
null,-21612,36616,null,680046,454098,0.5,666030,58201,89100,85428,93930,1006381,000030.SZ,1292060,546692,indicators,2019
null,799885,406499,null,13377951,8483679,0.61,1941098,49663,237845,123067,599914,3378662,000031.SZ,18318257,14064153,indicators,2019
null,-5245,7368,null,180137,66151,0.32,146968,-114,13395,12385,19837,150113,000032.SZ,234226,68400,indicators,2019
null,209665,149963,null,2335550,2251093,1.08,437215,5952,70141,58214,92025,8680338,000034.SZ,2942090,2504604,indicators,2019
null,245805,240020,null,1203147,1324557,0.3,1080288,7770,71300,62915,90962,1858709,000035.SZ,4729691,3559343,indicators,2019
null,82891,149819,null,976153,454824,0.55,494778,1530,81757,78836,121067,316862,000036.SZ,1214200,649590,indicators,2019
null,-14347,20294,null,162361,102162,0.04,200277,-143,2490,1469,2344,122258,000037.SZ,321926,115677,indicators,2019
null,-52148,-57748,null,189193,16323,0.23,275549,3965,12238,3323,9805,183485,000038.SZ,291716,16323,indicators,2019
10.95,-187287,353852,0.99,9002313,7055131,0.37,3925389,32694,154223,124148,583875,8581534,000039.SZ,17210752,11706954,indicators,2019
null,-290709,51886,null,1698452,1204093,-0.64,1342473,10186,-95680,-98148,-79512,680576,000040.SZ,3087407,1734048,indicators,2019
null,-198181,-84259,null,3949393,2455330,1.18,755618,84697,78717,8948,130494,721317,000042.SZ,4514153,3712876,indicators,2019
null,-86493,38315,null,222667,48558,0.04,272776,7804,1968,-4118,495,215818,000045.SZ,453140,67678,indicators,2019
null,28457,557231,null,13720017,10212102,0.21,2147336,450463,109485,49250,245861,302544,000046.SZ,17787227,14476528,indicators,2019
null,24289,101381,null,530363,396396,2.74,213485,14883,110083,98683,152615,491872,000048.SZ,647199,409426,indicators,2019
null,19502,159457,null,718953,535578,2.44,219818,1397,50218,47469,84103,1844269,000049.SZ,877016,590890,indicators,2019
null,-46511,476066,null,1439670,2040869,0.4,2670722,24,82936,24637,100353,3028197,000050.SZ,6545101,3874378,indicators,2019
null,-23092,-528,null,470311,450981,0.31,518280,-191,34777,29145,41814,300575,000055.SZ,1136996,613876,indicators,2019
null,-5004,30099,null,172886,210551,0.04,544906,693,5060,4255,11713,94896,000056.SZ,1245696,690204,indicators,2019
null,-91924,43050,null,421496,207809,0.06,189938,10514,7845,-169,19637,149323,000058.SZ,619060,368001,indicators,2019
null,-161365,272348,null,1331069,904573,0.62,1360904,574,99296,88626,120868,3960834,000059.SZ,2935920,1521307,indicators,2019
null,5868,222132,null,666176,626716,0.24,1093472,21326,85211,66733,103975,2280052,000060.SZ,2032060,895677,indicators,2019
