stockCode,stockName,controller,originalControllerType,newControllerType,hasForeignController,clean
600007.SH,中国国贸,香格里拉,其他,境外,1,
600017.SH,日照港,日照市人民政府,地方政府,地方国资委,,地方国资委
600081.SH,东风科技,国务院国有资产监督管理委员会,国资委,国资委;境外,1,国资委;
600083.SH,*ST博信,罗静,个人,境外,1,
600094.SH,大名城,俞培俤,个人,境外,1,
600118.SH,中国卫星,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600141.SH,兴发集团,兴山县人民政府国有资产监督管理局,地方政府,地方国资委,,地方国资委
600161.SH,天坛生物,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600167.SH,联美控股,苏壮强、苏冠荣、苏素玉、苏武雄、苏壮奇,个人,境外;个人,1,;个人
600171.SH,上海贝岭,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600182.SH,S佳通,林美凤、林振伟、陈应毅,个人,境外,1,
600193.SH,ST创兴,陈冠全,个人,境外,1,
600209.SH,ST罗顿,李维,个人,地方国有企业,,地方国有企业
600211.SH,西藏药业,林刚,个人,境外,1,
600227.SH,圣济堂,丁林洪,个人,境外,1,
600228.SH,ST昌九,北京市国有文化资产管理中心,地方政府,地方国资委,,地方国资委
600237.SH,铜峰电子,应建仁、徐美儿,个人,地方政府,,地方政府
600275.SH,ST昌鱼,翦英海,个人,国资委,,国资委
600306.SH,*ST商城,黄茂如,个人,境外,1,
600317.SH,营口港,招商局集团有限公司,地方政府,中央国有企业,,中央国有企业
600323.SH,瀚蓝环境,佛山市南海区国有资产监督管理局,地方政府,地方国资委,,地方国资委
600365.SH,ST通葡,尹兵,个人,境外,1,
600372.SH,中航电子,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600375.SH,汉马科技,马鞍山市人民政府,地方政府,个人,,个人
600387.SH,海越能源,铜川市人民政府国有资产监督管理委员会,地方国资委,其他,,其他
600393.SH,粤泰股份,杨树坪,个人,境外,1,
600556.SH,天下秀,SINACorporation、李檬,个人,个人;境外,1,个人;
600565.SH,迪马股份,罗韶宇,个人,境外,1,
600620.SH,天宸股份,叶立培、叶茂菁,个人,境外,1,
600638.SH,新黄浦,北京市人民政府,地方政府,地方国有企业,,地方国有企业
600655.SH,豫园股份,郭广昌,个人,其他;个人,,其他;个人
600660.SH,福耀玻璃,曹德旺,个人,境外,1,
600687.SH,*ST刚泰,,,个人,,个人
600695.SH,绿庭投资,俞乃奋,个人,境外,1,
600702.SH,ST舍得,周政,个人,地方政府,,地方政府
600710.SH,苏美达,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600729.SH,重庆百货,,,地方国资委,,地方国资委
600760.SH,中航沈飞,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600763.SH,通策医疗,吕建明,个人,境外,1,
600765.SH,中航重机,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600779.SH,水井坊,帝亚吉欧,其他,境外,1,
600783.SH,鲁信创投,山东省人民政府国有资产监督管理委员会,地方国资委,地方政府,,地方政府
600807.SH,济南高新,济南高新技术产业开发区管理委员会,地方政府,,,
600823.SH,世茂股份,许荣茂,个人,境外,1,
600828.SH,茂业商业,黄茂如,个人,境外,1,
600850.SH,华东电脑,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600854.SH,春兰股份,春兰,个人,集体企业,,集体企业
600862.SH,中航高科,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
600898.SH,*ST美讯,黄光裕,个人,境外,1,
600936.SH,广西广电,广西广播电视台,地方政府,地方国有企业,,地方国有企业
600966.SH,博汇纸业,黄志源,个人,境外,1,
600995.SH,文山电力,中国南方电网有限责任公司,中央国有企业,国资委,,国资委
600996.SH,贵广网络,贵州广播电视台,地方政府,地方国有企业,,地方国有企业
601002.SH,晋亿实业,蔡林玉华、蔡晋彰、蔡永龙、蔡雯婷,个人,境外,1,
601005.SH,重庆钢铁,中国宝武钢铁集团有限公司、重庆战略性新兴产业股权投资基金合伙企业,个人,中央国有企业,,中央国有企业
601019.SH,山东出版,山东省人民政府,地方政府,地方国有企业,,地方国有企业
601069.SH,西部黄金,新疆维吾尔自治区人民政府国有资产监督管委员会,地方政府,地方国资委,,地方国资委
601231.SH,环旭电子,"张虔生,张洪本兄弟",个人,境外,1,
601330.SH,绿色动力,北京市人民政府国有资产监督管理委员会,地方国资委,地方国有企业,,地方国有企业
601339.SH,百隆东方,杨卫新、杨卫国,个人,境外,1,
601388.SH,怡球资源,黄崇胜,个人,境外,1,
601399.SH,ST国重装,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
601512.SH,中新集团,苏州工业园区国有资产控股发展有限公司,地方国资委,地方国有企业,,地方国有企业
601515.SH,东风股份,黄晓鹏、黄晓佳、黄炳文,个人,境外,1,
601566.SH,九牧王,林聪颖,个人,境外,1,
601608.SH,中信重工,财政部,个人,中央国有企业,,中央国有企业
601615.SH,明阳智能,吴玲、张传卫、张瑞,个人,个人;境外,1,个人;
601616.SH,广电电气,赵淑文,个人,境外,1,
601689.SH,拓普集团,邬建树,个人,境外,1,
601698.SH,中国卫通,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
601880.SH,大连港,招商局集团有限公司,地方政府,中央国有企业,,中央国有企业
601929.SH,吉视传媒,吉林广播电视台,地方政府,地方国有企业,,地方国有企业
601939.SH,建设银行,中国投资有限责任公司,中央国有企业,中央国家机关,,中央国家机关
601949.SH,中国出版,中国出版集团有限公司,中央国有企业,中央国家机关,,中央国家机关
601988.SH,中国银行,中国投资有限责任公司,中央国有企业,中央国家机关,,中央国家机关
601990.SH,南京证券,南京市人民政府国有资产监督管理委员会,地方国资委,地方国有企业,,地方国有企业
601996.SH,丰林集团,刘一川,个人,境外,1,
601998.SH,中信银行,中华人民共和国财政部,中央国家机关,中央国有企业,,中央国有企业
603002.SH,宏昌电子,GraceTsuHanWong、王文洋,个人,境外,1,
603006.SH,联明股份,徐涛明、吉蔚娣,个人,境外;个人,1,;个人
603015.SH,弘讯科技,周珊珊、熊钰麟,个人,境外,1,
603023.SH,威帝股份,陈振华,个人,地方政府,,地方政府
603028.SH,赛福天,苏州市越旺集团有限公司、江苏省吴中经济技术发展集团有限公司、苏州市滨湖集团有限公司、苏州市吴中金融控股集团有限公司、苏州鼎鑫投资有限公司,个人,地方国资委;地方政府,,地方国资委;地方政府
603055.SH,台华新材,施秀幼、施清岛,个人,个人;境外,1,个人;
603068.SH,博通集成,PengfeiZhang、DaweiGuo,个人,境外,1,
603079.SH,圣达生物,洪爱,个人,境外,1,
603099.SH,长白山,吉林省长白山保护开发区管理委员会,地方政府,地方国资委,,地方国资委
603110.SH,东方材料,樊家驹、朱君斐,个人,境外;个人,1,;个人
603177.SH,德创环保,金猛、黄浙燕,个人,个人;境外,1,个人;
603197.SH,保隆科技,陈洪凌、张祖秋、宋瑾,个人,个人;境外,1,个人;
603203.SH,快克股份,金春、戚国强,个人,境外;个人,1,;个人
603223.SH,恒通股份,刘振东,个人,集体企业,,集体企业
603226.SH,菲林格尔,丁福如,个人,境外,1,
603228.SH,景旺电子,黄小芬、卓军、刘绍柏,个人,个人;境外,1,个人;
603256.SH,宏和科技,GraceTsuHanWong、王文洋,个人,境外,1,
603259.SH,药明康德,刘晓钟、张朝晖、GeLi、NingZhao,个人,个人;境外,1,个人;
603290.SH,斯达半导,沈华、胡畏,个人,境外,1,
603297.SH,永新光学,曹其东、曹袁丽萍,个人,境外,1,
603309.SH,维力医疗,向彬,个人,境外,1,
603326.SH,我乐家居,缪妍缇、汪春俊,个人,境外;个人,1,;个人
603328.SH,依顿电子,李铭浚、李永强、李永胜,个人,境外,1,
603335.SH,迪生力,SindyYiMinZhao、赵瑞贞、罗洁,个人,境外;个人,1,;个人
603386.SH,广东骏亚,叶晓彬,个人,境外,1,
603408.SH,建霖家居,吕理镇、文国良、吕学燕、范资里、朱玉娇、李相如、林绍明、林瑶瑄、林瑶俐、林瑶欣、周武忠、周芯妤、周政宏、文羽菁、文馨,个人,境外,1,
603486.SH,科沃斯,钱东奇、DavidChengQian,个人,境外;个人,1,;个人
603528.SH,多伦科技,章安强,个人,境外,1,
603551.SH,奥普家居,方胜康、FangJames,个人,境外,1,
603557.SH,起步股份,章利民,个人,境外,1,
603580.SH,艾艾精工,涂木林、蔡瑞美,个人,境外,1,
603596.SH,伯特利,袁永彬,个人,境外,1,
603630.SH,拉芳家化,吴桂谦、LaurenaWu、吴滨华,个人,境外;个人,1,;个人
603638.SH,艾迪精密,冯晓鸿、宋飞、宋宇轩,个人,境外;个人,1,;个人
603650.SH,彤程新材,ZhangNing、LiuDongSheng,个人,境外,1,
603663.SH,三祥新材,夏鹏、吴世平、卢庄司,个人,境外;个人,1,;个人
603696.SH,安记食品,林肖芳,个人,境外,1,
603707.SH,健友股份,谢菊华、唐咏群,个人,境外;个人,1,;个人
603789.SH,星光农机,章沈强、钱菊花,个人,,,
603799.SH,华友钴业,陈雪华、谢伟通,个人,境外;个人,1,;个人
603858.SH,步长制药,赵涛,个人,境外,1,
603860.SH,中公高科,交通运输部公路科学研究所,地方政府,中央国家机关,,中央国家机关
603886.SH,元祖股份,张秀琬,个人,境外,1,
603920.SH,世运电路,佘英杰,个人,境外,1,
603922.SH,金鸿顺,洪伟涵、洪建沧,个人,境外,1,
603927.SH,中科软,中国科学院软件研究所,中央国家机关,其他,,其他
603929.SH,亚翔集成,姚祖骧、赵玉华,个人,境外,1,
603933.SH,睿能科技,杨维坚,个人,境外,1,
603950.SH,长源东谷,李佐元,个人,境外;个人,1,;个人
603958.SH,哈森股份,陈玉珍、吴珍芳、陈玉荣、陈玉芳、陈玉兴,个人,境外,1,
603982.SH,泉峰汽车,潘龙泉,个人,境外,1,
603995.SH,甬金股份,虞纪群、曹佩凤,个人,境外;个人,1,;个人
605088.SH,冠盛股份,周家儒、周隆盛、章孟丽,个人,个人;境外,1,个人;
605100.SH,华丰股份,徐华东、CHUILAPLAM,个人,个人;境外,1,个人;
605366.SH,宏柏新材,纪金树、林庆松、杨荣坤,个人,境外,1,
688026.SH,洁特生物,袁建华、袁晔,个人,个人;境外,1,个人;
688027.SH,国盾量子,中科大资产经营有限责任公司、程大涛、柳志伟、彭承志、费革胜、冯辉、于晓风,个人,中央国有企业;个人,,中央国有企业;个人
688055.SH,龙腾光电,昆山市政府国有资产监督管理办公室,地方政府,地方国资委,,地方国资委
688085.SH,三友医疗,徐农、刘明岩、范湘龙,个人,个人;境外,1,个人;
688088.SH,虹软科技,HuiDeng、LiuhongYang,个人,境外,1,
688099.SH,晶晨股份,JohnZhong、YeepingChenZhong,个人,境外,1,
688100.SH,威胜信息,吉为、吉喆,个人,境外,1,
688101.SH,三达膜,"蓝伟光,陈霓",个人,境外,1,
688116.SH,天奈科技,郑涛、严燕、张美杰、蔡永略,个人,个人;境外,1,个人;
688138.SH,清溢光电,"唐英敏,唐英年",个人,境外,1,
688185.SH,康希诺-U,朱涛、XuefengYU、DongxuQIU、HelenHuihuaMAO,个人,境外;个人,1,;个人
688196.SH,卓越新能,叶活动、罗春妹、叶劭婧,个人,个人;境外,1,个人;
688202.SH,美迪西,陈金章、陈建煌、CHUN-LINCHEN,个人,境外;个人,1,;个人
688222.SH,成都先导,李进,个人,境外,1,
688266.SH,泽璟制药-U,盛泽林、陆惠萍,个人,个人;境外,1,个人;
688356.SH,键凯科技,赵宣,个人,境外,1,
688466.SH,金科环境,张慧春、李素波,个人,个人;境外,1,个人;
688488.SH,艾迪药业,JindiWu、傅和亮,个人,个人;境外,1,个人;
688567.SH,孚能科技,Keith、YUWANG,个人,境外,1,
688596.SH,正帆科技,俞东雷、崔荣,个人,境外,1,
000007.SZ,全新好,王玩虹、陈卓婷、林昌珍、陆尔东、李强、陈军,个人,,,
000042.SZ,中洲控股,黄光苗,个人,境外,1,
000065.SZ,北方国际,国务院国有资产监管管理委员会,地方国资委,国资委,,国资委
000068.SZ,华控赛格,山西省国有资本运营有限公司,地方国资委,地方国有企业,,地方国有企业
000099.SZ,中信海直,中华人民共和国财政部,中央国家机关,中央国有企业,,中央国有企业
000536.SZ,*ST华映,大同股份有限公司,境外,地方国资委,,地方国资委
000537.SZ,广宇发展,,,国资委,,国资委
000550.SZ,江铃汽车,南昌市国有资产监督管理委员会、国务院国有资产监督管理委员会,个人,地方国资委;国资委,,地方国资委;国资委
000571.SZ,*ST大洲,,,个人,,个人
000590.SZ,启迪古汉,教育部,个人,,,
000595.SZ,*ST宝实,孙珩超,个人,地方政府,,地方政府
000605.SZ,渤海股份,天津市水务局,地方政府,其他,,其他
000615.SZ,奥园美谷,郭梓文,个人,境外,1,
000623.SZ,吉林敖东,李秀林及一致行动人,个人,其他;个人,,其他;个人
000632.SZ,三木集团,,,地方国有企业,,地方国有企业
000670.SZ,*ST盈方,,,个人,,个人
